nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,8,0,0,4,2,13,4
Coblong,5,0,0,4,0,33,6
Babakan Ciparay,1,0,0,0,0,6,0
Bojongloa Kaler,27,0,0,1,1,12,2
Andir,11,0,0,0,0,14,0
Cicendo,15,0,0,6,0,21,2
Sukajadi,146,23,0,30,9,16,12
Cidadap,11,5,0,0,0,25,5
Bandung Wetan,32,7,0,27,1,8,8
Astana Anyar,99,27,0,4,3,84,9
Regol,39,1,0,3,8,33,3
Batununggal,17,0,0,0,0,15,0
Lengkong,21,0,0,3,1,15,3
Cibeunying Kidul,48,0,0,2,2,13,0
Bandung Kulon,16,0,0,7,1,84,42
Kiaracondong,5,0,0,6,0,19,25
Bojongloa Kidul,0,0,0,0,0,0,0
Cibeunying Kaler,0,0,0,0,0,5,2
Sumur Bandung,6,0,0,5,0,20,10
Antapani,1,0,0,0,1,9,3
Bandung Kidul,3,0,0,0,0,28,2
Buahbatu,8,0,0,1,0,22,1
Rancasari,6,0,0,1,0,28,1
Arcamanik,9,0,0,0,1,13,4
Cibiru,23,0,0,1,10,45,5
Ujung Berung,3,0,0,4,0,4,2
Gedebage,22,0,0,0,0,15,22
Panyileukan,13,0,0,9,7,13,5
Cinambo,100,10,0,0,1,5,0
Mandalajati,5,0,0,1,0,20,7
