NO,NAMA MUSHOLA,TAHUN DIDIRIKAN,ALAMAT,RT,RW,KELURAHAN,KET
1,AL HIKMAH ,,JL. HALTEU UTARA,06,01,DUNGUSCARIANG,
2,AL INNAYAH,,JL. HALTEU UTARA,05,01,DUNGUSCARIANG,
3,AL IKHLAS,1971,JL. DUNGUSCARIANG,09,04,DUNGUSCARIANG,
4,AL BAROKAH,1970,GG. BP. UKID,01,05,DUNGUSCARIANG,
5,AL IKHLAS,2003,GG. BP. UKID,03,05,DUNGUSCARIANG,
6,AL IANAH,1974,DUNGUSCARIANG,09,07,DUNGUSCARIANG,WAKAF
7,AL HIDAYAH,2000,DUNGUSCARIANG,08,07,DUNGUSCARIANG,PRIBADI
8,AL HIDAYAH,2002,DUNGUSCARIANG,02,07,DUNGUSCARIANG,PRIBADI
9,AL MU'MIN,1985,DUNGUSCARIANG,01,07,DUNGUSCARIANG,
10,AL IKHLAS,1960,JL. CIROYOM GG. SAWO II,02,10,DUNGUSCARIANG,
11,AL ROYYAN,2000,JL. ANDIR NO. 195/79,04,08,DUNGUSCARIANG,
12,BAITUROHMAN,1960,JL. PALEDANG,01,02,CAMPAKA,
13,ISTIQOMAH,1990,JL. PALEDANG 169,03,02,CAMPAKA,
14,AT TAUFIK,1995,JL. PALEDANG,04,02,CAMPAKA,
15,AN NUR,2004,JL. PALEDANG,02,02,CAMPAKA,
16,AL IMAN,1992,BELAKANG BPKP,02,03,CAMPAKA,
17,AL BAROKAH,1993,,07,09,CIROYOM,
18,MIFTAHUL JANNAH,1970,BOJONG KONENG,02,06,CAMPAKA,
19,NUR AENI,1996,BOJONG KONENG,04,06,CAMPAKA,
20,AT TAUFIK,1978,BABAKAN CIANJUR,01,07,CAMPAKA,
21,AL ROJAK,2009,BABAKAN CIANJUR,01,07,CAMPAKA,
22,AL MUMIN,2011,BABAKAN CIANJUR,02,07,CAMPAKA,
23,AL JAKARIA,2012,BABAKAN CIANJUR,05,07,CAMPAKA,
24,AL BAROKAH,1985,BABAKAN CIANJUR,03,07,CAMPAKA,
25,AL HIKMAH ,1985,BABAKAN CIANJUR,03,07,CAMPAKA,
26,AL BAROKAH,1982,BABAKAN CIANJUR,01,07,CAMPAKA,
