id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
1106712,"Belanja Jasa Konsultasi Perencanaan Kajian Pemutakhiran Basis Data PBB",2400000000,"Seleksi Umum",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Penyusunan Data Base Pajak Daerah",Barang/jasa,"Jasa Konsultansi",1,"Kota Bandung","Belanja Jasa Konsultasi Perencanaan Kajian Pemutakhiran Basis Data PBB",APBD," 2400000000",1.20.1.20.08.17.28.5.2.2.21.02,"Seleksi Umum",15-04-2014,17-06-2014,18-06-2014,17-10-2014
1054194,"Belanja Modal Pengadaan Alat Access Controll",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 Paket","Kota Bandung","Tersedianya Alat access controll",APBD," 50000000",1.20.1.20.08.01.13.5.2.3.10.16,"Pengadaan Langsung",25-04-2014,15-05-2014,16-05-2014,28-05-2014
879647,"Belanja Jasa konsultasi perencanaan paket 2",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Pemeliharaan rutin/berkala gedung kantor",Barang/jasa,"Jasa Konsultansi","1 Paket","Kota Bandung","Terpeliharanya gedung kantor",APBD," 20000000",1.20.1.20.08.02.22.5.2.2.21.02,"Pengadaan Langsung",19-03-2014,28-03-2014,01-04-2014,30-04-2014
1042634,"Belanja Penggandaan",25000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Fasilitasi Penyelesaian Piutang Pendaftaran",Barang/jasa,Barang,1,"Kota Bandung","Belanja Penggandaan",APBD," 25000000",1.20.1.20.08.17.51.5.2.2.06.02,"Pengadaan Langsung",02-04-2014,31-10-2014,02-04-2014,31-10-2014
1225205,"Belanja Cetak",70000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Intensifikasi dan ekstensifikasi PBB",Barang/jasa,Barang,1,"Kota Bandung","Belanja Cetak",APBD," 70000000",1.20.1.20.08.17.47.5.2.2.06.01,"Pengadaan Langsung",12-05-2014,28-05-2014,30-05-2014,13-06-2014
877966,"Belanja Modal Pengadaan Proyektor",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kota Bandung","Tersedianya peralatan dan perlengkapan kantor Dinas Pelayanan Pajak",APBD," 50000000",1.20.1.20.08.01.13.5.2.3.16.03,"Pengadaan Langsung",11-03-2014,19-03-2014,20-03-2014,11-04-2014
1056360,"Pemeliharaan Mebeulair Kantor Layanan PBB",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Pemeliharaan Rutin/Berkala mebeulair",Barang/jasa,"Jasa Lainnya","1 Tahun","Kota Bandung","terpeliharanya Mebeulair Kantor Layanan PBB",APBD," 50000000",1.20.1.20.08.02.29.5.2.2.20.05,"Pengadaan Langsung",30-04-2014,16-05-2014,19-05-2014,17-06-2014
1378355,"Belanja Pakaian Dinas Harian (PDH)",150000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Pengadaan Pakaian Dinas Berserta Perlengkapannya",Barang/jasa,Barang,"1 Paket","Kota Bandung","Tersedianya Pakaian Dinas Harian (PDH)",APBD," 150000000",1.20.1.20.08.03.02.5.2.2.12.04,"Pengadaan Langsung",12-05-2014,26-05-2014,28-05-2014,26-06-2014
1731689,"Belanja cetak",25000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Penyusunan renstra dan renja SKPD",Barang/jasa,Barang,1,"Kota Bandung","Belanja cetak",APBD," 25000000",1.20.1.20.08.21.16.5.2.2.06.01,"Pengadaan Langsung",04-09-2014,12-09-2014,16-09-2014,22-09-2014
1053444,"Belanja Souvenir",100000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS PELAYANAN PAJAK",2014,"Penyediaan Barang Cetakan dan Penggandaan",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Tersedianya Souvenir Disyanjak",APBD," 100000000",1.20.1.20.08.01.11.5.2.2.01.11,"Pengadaan Langsung",21-04-2014,05-05-2014,06-05-2014,23-05-2014
