kecamatan,laki_laki_belum_kawin,laki_laki_kawin,laki_laki_cerai_hidup,laki_laki_cerai_mati,perempuan_belum_kawin,perempuan_kawin,perempuan_cerai_hidup,perempuan_cerai_mati
Bandung Kulon,37222,33436,550,656,3039,34121,961,5075
Babakan Ciparay,37777,36432,603,808,32578,32064,1071,5762
Bojongloa Kaler,34523,26912,233,294,2545,29114,1016,2863
Bojongloa Kidul,21292,21501,497,1027,18403,19078,1063,2806
Astana Anyar,15005,18251,244,1076,14556,15322,654,3721
Regol,17865,20666,400,1869,1456,19304,2368,4435
Lengkong,16879,17689,249,527,13653,18027,1594,2569
Bandung Kidul,13596,14916,394,684,13501,13071,399,2396
Buah Batu,24144,22481,843,368,22245,22361,455,221
Rancasari,1957,1859,231,216,13664,18468,852,5304
Gedebage,8543,9371,142,476,8307,8446,427,137
Cibiru,19611,16051,138,915,14428,19151,165,1555
Panyileukan,12544,7347,155,309,8311,9386,1024,1172
Ujung Berung,17929,201,522,538,16304,19536,457,1517
Cinambo,7296,5322,167,141,4675,6084,697,850
Arcamanik,16365,18157,225,451,15118,17686,371,940
Antapani,15949,20707,394,398,14423,18338,687,3564
Mandalajati,15913,15073,306,1066,13392,13908,242,3679
Kiara Condong,31263,33392,1575,154,274,33564,2683,1941
Batununggal,27186,30725,2238,1617,20742,31603,2421,4395
Sumur Bandung,9591,7577,91,1199,8018,7439,443,2223
Andir,2297,24267,1098,1293,2027,20384,1975,5296
Cicendo,2474,22779,1923,821,14673,2681,2122,5884
Bandung Wetan,7573,7205,428,217,5319,7663,669,205
Cibeunying Kidul,22159,27858,3202,1437,21645,28299,493,2712
Cibeunying Kaler,19538,14118,1468,1263,15246,14954,1428,291
Coblong,40196,27353,752,815,29873,28002,1825,2714
Sukajadi,29727,23725,682,318,24181,25837,1011,2894
Sukasari,19257,20096,612,982,14972,2053,1247,4212
Cidadap,13306,15628,779,235,8896,1747,622,1736
