lokasi,nama_komoditas,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31
"Pasar Andir","Beras Medium",9500,9500,0,0,10000,10000,10000,0,10000,0,0,10000,10000,0,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10,10000,10000,0
"Pasar Andir","Cabe Merah",20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,0,20000,20000,0,0,18000,18000,18000,18000,18000,0,0,15000,15000,15,15000,0,0
"Pasar Andir","Bawang Merah",20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,0,20000,20000,0,0,20000,0,20000,20000,20000,0,0,20000,20000,20,20000,20000,0
"Pasar Andir","Daging Ayam Ras",28000,28000,0,0,28000,28000,28000,28000,28000,0,0,30000,30000,0,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30,30000,30000,0
"Pasar Andir","Telur Ayam Ras",18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,0,18000,18000,0,0,19000,19000,19000,19000,19000,0,0,19000,19000,19,19000,19000,0
"Pasar Andir","Daging Sapi",110000,110000,0,0,110000,110000,110000,110000,110000,0,0,110000,110000,0,110000,110000,0,0,110000,110000,110000,110000,110000,0,0,110000,110000,110,110000,110000,0
"Pasar Andir","Minyak Goreng",14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,0,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14,14000,14000,0
"Pasar Andir","Gula Pasir",12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12,12,12000,0
"Pasar Andir",Kentang,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,0,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11,11000,11000,0
"Pasar Andir",Kedelai,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,0,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11,11000,11000,0
"Pasar Andir","Tepung Terigu",7500,7500,0,0,7500,7500,7500,0,7500,0,0,7500,7500,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,75000,8,75000,7500,0
"Pasar Andir","Bawang Putih",20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,0,20000,20000,0,0,20000,20000,0,20000,20000,0,0,20000,20000,20,20000,20000,0
"Pasar Andir","Cabe Keriting",25000,25000,0,0,25000,25000,25000,25000,25000,0,0,18000,18000,0,18000,18000,0,0,0,18000,18000,18000,18000,0,0,15000,15000,15,15000,15000,0
"Pasar Andir","Cabe Rawit",45000,45000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,0,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,18000,18000,18,18000,18000,0
"Pasar Andir","Kacang Tanah",28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,0,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0
"Pasar Andir","Ubi Kayu",3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,0,3000,3000,0,0,3000,3000,3000,30000,30000,0,0,3000,3000,3,3000,3000,0
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,0,7000,7000,0,0,7000,7000,7000,7000,0,0,0,7000,7000,7,7000,7000,0
"Pasar Andir","Ikan Olahan",0,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,0,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45,45000,45000,0
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,0,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,10000,10000,10,10000,10000,0
"Pasar Andir","Daging Ayam Kampung",60000,60000,0,0,60000,0,60000,60000,60000,0,0,60000,60000,0,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000,60,60000,60000,0
"Pasar Andir","Telur Ayam Kampung",40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,0,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0
"Pasar Andir","Susu Kental Manis Merk Bendera",9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,0,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,10,9500,9500,0
"Pasar Andir","Susu Kental Manis Merk Indomilk",9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,0,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9,9000,9000,0
"Pasar Andir","Garam Beryodium Bata",1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,0,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1,1000,1000,0
"Pasar Andir","Garam Beryodium Halus",3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,0,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3,3000,3000,0
"Pasar Andir","Tepung Terigu Cakra Kembar",7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,0,0,0,7500,7500,0
"Pasar Andir","Tepung Terigu Kunci",7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,0,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7,7000,7000,0
"Pasar Andir","Mie Instan",2000,2000,0,0,2000,2000,2000,0,2000,0,0,2000,2000,0,2000,2000,0,0,2000,2000,2000,2000,2000,0,0,2000,2000,2,2000,2000,0
"Pasar Andir","Cabe Rawit Hijau",20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,0,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,15000,15000,15,15000,15000,0
"Pasar Andir","Kacang Hijau",21000,21000,0,0,21000,21000,21000,21000,21000,0,0,0,21000,0,21000,21000,0,0,21000,21000,21000,0,21000,0,0,21000,21000,21,21000,21000,0
"Pasar Andir","Susu Bubuk Dancow",35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000,35000,0,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35,35000,35000,0
"Pasar Andir","Susu Bubuk Indomilk",32000,32000,0,0,32000,32000,32000,32000,0,0,0,32000,32000,0,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32,32,32000,0
"Pasar Andir","Ikan Kembung",27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,0,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,27,27000,27000,0
