Kecamatan,Berusaha Sendiri,Buruh Tidak Tetap/ Tidak Dibayar,Buruh Tetap/ Dibayar,Buruh / Karyawan/ Pegawai Swasta,PNS / TNI /BUMD / Legislatif,Pekerja BebasPertanian,Pekerja BebasNon Pertanian,Pekerja KeluargaTidak Dibayar,Total KRT
BANDUNG KULON,"1,450",36,35,"2,673",3,31,"1,077",29,"7,543"
BABAKAN CIPARAY,"1,887",72,39,"3,740",2,28,672,41,"8,603"
BOJONGLOA KALER,"1,932",101,38,"4,120",5,8,497,44,"10,055"
BOJONGLOA KIDUL,790,41,28,"2,519",2,7,278,5,"5,136"
ASTANAANYAR,688,26,4,577,7,9,480,9,"3,101"
REGOL,721,16,45,"1,118",2,6,244,30,"3,479"
LENGKONG,497,15,1,560,2,0,351,10,"1,904"
BANDUNG KIDUL,565,18,7,743,3,28,952,11,"3,392"
BUAHBATU,924,41,27,"1,520",3,151,939,9,"4,551"
RANCASARI,456,17,3,758,1,32,604,2,"2,834"
GEDEBAGE,272,1,3,385,2,155,349,12,"1,546"
CIBIRU,793,114,16,969,0,28,722,14,"3,852"
PANYILEUKAN,319,7,12,671,0,10,2,1,"1,285"
UJUNG BERUNG,843,70,16,"1,274",6,87,863,38,"4,813"
CINAMBO,337,1,10,302,0,49,213,0,"1,290"
ARCAMANIK,435,7,7,"1,132",4,26,777,22,"3,515"
ANTAPANI,400,6,12,548,0,2,525,18,"2,300"
MANDALAJATI,778,2,4,819,6,2,572,1,"3,338"
KIARACONDONG,"1,116",20,24,"2,249",11,8,"1,375",39,"7,042"
BATUNUNGGAL,"1,209",59,36,"2,465",3,11,885,55,"7,187"
SUMUR BANDUNG,149,18,1,203,1,1,90,2,719
ANDIR,895,75,17,"1,255",4,3,852,11,"4,515"
CICENDO,397,47,26,"1,230",2,21,268,23,"3,535"
BANDUNG WETAN,192,2,23,219,0,0,138,1,845
CIBEUNYING KIDUL,598,9,3,"1,450",6,3,600,57,"5,261"
CIBEUNYING KALER,294,10,4,543,1,1,703,7,"2,422"
COBLONG,612,38,6,"1,423",5,4,"1,013",32,"4,806"
SUKAJADI,531,31,7,"1,444",5,3,766,4,"4,822"
SUKASARI,266,27,1,972,0,0,10,3,"1,939"
CIDADAP,123,4,13,548,1,13,227,7,"1,602"
JUMLAH,"20,469",931,468,"38,429",87,727,"17,044",537,"117,232"
