nama_kegiatan,skpd,harga_kontrak,nomor,nama_pekerjaan,metode,npwp,nama_perusahaan,alamat,hps,penawaran,setelah_negosiasi,alamat_pemenang,npwp
Cetak Buku LKPJ Walikota Bandung Tahun 2013,Badan Perencanaan dan Pembangunan Daerah,130350000,07.01/21.12/PPBJ/2014,Belanja Jasa Cleaning Service,Pengadaan Langsung,01.476.608.3-423.000,CV. KARYA PUTRA SEJATI,Jl. Bekamin No. 6,191984577,191739520,191646280,CV. KARYA PUTRA SEJATI Jl. Bekamin No. 6,01.476.608.3-423.000
Belanja Cetak,Badan Perencanaan dan Pembangunan Daerah,195910000,07.01/II/20.06/PPBJ/2014,"Belanja Pembelian Accu, ban & Belanja Bahan Bakar/Gas dan Pelumas & Belanja Jasa Service",Pengadaan Langsung,31.159.412.1-424.000,CV MUTIARA AUTO SERVICES,JL TERUSAN BUAH BATU NO 32,122645512,122521300,122494900,CV MUTIARA AUTO SERVICES JL TERUSAN BUAH BATU NO 32,31.159.412.1-424.000
Belanja Kawat/faksimili/Internet,Badan Perencanaan dan Pembangunan Daerah,59400000,07.01/15.11/PPBJ/2014,Belanja Jasa Kosultansi Sistem Informasi Administrasi Tata Usaha,Pengadaan Langsung,01.500.039.1-423.000,PT BOGASIGMA NUSANTARA,Jl. Panaitan No. 29,43192050,43126050,42977550,PT BOGASIGMA NUSANTARA Jl. Panaitan No. 29,01.500.039.1-423.000
Belanja Makanan dan Minuman Rapat & Belanja Sewa Ruang Rapat/Pertemuan,Badan Perencanaan dan Pembangunan Daerah,101066000,07.02/III/20.06/PPBJ/2014,Pengadaan mobile file system,Pengadaan Langsung,01.983.970.9-422.000,CV PUSER BUYUT,Jl. Kopo No.295 Bandung,55913000,55660000,55440000,CV PUSER BUYUT Jl. Kopo No.295 Bandung,01.983.970.9-422.000
Belanja Kawat/Faksimili/Internet,Badan Perencanaan dan Pembangunan Daerah,89903000,07/02.31/I/PPBJ-SekretBapp,Pelaburan Gedung/Aula Pelayanan,Pengadaan Langsung,02.445.961.2-429.000,CV. NURAYA PRIMA,Jl. Tulip Mekar IV No. 5 Rt.08 Rw.02,98587500,97930250,97798800,CV. NURAYA PRIMA Jl. Tulip Mekar IV No. 5 Rt.08 Rw.02,02.445.961.2-429.000
Belanja Makanan dan Minuman Kegiatan Musrenbang Kota,Badan Perencanaan dan Pembangunan Daerah,148500000,07.02/21.09/Peng.Pem/PBJ/2014,Belanja Bahan Bakar Minyak/Gas dan Pelumas,Pengadaan Langsung,21.106.607.1-423.000,CV MULYA,Jl LL.R.E Martadinata No. 79,141535200,141535200,141401700,CV MULYA Jl LL.R.E Martadinata No. 79,21.106.607.1-423.000
Belanja Makanan dan Minuman Kegiatan Sosialisasi TEPPA,Badan Perencanaan dan Pembangunan Daerah,97500000,07.01/IV/01.17/PPBJ/2014,Belanja Pemeliharaan Bangunan Kantor (Belanja Pemeliharaan/Penataan Ruang Kerja Lantai 2),Pengadaan Langsung,02.244.584.5-428.000,CV. BYIRA CONTRACTOR TEAM,JL. BUDHI NO.34,189904103,186442530,185108680,CV. BYIRA CONTRACTOR TEAM JL. BUDHI NO.34,02.244.584.5-428.000
Belanja Jasa Cleaning Service,Badan Perencanaan dan Pembangunan Daerah,191646280,07.01/I/02.22/PPBJ/2014,Belanja Bahan Bakar Minyak,Pengadaan Langsung,21.106.607.1-423.000,CV. MULYA,Jl. LL. R. E. Martadinata No. 79,735885000,735885000,735885000,CV. MULYA Jl. LL. R. E. Martadinata No. 79,21.106.607.1-423.000
Co-Location Server System E-Proc,Badan Perencanaan dan Pembangunan Daerah,77440000,01/23.07/Pengumuman.PPBJ-LPSE/I,Belanja Jasa Cleaning Service,Pengadaan Langsung,01.448.462.0-424.000,CV. DEWI MUKTI,Jl. Parakan Wangi No. 23,119770960,119544030,119292130,CV. DEWI MUKTI Jl. Parakan Wangi No. 23,01.448.462.0-424.000
"Belanja Pembelian Accu, ban & Belanja Bahan Bakar/Gas dan Pelumas & Belanja Jasa Service",Badan Perencanaan dan Pembangunan Daerah,122494900,027/07-II.LPSEBapp,Belanja Modal Pengadaan Meja Kerja,Pengadaan Langsung,01.450.068.0-424.000,CV. ADERA,Jl. Sukabumi Dalam No. 267/123,74919900,74587700,74525000,CV. ADERA Jl. Sukabumi Dalam No. 267/123,01.450.068.0-424.000
