nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,8711,3556,40.82,0,0.00,0,0.00,0,0.00
Coblong,16216,7051,43.48,15,0.09,13,0.08,28,0.17
Babakan Ciparay,21459,8322,38.78,8122,37.85,13337,62.15,21459,100.00
Bojongloa Kaler,17533,7890,45.00,7541,43.01,9917,56.56,17458,99.57
Andir,14100,3765,26.70,0,0.00,0,0.00,0,0.00
Cicendo,13814,9251,66.97,0,0.00,13814,100.00,13814,100.00
Sukajadi,16502,4969,30.11,0,0.00,0,0.00,0,0.00
Cidadap,8119,2624,32.32,2623,32.31,0,0.00,2623,32.31
Bandung Wetan,5111,2090,40.89,9,0.18,0,0.00,9,0.18
Astana Anyar,9533,2294,24.06,0,0.00,0,0.00,0,0.00
Regol,12215,3666,30.01,0,0.00,0,0.00,0,0.00
Batununggal,16748,9305,55.56,0,0.00,0,0.00,0,0.00
Lengkong,15198,5767,37.95,1965,12.93,12983,85.43,14948,98.36
Cibeunying Kidul,17404,7879,45.27,7043,40.47,9878,56.76,16921,97.22
Bandung Kulon,14779,10558,71.44,5406,36.58,5384,36.43,10790,73.01
Kiaracondong,15248,8790,57.65,0,0.00,0,0.00,0,0.00
Bojongloa Kidul,12094,4927,40.74,2102,17.38,8972,74.19,11074,91.57
Cibeunying Kaler,10179,1992,19.57,3028,29.75,7151,70.25,10179,100.00
Sumur Bandung,6339,3012,47.52,0,0.00,0,0.00,0,0.00
Antapani,9986,1356,13.58,0,0.00,0,0.00,0,0.00
Bandung Kidul,4263,1907,44.73,1875,43.98,2368,55.55,4243,99.53
Buahbatu,11552,2168,18.77,0,0.00,0,0.00,0,0.00
Rancasari,10080,1557,15.45,1417,14.06,138,1.37,1555,15.43
Arcamanik,8549,3245,37.96,0,0.00,0,0.00,0,0.00
Cibiru,9564,3426,35.82,1306,13.66,2332,24.38,3638,38.04
Ujung Berung,20436,16669,81.57,5473,26.78,6336,31.00,11809,57.79
Gedebage,8871,2753,31.03,570,6.43,5061,57.05,5631,63.48
Panyileukan,5495,1428,25.99,726,13.21,702,12.78,1428,25.99
Cinambo,4136,1497,36.19,777,18.79,1511,36.53,2288,55.32
Mandalajati,11098,4107,37.01,4107,37.01,6991,62.99,11098,100.00
