nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,7,0,0,0,0,11,4
Coblong,36,0,0,0,0,14,3
Babakan Ciparay,1,0,0,0,0,13,1
Bojongloa Kaler,37,0,0,0,0,2,17
Andir,8,2,0,0,0,0,0
Cicendo,1,0,0,0,0,30,2
Sukajadi,0,0,0,0,0,0,0
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,34,12,0,0,0,8,0
Astana Anyar,1,0,0,0,6,11,2
Regol,0,0,0,0,0,4,0
Batununggal,3,0,0,1,0,55,10
Lengkong,6,2,0,2,0,9,1
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,3,0,0,2,0,56,0
Kiaracondong,32,0,0,0,0,34,3
Bojongloa Kidul,27,6,0,0,14,4,0
Cibeunying Kaler,17,0,0,0,1,68,15
Sumur Bandung,5,1,0,0,0,0,0
Antapani,0,0,0,0,0,0,0
Bandung Kidul,7,0,0,2,0,15,4
Buahbatu,8,0,0,0,0,9,0
Rancasari,35,7,0,1,0,22,7
Arcamanik,0,0,0,0,0,0,0
Cibiru,10,1,0,0,0,6,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
