NO,NAMA PERUSAHAAN,ALAMAT,KET
1,WAROENG AYAM KAMPUNG (AKAM),Jl. Kh. Ahmad Dahlan No. 14,
2,PT. CITRA WIJAYA KARYA,Jl. Ibrahim Ajie No. 47,
3. ,PONDOK MAKAN IKAN CIANJUR ,Jl. Sukakarya No. 21,
4,RM. AYAM PENYET RIA,Jl. Supratman no.46,
5,CV. MAJU TERBANG TERUS/ LACAMERA,Jl. Naripan no.79,
6,CV. PUNCAK KARYA,Jl. Pasirkaliki no.147,
7,EM BOX,Jl. Belitung,
8,RUMAH MAKAN SANGUAN,Jl. Cigagak blok R-I & R-2,
9,WAROENG STEAK & SHAKE,Jl. Dipatiukur No. 63,
10,SAUNG LEGIT,Jl. Raya Ujung Berung No. 423,
11,JUPE FRIED CHICKEN,Jl. Jakarta No. 21,
12,MA UNEH,Ruko Puri Dago Kav 26 Jl. Terusan ,
13,CV. BHAKTI ANUGRAH JAYA,Jl. Karangsari No. 2,
14,BASO MALANG KARAPITAN,Jl. Kepatihan No 11-17 Lt. IV ,
15,BASO MALANG KARAPITAN,Jl. Karapitan No. 52,
16,BASO MALANG KARAPITAN,Jl. Merdeka No. 21,
17,DUNIA BARU,Jl. Gardujati No. 39,
18,WARUNG NASI AMPERA,Jl. Arcamanik Endah No. 38,
19,WARUNG NASI AMPERA,Jl. P.H.H. Mustopa No. 13,
20,PT. MOUNT SCOPUS INDONESIA/HARVEST,Jl. Buah Batu No. 262,
21,SANGKURIANG,Jl. Karangsari No. 5,
22,EATER'S COM,Jl. Bengawan No. 82,
23,KANTIN 407,Jl. Kopo No. 407,
24,JACKSTAR RESTOQ CAFE,Jl. Pelajar Pejuang 45 No. 9,
25,PT.DUTA ABADI PERKASA (BTNG INDAH FOOD COURT),Jl. Batu Nunggal Indah I No. 19,
