Kecamatan,Listrik / Gas,Minyak Tanah,Briket / Arang/ Kayu Bakar,Tidak Masak di Rumah,Total KRT
BANDUNG KULON,"7,187",86,75,195,"7,543"
BABAKAN CIPARAY,"7,948",242,162,251,"8,604"
BOJONGLOA KALER,"9,647",145,26,236,"10,055"
BOJONGLOA KIDUL,"4,816",92,55,173,"5,136"
ASTANAANYAR,"2,945",49,17,90,"3,101"
REGOL,"3,290",39,36,114,"3,479"
LENGKONG,"1,812",26,4,62,"1,904"
BANDUNG KIDUL,"3,265",26,33,68,"3,392"
BUAHBATU,"4,356",32,60,103,"4,551"
RANCASARI,"2,669",20,67,78,"2,834"
GEDEBAGE,"1,457",19,55,15,"1,546"
CIBIRU,"3,292",18,387,155,"3,852"
PANYILEUKAN,"1,253",6,15,11,"1,285"
UJUNG BERUNG,"4,388",26,247,152,"4,813"
CINAMBO,"1,249",2,10,29,"1,290"
ARCAMANIK,"3,331",28,71,85,"3,515"
ANTAPANI,"2,175",29,29,67,"2,300"
MANDALAJATI,"3,080",28,156,74,"3,338"
KIARACONDONG,"6,673",107,52,209,"7,042"
BATUNUNGGAL,"6,774",89,37,288,"7,188"
SUMUR BANDUNG,637,38,2,42,719
ANDIR,"4,233",113,50,119,"4,515"
CICENDO,"3,380",43,25,87,"3,535"
BANDUNG WETAN,737,11,8,89,845
CIBEUNYING KIDUL,"4,778",113,45,325,"5,261"
CIBEUNYING KALER,"2,318",26,25,53,"2,422"
COBLONG,"4,516",59,62,169,"4,806"
SUKAJADI,"4,597",61,57,107,"4,822"
SUKASARI,"1,900",9,18,12,"1,939"
CIDADAP,"1,523",6,59,14,"1,602"
JUMLAH,"110,226","1,588","1,945","3,472","117,234"
