nama_kecamatan,sd_ganjil,smp_ganjil,sma_ganji,smk_ganjil
Andir,567,408,398,143
Antapani,325,152,95,12
Arcamanik,466,192,65,41
Astanaanyar,451,78,36,134
Babakan Ciparay,508,188,63,0
Bandung Kidul,211,88,23,12
Bandung Kulon,599,117,61,62
Bandung Wetan,361,322,240,96
Batununggal,441,235,0,152
Bojongloa Kaler,261,222,151,50
Bojongloa Kidul,362,169,92,121
Buahbatu,362,171,95,574
Cibeunying Kaler,290,180,163,208
Cibeunying Kidul,536,230,198,188
Cibiru,385,109,170,73
Cicendo,588,416,460,326
Cidadap,256,121,35,28
Cinambo,96,15,0,17
Coblong,629,317,517,66
Gedebage,125,15,62,216
Kiaracondong,611,212,231,285
Lengkong,513,318,457,634
Mandalajati,335,85,31,6
Panyileukan,151,122,17,39
Rancasari,271,146,73,0
Regol,578,388,206,86
Sukajadi,506,102,184,39
Sukasari,479,421,89,113
Sumur Bandung,425,258,267,211
Ujungberung,343,212,163,27
