NO,KANTOR BERITA/RADIO/TV,KET
A,KANTOR BERITA,
1,ANTARA,http://www.antaranews.com/
2,PRSSNI,http://www.radioprssni.com/
B,RADIO,
1,PR FM,
2,RRI,
C,MEDIA ONLINE/SITUS/WEBS,
1,BALKOT. COM,http://www.balkot.com/
2,BANDUNG BLITZ,http://www.bandungblitz.com/
3,BANDUNGWEBS,http://www.bandungwebs.com/
4,BANDUNG POPULAR. COM,http://www.bandungpopular.com/
5,BASIS 13,http://www.basis13.com/
6,BEDA NEWS,http://www.bedanews.com/
7,BENTAR NEWS. COM,http://www.bentarnews.com/
8,BERITA LANGITAN. COM,http://www.beritalangitan.com/
9,BISA JADI. COM,http://www.bisajadi.com/
10,DETIK. COM,http://www.detik.com/
11,GLOBAL NEWS. COM,http://www.globalnews.com/
12,HARIAN TERBIT,http://www.harianterbit.com/
13,INFO DESAKU,http://www.infodesaku.com/
14,INILAH BANDUNG,http://inilahbandung.com/
15,JABAR NEWS. COM,http://www.jabarnews.com/
16,JABAR POS,http://jabarpos.com/
17,JAVA NEWS,http://javanews.com/
18,JUARA NEWS. COM,http://www.juaranews.com/
19,JURNAL MEDIA.COM,http://www.jurnalmedia.com/
20,LINTAS JABAR,http://www.lintasjabar.com/
21,MEDIA JABAR KITA,http://www.mediajabarkita
22,MEDIA PUSAKA,http://www.mediapusaka.com/
23,METRO REALITA,http://www.metrorealita.com/
24,MITRA BANDUNG,http://www.mitrabandung.com/
25,PAJAJARAN MERDEKA,http://www.pajajaranmerdeka.com/
26,POTENSI,
27,PUBLIKA NEWS ONLINE,http://www.publikanews.com/
28,PILAR NUSANTARA NEWS.COM,http://www.pilarnusantaranews.com/
29,REPORTASE. COM,http://www.reportase.com/
30,SEKILAS JABAR,http://www.sekilasjabar.com/
31,SEPUTAR JABAR ONLINE,http://www.seputarjabar.com/
32,SINAR PAGI NEWS,http://www.sinarpaginews.com/
33,RADAR SURYA NEWS,http://www.radarsuryanews.com
34,TRANS AKTUAL,http://www.transaktual.com/
35,60 MENIT. COM,http://60menit.com/
