nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,2,0,0,0,0,15,2
Coblong,13,0,0,2,0,5,0
Babakan Ciparay,0,0,0,0,0,8,4
Bojongloa Kaler,13,0,0,0,0,2,9
Andir,9,4,0,0,0,4,0
Cicendo,13,0,0,0,0,30,0
Sukajadi,17,0,0,0,1,50,12
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,5,0,0,0,0,3,0
Astana Anyar,0,0,0,0,0,0,0
Regol,0,0,0,0,0,14,0
Batununggal,4,0,0,0,0,13,4
Lengkong,7,2,0,0,0,3,0
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,0,0,0,2,0,33,0
Kiaracondong,4,1,0,2,0,32,3
Bojongloa Kidul,29,8,0,0,0,14,10
Cibeunying Kaler,11,0,0,0,0,6,2
Sumur Bandung,6,1,0,0,0,0,0
Antapani,0,0,0,0,0,0,0
Bandung Kidul,14,0,0,125,0,197,76
Buahbatu,18,2,0,2,0,8,0
Rancasari,14,4,0,0,0,21,7
Arcamanik,0,0,0,0,0,0,0
Cibiru,7,0,0,0,0,0,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
