lokasi,nama_komoditas,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31
"Pasar Kosambi","Beras Medium",0,0,0,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500,0,0,0,0,0,0,0,0,0,0,0,8500,8500,8500,8500,8500
"Pasar Kosambi","Cabe Merah",0,0,0,0,0,30000,20000,20000,20000,20000,0,0,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,25000,25000,25000,20000,20000
"Pasar Kosambi","Bawang Merah",0,0,0,0,0,26000,24000,24000,24000,24000,0,0,24000,24000,24000,0,0,0,0,0,0,0,0,0,0,0,16000,16000,16000,16000,16000
"Pasar Kosambi","Daging Ayam Ras",0,0,0,0,0,38000,34000,34000,34000,34000,0,0,32000,32000,32000,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,38000,38000
"Pasar Kosambi","Telur Ayam Ras",0,0,0,0,0,19500,18500,18500,18500,18500,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,0,0,19000,19000,19000,19500,19500
"Pasar Kosambi","Daging Sapi",0,0,0,0,0,110000,110000,110000,110000,110000,0,0,100000,100000,100000,0,0,0,0,0,0,0,0,0,0,0,100000,100000,100000,100000,100000
"Pasar Kosambi","Minyak Goreng",0,0,0,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,0,0,0,0,0,0,0,0,0,0,0,14000,14000,14000,14000,14000
"Pasar Kosambi","Gula Pasir",0,0,0,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500,0,0,0,0,0,0,0,0,0,0,0,11500,11500,11500,11500,11500
"Pasar Kosambi",Kentang,0,0,0,0,0,14000,14000,14000,12000,12000,0,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,0,12000,12000,12000,12000,12000
"Pasar Kosambi",Kedelai,0,0,0,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000
"Pasar Kosambi","Tepung Terigu",0,0,0,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,0,0,0,0,0,0,0,0,0,0,0,7500,7500,7500,7500,7500
"Pasar Kosambi","Bawang Putih",0,0,0,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,18000
"Pasar Kosambi","Cabe Keriting",0,0,0,0,0,20000,15000,15000,15000,15000,0,0,15000,15000,15000,0,0,0,0,0,0,0,0,0,0,0,15000,15000,15000,15000,15000
"Pasar Kosambi","Cabe Rawit",0,0,0,0,0,30000,25000,25000,25000,25000,0,0,25000,25000,25000,0,0,0,0,0,0,0,0,0,0,0,35000,35000,35000,30000,30000
"Pasar Kosambi","Kacang Tanah",0,0,0,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,18000
"Pasar Kosambi","Ubi Kayu",0,0,0,0,0,4000,4000,4000,4000,4000,0,0,4000,4000,4000,0,0,0,0,0,0,0,0,0,0,0,4000,4000,4000,4000,4000
"Pasar Kosambi","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi",Jagung,0,0,0,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,0,0,0,0,0,0,0,0,0,0,0,8000,8000,8000,8000,8000
"Pasar Kosambi","Ikan Olahan",0,0,0,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,0,0,0,0,0,0,0,0,0,0,0,50000,50000,50000,50000,50000
"Pasar Kosambi","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Minyak Goreng Curah",0,0,0,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500,0,0,0,0,0,0,0,0,0,0,0,11500,11500,11500,11500,11500
"Pasar Kosambi","Daging Ayam Kampung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Telur Ayam Kampung",0,0,0,0,0,48000,48000,48000,48000,48000,0,0,40000,40000,40000,0,0,0,0,0,0,0,0,0,0,0,40000,40000,40000,40000,40000
"Pasar Kosambi","Susu Kental Manis Merk Bendera",0,0,0,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000
"Pasar Kosambi","Susu Kental Manis Merk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Garam Beryodium Bata",0,0,0,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000
"Pasar Kosambi","Garam Beryodium Halus",0,0,0,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,0,0,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,3000
"Pasar Kosambi","Tepung Terigu Cakra Kembar",0,0,0,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,0,0,0,0,0,0,0,0,0,0,0,7500,7500,7500,7500,7500
"Pasar Kosambi","Tepung Terigu Kunci",0,0,0,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,0,0,0,0,0,0,0,0,0,0,0,7000,7000,7000,7000,7000
"Pasar Kosambi","Mie Instan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Cabe Rawit Hijau",0,0,0,0,0,25000,20000,20000,20000,20000,0,0,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,20000,24000,24000,20000,20000
"Pasar Kosambi","Kacang Hijau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Susu Bubuk Dancow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Susu Bubuk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Ikan Kembung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
