NO, TAHUN, BULAN, JUMLAH RITASI PDK DAN RENTAL, BERAT (TONASE) PDK DAN RENTAL, JUMLAH RITASI NON PDK, BERAT (TONASE) NON PDK, JUMLAH RITASI CARINGIN, BERAT (TONASE) CARINGIN
1, 2015, JANUARI, 5736, 23153.52, 128, 321.36.00, 333, 1389.18.00,
2, 2015, FEBRUARI, 5233, 21296.16, 113, 290.92, 325, 1365.27.00
3, 2015, MARET, 5850, 28991.75, 123, 469.12.00, 353, 2055.85
4, 2015, APRIL, 5676, 27708.71, 111, 439.91, 325, 1739.02.00 
5, 2015, MEI, 5715, 28583.08, 115, 505.84, 302, 1667.04.00
6, 2015, JUNI, 5680, 23275.81, 112, 295.97, 269, 1146.34.00
7, 2015, JULI, 5666, 23045.69, 106, 269.88, 206, 932.09.00
8, 2015, AGUSTUS, 6015, 26888.34, 101, 375.53.00, 215, 1237.37.00
9, 2015, SEPTEMBER, 5886, 23871.12, 99, 279.22.00, 185, 865.08.00
10, 2015, OKTOBER, 6111, 24093.85, 108, 281.72, 253, 1184.04.00
11, 2015, NOVEMBER, 5682, 23066.16, 92, 242.58.00, 223, 1043.64
12, 2015, DESEMBER, 5570, 22531.86, 105, 268.32.00, 205, 959.04.00
13, 2014, JANUARI, 6315, 31616.6, 86, 308.94, NULL, NULL
14, 2014, FEBRUARI, 6030, 34426.81, 106, 464.12.00, NULL, NULL
15, 2014, MARET, 6299, 27131.92, 127, 351.02.00, NULL, NULL
16, 2014, APRIL, 5264, 21428.16, 131, 323.07.00, NULL, NULL
17, 2014, MEI, 5397, 21994.44, 112, 279.24.00, NULL, NULL
18, 2014, JUNI, 5256, 25082.2, 113, 410.57.00, NULL, NULL
19, 2014, JULI, 5040, 27194.44, 112, 523.05.00, NULL, NULL
20, 2014, AGUSTUS, 5396, 25174.84, 122, 417.22.00, NULL, NULL
21, 2014, SEPTEMBER, 5433, 24276.35, 120, 409.96, NULL, NULL
22, 2014, OKTOBER, 5476, 22308.4, 138, 340.08.00, NULL, NULL
23, 2014, NOVEMBER, 5210, 22040.68, 127, 366.05.00, NULL, NULL
24, 2014, DESEMBER, 5297, 23016.89, 127, 371.39.00, NULL, NULL
25, 2013, JANUARI, 5757, 30616.63, 89, 314.17.00, NULL, NULL
26, 2013, FEBRUARI, 5256, 24785.71, 86, 282.02.00, NULL, NULL
27, 2013, MARET, 5992, 32832.13, 94, 408.13.00, NULL, NULL
28, 2013, APRIL, 5641, 32215.29, 91, 375.06.00, NULL, NULL
29, 2013, MEI, 6178, 32215.29, 101, 457.65, NULL, NULL
30, 2013, JUNI, 6080, 36286.23, 95, 457.49.00, NULL, NULL
31, 2013, JULI, 6324, 38788.55, 115, 519.75, NULL, NULL
32, 2013, AGUSTUS, 5926, 32190.14, 97, 364.71, NULL, NULL
33, 2013, SEPTEMBER, 6249, 33876.47, 87, 340, NULL, NULL
34, 2013, OKTOBER, 6237, 26063.55, 83, 212.13.00, NULL, NULL
35, 2013, NOVEMBER, 5962, 27914.12, 72, 219, NULL, NULL
36, 2013, DESEMBER, 5963, 30002.27, 103, 334.09.00, NULL, NULL
37, 2012, JANUARI, 6049, 35076, NULL, NULL, NULL, NULL
38, 2012, FEBRUARI, 5655, 32039, NULL, NULL, NULL, NULL
39, 2012, MARET, 6081, 35304, NULL, NULL, NULL, NULL
40, 2012, APRIL, 5936, 34196, NULL, NULL, NULL, NULL
41, 2012, MEI, 5955, 32854, NULL, NULL, NULL, NULL
42, 2012, JUNI, 5801, 26564, NULL, NULL, NULL, NULL
43, 2012, JULI, 6143, 34351, NULL, NULL, NULL, NULL
44, 2012, AGUSTUS, 5976, 32377, NULL, NULL, NULL, NULL
45, 2012, SEPTEMBER, 6097, 32564, NULL, NULL, NULL, NULL
46, 2012, OKTOBER, 5673, 29437, NULL, NULL, NULL, NULL
47, 2012, NOVEMBER, 4890, 26728, NULL, NULL, NULL, NULL
48, 2012, DESEMBER, 4385, 24166, NULL, NULL, NULL, NULL
49, 2011, JANUARI, 6205, 30678, NULL, NULL, NULL, NULL
50, 2011, FEBRUARI, 5478, 26373, NULL, NULL, NULL, NULL
51, 2011, MARET, 5880, 33785, NULL, NULL, NULL, NULL
52, 2011, APRIL, 5503, 25396, NULL, NULL, NULL, NULL
53, 2011, MEI, 5764, 33096, NULL, NULL, NULL, NULL
54, 2011, JUNI, 5725, 32633, NULL, NULL, NULL, NULL
55, 2011, JULI, 5962, 34400, NULL, NULL, NULL, NULL
56, 2011, AGUSTUS, 5784, 32927, NULL, NULL, NULL, NULL
57, 2011, SEPTEMBER, 5244, 24211, NULL, NULL, NULL, NULL
58, 2011, OKTOBER, 5872, 25064, NULL, NULL, NULL, NULL
59, 2011, NOVEMBER, 5589, 23663, NULL, NULL, NULL, NULL
60, 2011, DESEMBER, 5884, 24801, NULL, NULL, NULL, NULL
