lokasi,nama_komoditas,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31
"Pasar Kiaracondong","Beras Medium",0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,0,0,0,0,0,10000,10000,10000,0,0,10000,0,10000,10000,0,0,0,0
"Pasar Kiaracondong","Cabe Merah",0,0,20000,20000,20000,24000,24000,0,0,40000,40000,40000,30000,30000,0,0,0,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,0
"Pasar Kiaracondong","Bawang Merah",0,0,20000,20000,20000,20000,15000,0,0,15000,15000,15000,18000,18000,0,0,0,16000,16000,16000,15000,0,0,15000,15000,15000,15000,15000,0,0,0
"Pasar Kiaracondong","Daging Ayam Ras",0,0,36000,36000,37000,37000,37000,0,0,37000,37000,37000,39000,39000,0,0,0,40000,40000,40000,40000,0,0,40000,40000,40000,40000,37000,0,0,0
"Pasar Kiaracondong","Telur Ayam Ras",0,0,20000,20000,21000,21000,21000,0,0,22000,22000,22000,23000,23000,0,0,0,23000,23000,23000,23000,0,0,22000,22000,22000,22000,22000,0,0,0
"Pasar Kiaracondong","Daging Sapi",0,0,115000,115000,120000,120000,120000,0,0,130000,130000,130000,130000,130000,0,0,0,130000,130000,130000,120000,0,0,120000,120000,120000,120000,120000,0,0,0
"Pasar Kiaracondong","Minyak Goreng",0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,0,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,0
"Pasar Kiaracondong","Gula Pasir",0,0,13000,13000,13000,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,0,13000,13000,13000,12500,0,0,12500,12500,12500,12500,12500,0,0,0
"Pasar Kiaracondong",Kentang,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,11000,11000,0,0,0,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,0
"Pasar Kiaracondong",Kedelai,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,11000,11000,0,0,0,11000,11000,11000,11000,0,0,11000,10000,10000,10000,10000,0,0,0
