Kode Provinsi,Kab/Kota,Kode RS,Nama RS,Bulan,Tahun,No. Urut,Kode ICD 10,Deskripsi,Pasien Keluar hidup Menurut jenis Kelamin LK,Pasien Keluar hidup Menurut jenis Kelamin PR,Pasien Keluar Mati Menurut JK LK,Pasien Keluar Mati Menurut JK PR,Total All
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,1,P07.1,BBLR 1000-2499,21,23,3,2,49
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,2,O99.0,Anemia Pada Ibu Hamil dan Bersalin,0,45,0,0,45
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,3,O14.1,Preeklamsi Berat,0,44,0,0,44
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,4,P59.9,Icterus,14,21,0,0,35
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,5,O13,Hypertensi Gestasional,0,31,0,0,31
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,6,O42,Ketuban pecah Dini,0,31,0,0,31
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,7,P21.1,Asfiksia Ringan-sedang,19,9,0,0,28
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,8,O32.1,Letak Sungsang,0,25,0,0,25
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,9,A09,Gastroenteritis Akut,13,8,0,0,21
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Januari,2015,10,O03.4,Abortus Inkomplit,0,19,0,0,19
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,1,P07.1,BBLR 1000-2499,28,22,4,1,55
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,2,O99.0,Anemia Pada Ibu Hamil dan Bersalin,0,37,0,0,37
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,3,P21.1,Asfiksia Ringan-sedang,18,18,0,0,36
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,4,O14.1,Preeklamsi Berat,0,32,0,0,32
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,5,O42,Ketuban pecah Dini,0,28,0,0,28
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,6,J18.0,Bronchopneumonia,15,11,0,0,26
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,7,O03.4,Abortus Inkomplit,0,26,0,0,26
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,8,P59.9,Icterus,14,10,0,0,24
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,9,O32.1,Letak Sungsang,0,23,0,0,23
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Februari,2015,10,O13,Hypertensi Gestasional,0,19,0,0,19
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,1,P07.1,BBLR 1000-2499,36,22,3,1,62
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,2,P21.1,Asfiksia Ringan-sedang,23,23,0,0,46
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,3,O03.1,Abortus Inkomplit,0,40,0,0,40
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,4,O14.1,Preeklamsi Berat,0,40,0,0,40
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,5,J18.0,Bronchopneumonia,23,13,0,0,36
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,6,P59.9,Icterus,14,22,0,0,36
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,7,O99.0,Anemia Pada Ibu Hamil dan Bersalin,0,33,0,0,33
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,8,O42.0,Ketuban Pecah Dini,0,26,0,0,26
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,9,O32.1,Letak Sungsang,0,23,0,0,23
32prop,BANDUNG,3273260,RSKIA Kota Bandung,Maret,2015,10,O68.9,Gawat janin,0,23,0,0,23
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,1,P07.1,BBLR 1000-2499,29,36,2,1,68
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,2,P21.1,Asfiksia Ringan-sedang,27,39,0,0,66
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,3,O99.0,Anemia Pada Ibu Hamil dan Bersalin,0,34,0,0,34
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,4,O14.1,Preeklamsi Berat,0,33,0,0,33
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,5,O34.2,Persalinan Bekas Sectio Caesar,0,29,0,0,29
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,6,P59.9,Icterus,21,8,0,0,29
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,7,O68.9,Gawat janin,0,25,0,0,25
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,8,J18.0,Bronchopneumonia,14,8,0,0,22
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,9,O42.0,Ketuban Pecah Dini,0,21,0,0,21
32prop,BANDUNG,3273260,RSKIA Kota Bandung,APRIL,2015,10,O03.4,Abortus Inkomplit,0,20,0,0,20
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,1,P07.1,BBLR 1000-2499,36,28,1,1,66
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,2,P21.1,Asfiksia Ringan-sedang,27,21,0,0,48
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,3,O14.1,Preeklamsi Berat,0,40,0,0,40
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,4,P59.9,Icterus,22,17,0,0,39
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,5,O42.0,Ketuban Pecah Dini,0,35,0,0,35
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,6,O32.1,Letak Sungsang,0,33,0,0,33
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,7,O03.4,Abortus Inkomplit,0,31,0,0,31
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,8,P76.0,Meconium Steaning,15,13,0,0,28
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,9,O99.0,Anemia Pada Ibu Hamil dan Bersalin,0,27,0,0,27
32prop,KOTA BANDUNG,3273260,RSKIA Kota Bandung,MEI,2015,10,O34.2,Persalinan Bekas Sectio Caesar,0,22,0,0,22
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,1,P07.1,BBLR 1000-2499,26,26,0,0,52
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,2,P21.1,Asfiksia Ringan-sedang,17,26,0,0,43
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,3,O14.1,Preeklamsi Berat,0,41,0,0,41
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,4,P59.9,Icterus,19,12,0,0,31
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,5,O32.1,Letak Sungsang,0,30,0,0,30
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,6,O34.2,Persalinan Bekas Sectio Caesar,0,30,0,0,30
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,7,O99.0,Anemia Pada Ibu Hamil dan Bersalin,0,27,0,0,27
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,8,O42.0,Ketuban Pecah Dini,0,25,0,0,25
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,9,O03.4,Abortus Inkomplit,0,17,0,0,17
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JUNI,2015,10,O44.1,Plasenta Previa Totalis,0,17,0,0,17
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,1,P07.1,BBLR 1000-2499,36,34,3,0,73
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,2,O14.1,Preeklamsi Berat,0,47,0,0,47
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,3,P21.1,Asfiksia Ringan-sedang,24,14,1,0,39
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,4,O42.0,Ketuban Pecah Dini,0,27,0,0,27
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,5,P59.9,Icterus,17,8,0,0,25
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,6,O03.1,Abortus Inkomplit,0,23,0,0,23
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,7,O32.1,Letak Sungsang,0,23,0,0,23
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,8,O34.2,Persalinan Bekas Sectio Caesar,0,23,0,0,23
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,9,O99.0,Anemia Pada Ibu Hamil dan Bersalin,0,19,0,0,19
32prop,BANDUNG,3273260,RSKIA Kota Bandung,JULI,2015,10,O68.9,Gawat Janin,0,17,0,0,17
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,1,P07.1,BBLR 1000-2499,32,25,1,1,59
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,2,A09,Gastroenteritis akut,28,10,0,0,38
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,3,O14.1,Preeklamsi Berat,0,36,0,0,36
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,4,P21.1,Asfiksia Ringan-sedang,21,11,0,0,32
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,5,O34.2,Persalinan Bekas Sectio Caesar,0,27,0,0,27
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,6,O44.1,Plasenta Previa,0,24,0,0,24
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,7,O32.1,Letak Sungsang,0,24,0,0,24
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,8,P59.9,Icterus,16,7,0,0,23
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,9,O42.0,Ketuban Pecah Dini,0,22,0,0,22
32prop,BANDUNG,3273260,RSKIA Kota Bandung,AGUSTUS,2015,10,P76.0,Meconium Steaning,13,5,0,0,18
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,1,O42.0,Ketuban Pecah Dini,0,83,0,0,83
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,2,P07.1,BBLR 1000-2499,20,28,7,3,58
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,3,O14.1,Pre Eklampsi Berat,0,39,0,0,39
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,4,P21.1,Asfiksia Ringan-sedang,21,18,0,0,39
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,5,A09,Gastroenteritis Akut,28,9,0,0,37
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,6,O03.1,Abortus Inkomplit,0,33,0,0,33
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,7,P59.9,Neonatal hyperbilirubin,19,6,0,0,25
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,8,P76.0,Meconeum Steaning,9,13,0,0,22
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,9,O32.1,Persalinan Letak Sungsang,0,21,0,0,21
32prop,BANDUNG,3273260,RSKIA Kota Bandung,SEPTEMBER,2015,10,O44.1,Placenta Previa,0,20,0,0,20
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,1,P07.1,BBLR 1000-2499,31,30,3,1,65
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,2,O42.0,KETUBAN PECAH DINI,0,41,0,0,41
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,3,O14.1,PREEKLAMPSI BERAT,0,39,0,0,39
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,4,A09,GASTROENTERITIS AKUT,21,11,0,0,32
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,5,O13,HYPERTENSI GESTASIONAL,0,32,0,0,32
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,6,P76.0,MECONIUM STEANING,14,16,0,0,30
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,7,O32.1,KEHAMILAN LETAK SUNGSANG,0,27,0,0,27
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,8,P59.9,ICTERUS/NH,14,12,0,0,26
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,9,P21.1,ASFIKSIA RINGAN-SEDANG,13,12,0,0,25
32prop,BANDUNG,3273260,RSKIA Kota Bandung,OKTOBER,2015,10,O34.2,PERSALINAN DENGAN RIWAYAT SC,0,24,0,0,24
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,1,P07.1,BBLR 1000-2499,21,32,0,1,54
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,2,O14.1,Preeklamsi Berat,0,41,0,0,41
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,3,P21.1,Asfiksia Ringan-sedang,16,13,0,0,29
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,4,O42.0,Ketuban Pecah Dini,0,25,0,0,25
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,5,P59.9,Icterus,16,8,0,0,24
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,6,O03.1,Abortus Inkomplit,0,21,0,0,21
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,7,O34.2,Persalinan dengan Riwayat Bekas SC,0,21,0,0,21
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,8,A09,Gastoenteritis Acut,10,8,0,0,18
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,9,O02.0,Blight Ovum,0,18,0,0,18
32prop,BANDUNG,3273260,RSKIA Kota Bandung,NOVEMBER,2015,10,O32.1,Letak Sungsang,0,17,0,0,17
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,1,P07.1,BBLR 1000-2499,24,27,2,1,54
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,2,O42.0,Ketuban Pecah Dini,0,50,0,0,50
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,3,O03.1,Abortus Inkomplit,0,37,0,0,37
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,4,O13,Preeklampsi Ringan,0,36,0,0,36
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,5,O14.1,Preeklampsi Berat,0,32,0,0,32
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,6,O72.1,Perdarahan Post Partum,0,28,0,0,28
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,7,P59.9,Icterus,10,15,0,0,25
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,8,P21.1,Asfiksia Ringan-sedang,15,7,1,0,23
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,9,O63.1,Persalinan Kala 2 Lama,0,22,0,0,22
32prop,BANDUNG,3273260,RSKIA Kota Bandung,DESEMBER,2015,10,O68.9,Gawat Janin,0,22,0,0,22
