lokasi,nama_komoditas,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21,2014-09-22,2014-09-23,2014-09-24,2014-09-25,2014-09-26,2014-09-27,2014-09-28,2014-09-29,2014-09-30
"Pasar Baru","Beras Medium",0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0
"Pasar Baru","Cabe Merah",0,0,22000,28000,28000,28000,35000,0,0,38000,38000,38000,38000,38000,0,0,40000,40000,40000,40000,40000,0,0,32000,32000,32000,32000,32000,0,0
"Pasar Baru","Bawang Merah",0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0
"Pasar Baru","Daging Ayam Ras",0,0,36000,36000,36000,36000,36000,0,0,33000,33000,33000,33000,33000,0,0,35000,35000,35000,35000,35000,0,0,30000,30000,30000,30000,30000,0,0
"Pasar Baru","Telur Ayam Ras",0,0,19500,19500,19500,19500,19500,0,0,19000,19000,19000,19000,19000,0,0,18500,18500,18500,18500,18500,0,0,18500,18500,18500,18500,18500,0,0
"Pasar Baru","Daging Sapi",0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0
"Pasar Baru","Minyak Goreng",0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0
"Pasar Baru","Gula Pasir",0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0
"Pasar Baru",Kentang,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0
"Pasar Baru",Kedelai,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0
"Pasar Baru","Tepung Terigu",0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0
"Pasar Baru","Bawang Putih",0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0
"Pasar Baru","Cabe Keriting",0,0,15000,15000,15000,15000,20000,0,0,25000,25000,25000,25000,25000,0,0,23000,23000,23000,23000,23000,0,0,25000,25000,25000,25000,25000,0,0
"Pasar Baru","Cabe Rawit",0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0
"Pasar Baru","Kacang Tanah",0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0
"Pasar Baru","Ubi Kayu",0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0
"Pasar Baru","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru",Jagung,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0
"Pasar Baru","Ikan Olahan",0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0
