npwp,nama_peserta,jml_partisipasi,jml_menang,persentase_partisipasi,persentase_menang
01.822.790.0-441.000,PT. PURI DIMENSI,41,9,6.43,21.95
31.377.169.3-421.000,CV. MADINA MADANI MANDIRI,10,8,1.57,80
02.046.668.6-423.000,PT. GEOMATIKA MULTI SOLUTION,29,7,4.55,24.14
01.588.950.4-424.000,PT. MULTIKREASI KARYA UTAMA,47,7,7.37,14.89
01.118.674.9-441.000,PT. HEGAR DAYA,52,6,8.15,11.54
01.622.271.3-423.000,PT. BINA INDEX CONSULT,49,6,7.68,12.24
02.606.700.9-423.000,PT.MARATAMA CIPTA MANDIRI,17,5,2.66,29.41
31.604.229.0-429.000,CV. LEVIANA ABADI,73,5,11.44,6.85
02.333.122.6-441.000,PT. INASA SAKHA KIRANA,63,5,9.87,7.94
02.761.043.5-421.000,CV BANGKIT SEJAHTERA,8,5,1.25,62.5
02.241.514.5-423.000,CV.EMPAT PETULAI,35,5,5.49,14.29
01.555.547.7-429.000,PT. ALOCITA MANDIRI,63,5,9.87,7.94
02.108.378.7-429.000,PT. MUNASA KREASI NUSANTARA,70,5,10.97,7.14
01.579.885.3-424.000,PT.CURUG KEMBAR MAS,64,5,10.03,7.81
01.778.444.8-445.000,CV. BAGUS DARAJAT,80,5,12.54,6.25
