nama_pasar,alamat,kelurahan,kecamatan,tahun_perolehan,karakteristik,komoditi_unggulan,bersertifikat,dikelola_dengan_pihak_ketiga,nama_pihak_ketiga,kelas_pasar,luas,status_hak_pakai,latitude,longitude
Andir,Jl. Waringin,Ciroyom,Andir,1977,Pasar Eceran,Pakaian Jadi,Ya,Tidak,-,1,9120,SPTB,-6.918088,107.59049
Anyar,Jl. Astana Anyar,Nyengseret,Astana Anyar,1977,Pasar Eceran,"Ikan Basah, Bumbu, Keringan",Belum,Tidak,-,1,15700,SPTB,-6.930486,107.600921
Balubur,Jl. Taman Sari,Taman Sari,Bandung Wetan,-,Pasar Eceran,"Alat Tulis Kantor, Fashion",Belum,Tidak,PT. Hexa Pilar Utama,1,12504,SPTB,-6.898685,107.608578
Banceuy,Jl. Banceuy,Braga,Sumur Bandung,1977,Pasar Khusus (Otomotif dan Onderdil),,Belum,Ya,-,2,1659,SPTB,-6.916,107.606254
Baru,Jl. Oto Iskandardinata No. 70,Kebon Jeruk,Andir,1975,Pasar Grosir dan Eceran,Fashion,Belum,Ya,PT. Atanaka Persada Permai,1,8920,SPTB,-6.917394,107.603881
Buah Batu (Kordon),Jl. Puskesmas,Kamujang Sari,Bandung Kidul,-,-,-,Belum,Tidak,-,3,4560,-,-6.9543045,107.6371188
Cicadas,Jl. Ibrahim Adjie,Babakan Surabaya,Kiaracondong,1977,Pasar Eceran,"Basahan, Keringan, Eceran",Ya,Ya,PT. Marga Tirta Kencana,1,19220,SPTB,-6.91144,107.644
Cicaheum,Jl. Kaum,Padasuka,Kiaracondong,1985,Pasar Eceran,"Sayuran, Keringan, Beras",Ya,Tidak,-,2,3878,SSTU,-6.903108,107.656912
Cihapit,Jl. Cihapit,Cihapit,Bandung Wetan,1927,Pasar Eceran,"Sayuran, Keringan, Ayam Potong",Belum,Tidak,-,2,1484,SSTU,-6.908481,107.622558
Cihaurgeulis,Jl. Surapati,Sukaluyu,Cibeunying Kaler,1985,Pasar Eceran,"Sayuran, Keringan, Ayam Potong",Ya,Tidak,-,2,4560,SSTU,-6.899349,107.627375
Cijerah,Jl. Cijerah,Cijerah,Bandung Kulon,1978,Pasar Eceran,"Sayuran, Keringan, Ayam Potong",Belum,Tidak,-,2,2622,SSTU,-6.925694,107.587631
Cikapundung,Jl. ABC,Braga,Sumur Bandung,1977,Pasar Eceran,Pakaian Jadi,Ya,Tidak,-,2,2699,SPTB,-6.919329,107.60862
Cikaso,Jl. Citamiang,Cicadas,Cibeunying Kaler,1981,Pasar Eceran,"Beras, Keringan",Belum,Tidak,-,3,1168,SSTU,-6.908381,107.635144
Ciroyom,Jl. Ciroyom,Ciroyom,Andir,-,-,-,Belum,Ya,-,2,19627,SPTB,-6.914413,107.587511
Ciwastra,Jl. Darwati,Mekarjaya,Rancasari,1975,Pasar Eceran,"Basahan, Keringan",Belum,Tidak,-,2,8259,SPTB,-6.961206,107.666589
Dago,Jl. Ir. H.Djuanda/Sub Terminal Dago,Dago,Coblong,-,-,-,Belum,Tidak,-,3,3000,-,-6.8848955,107.6119958
Gang Saleh,Jl. Kestarian/Gang Saleh,Arjuna,Cicendo,1976,Pasar Eceran,Sayuran,Belum,Tidak,-,3,353,SSTU,-6.911875,107.596284
Gedebage,Jl. Soekarno-Hatta,Mekarmulya,Panyileukan,-,Pasar Induk,"Pakaian Jadi, Aksesoris, Sepatu",Belum,Ya,-,1,48140,SPTB,-6.9362,107.698228
Gegerkalong,Jl. Gegerkalong Tengah,Gegerkalong,Sukasari,1927,Pasar Eceran,"Sayuran, Keringan",Belum,Tidak,-,2,2965,SSTU,-6.867129,107.591222
Gempol,Jl. Gempol,Citarum,Bandung Wetan,1981,Pasar Eceran,Keringan,Belum,Tidak,-,3,1250,SSTU,-6.90304,107.615539
Jatayu,Jl. Komodor Supadio,Husein Sastranegara,Cicendo,1977,Pasar Khusus (Pandai Besi),"Onderdil, Besi",Belum,Tidak,-,2,1572,SSTU,-6.911105,107.588233
Karapitan,Jl. Karapitan,Ancol,Regol,1975,Pasar Eceran,"Sayuran, Keringan, Pakaian Jadi",Belum,Ya,PT. Arvira Utama Nindo,1,2592,SPTB dan SSTU,-6.932388,107.61532
Kebon Sirih,Jl. Kebon Sirih,Merdeka,Sumur Bandung,-,-,-,Belum,Tidak,-,3,1515,SSTU,-6.910806,107.607869
Kiaracondong,Jl. Ibrahim Adjie,Kebon Jayanti,Kiaracondong,1981,Pasar Eceran,"Sayuran, Keringan, Pakaian Jadi",Ya,Tidak,-,1,6628,SSTU,-6.926151,107.645114
Kosambi,Jl. A.Yani,Kebon Pisang,Sumur Bandung,1981,Pasar Eceran,Kuliner Khas Bandung,Ya,Tidak,-,1,11715,SPTB dan SSTU,-6.919613,107.621998
Kota Kembang,Jl. Asia Afrika,Balong Gede,Regol,1989,Pasar Eceran,"Aksesoris, Sepatu Sendal",Belum,Tidak,-,3,625,SSTU,-6.921828,107.605009
Leuwipanjang,Jl. Leuwipanjang,Situsaeur,Bojongloa Kidul,1927,Pasar Eceran,"Ikan Hias, Jaket Kulit, Komoditi Khas",Ya,Tidak,-,2,3166,SPTB,-6.938679,107.59714
M. Toha / ITC 1,Jl. Dewi Sartika/Moch. Toha,Pungkur,Regol,1989,Pasar Grosir dan Eceran,Fashion,Ya,Tidak,-,2,15810,SPTB,-6.928021,107.606846
Pagarsih,Jl. Pagarsih,Cibadak,Astana Anyar,-,Pasar Khusus dan Eceran,"Offset, Sablon",Ya,Tidak,-,2,2935,SPTB,-6.922673,107.596004
Palasari,Jl. Palasari,Turangga,Lengkong,1977,Pasar Khusus,Buku,Ya,Tidak,-,2,20450,SSTU,-6.932142,107.622322
Pamoyanan,Jl. Dursasana,Pajajaran,Cicendo,1927,Pasar Eceran,"Sayuran, Keringan, Ayam Potong",Belum,Tidak,-,2,1344,SPTB,-6.903477,107.596234
