NO.,KELURAHAN,MESJID,RW
1,ANTAPANI KIDUL,AL - IRFANI,1
2,ANTAPANI KIDUL,KALIJAGA,1
3,ANTAPANI KIDUL,AL - AMANAH,1
4,ANTAPANI KIDUL,AL - HUDAA,2
5,ANTAPANI KIDUL,AL - IMAN,3
6,ANTAPANI KIDUL,RIYADHUL BA'DIYAH,5
7,ANTAPANI KIDUL,AL - HIKMAH,6
8,ANTAPANI KIDUL,NURUL - IMAN,8
9,ANTAPANI KIDUL,AL - MUHAJIRIN,9
10,ANTAPANI KIDUL,BAITUL MU'MIN,10
11,ANTAPANI KIDUL,AT - TAQWA,11
12,ANTAPANI KIDUL,AL - MUHAJIRIN,12
13,ANTAPANI KIDUL,NURUL HIDAYAH,16
14,ANTAPANI KIDUL,AR - RUMMY,17
15,ANTAPANI KIDUL,AR - RAHMAN,18
16,ANTAPANI TENGAH,AT - TAUBAH,18
17,ANTAPANI TENGAH,AL - MUHAJIRIN,1
18,ANTAPANI TENGAH,NURUL IMAN,2
19,ANTAPANI TENGAH,AL - MUNAWAROH,3
20,ANTAPANI TENGAH,AL - WAFA,4
21,ANTAPANI TENGAH,AL - MUKHLISIN,5
22,ANTAPANI TENGAH,AL - BAROKAH ,6
23,ANTAPANI TENGAH,AL - BAROKAH ,7
24,ANTAPANI TENGAH,AL - HIKMAH,8
25,ANTAPANI TENGAH,AL - HIKMAH,9
26,ANTAPANI TENGAH,NURUL ISLAM,10
27,ANTAPANI TENGAH,ASY - SYIFA,11
28,ANTAPANI TENGAH,PASTABIQUL KHOIROT,12
29,ANTAPANI TENGAH,MIFTAHUL FALAH,13
30,ANTAPANI TENGAH,AL - KAUTSAR,14
31,ANTAPANI TENGAH,PATTHUR RAHMAN,15
32,ANTAPANI TENGAH,DARUL MUBAROK,16
33,ANTAPANI TENGAH,AL - WIHDAH,17
34,ANTAPANI TENGAH,AL - FURQON,19
35,ANTAPANI TENGAH,AL - HIKMAH,20
36,ANTAPANI TENGAH,AL - HUDA,21
37,ANTAPANI TENGAH,BAITUL RAHMAN,22
38,ANTAPANI TENGAH,AL IKHLAS,23
39,ANTAPANI WETAN,AL - HUDA,1
40,ANTAPANI WETAN,AT - TAQWA,2
41,ANTAPANI WETAN,AT - TAQWA,3
42,ANTAPANI WETAN,AT - TAQWA,4
43,ANTAPANI WETAN,AT - TAQWA,5
44,ANTAPANI WETAN,AL - MUSLIMIN,6
45,ANTAPANI WETAN,AL - IKHLAS,7
46,ANTAPANI WETAN,AL - MUBAROK,8
47,ANTAPANI WETAN,AL - KARONA,9
48,ANTAPANI WETAN,MIFTAHUL JANNAH,9
49,ANTAPANI WETAN,AL - HUDA,9
50,ANTAPANI WETAN,RIYADHUL MUTAQIN,10
51,ANTAPANI WETAN,MUSLIMIN,10
