id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
1047113,KECAMATAN CIBEUNYING KIDUL,Honorarium Non PNS pada Kegiatan Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan dan Kelurahan,17400000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Kota Bandung,Tersedianya Honorarium Non PNS pada Kegiatan Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan dan Kelurahan,APBD,17400000,1.20.18.01,01/01/2014,31/12/2015
1041812,KECAMATAN CIBEUNYING KIDUL,Belanja Jasa Cleaning Service,24000000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Kota Bandung,Tersedianya Jasa Cleaning Service,APBD,24000000,1.20.18.01,01/01/2014,31/12/2015
1060278,KECAMATAN CIBEUNYING KIDUL,Belanja Perjalanan Dinas Dalam Daerah pada Kegiatan Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan,101000000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Jl. Sukasenang No. 11 Bandung,Tersedianya Perjalanan Dinas Dalam Daerah pada Kegiatan Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan,APBD,101000000,1.20.18.01,01/01/2014,31/12/2015
1047735,KECAMATAN CIBEUNYING KIDUL,Honorarium Tenaga Ahli/Narasumber pada Kegiatan Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan dan Kelurahan,13500000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Kota Bandung,Tersedianya Honorarium Tenaga Ahli/Narasumber pada Kegiatan Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan dan Kelurahan,APBD,13500000,1.20.18.01,01/01/2014,31/12/2015
1041767,KECAMATAN CIBEUNYING KIDUL,Belanja Jasa Pembayaran Retribusi Kebersihan,12000000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Kota Bandung,Tersedianya Jasa Pembayaran Retribusi Kebersihan,APBD,12000000,1.20.18.01,01/01/2014,31/12/2015
1061011,KECAMATAN CIBEUNYING KIDUL,"Belanja Spanduk, Brosur, Pamplet, Umbul-umbul dan Sarana Informasi Lainnya pada Kegiatan Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan",600000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Jl. Sukasenang No. 11 Bandung,"Tersedianya Spanduk, Brosur, Pamplet, Umbul-umbul dan Sarana Informasi Lainnya pada Kegiatan Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan",APBD,600000,1.20.18.01,01/01/2014,31/12/2015
1046219,KECAMATAN CIBEUNYING KIDUL,Belanja Penggantian Suku Cadang,13300000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Kota Bandung,Tersedianya Suku Cadang,APBD,13300000,1.20.18.01,01/01/2014,31/12/2015
1396892,KECAMATAN CIBEUNYING KIDUL,Belanja Peralatan Kebersihan dan Bahan Pembersih pada Kegiatan Peningkatan Infrastruktur dan Lingkungan Hidup Kecamatan dan Kelurahan,4895000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Kota Bandung,Belanja Peralatan Kebersihan dan Bahan Pembersih pada Kegiatan Peningkatan Infrastruktur dan Lingkungan Hidup Kecamatan dan Kelurahan,APBD,4895000,1.20.18.01,01/01/2014,31/12/2015
1047230,KECAMATAN CIBEUNYING KIDUL,"Belanja Spanduk, Brosur, Pamplet, Umbul-umbul dan Sarana Informasi Lainnya pada Kegiatan Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan dan Kelurahan",1100000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Kota Bandung,"Tersedianya Spanduk, Brosur, Pamplet, Umbul-umbul dan Sarana Informasi Lainnya pada Kegiatan Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan dan Kelurahan",APBD,1100000,1.20.18.01,01/01/2014,31/12/2015
1046594,KECAMATAN CIBEUNYING KIDUL,Belanja Penggandaan pada Kegiatan Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan Dan Kelurahan,1050000,APBD,Pemerintah Kota Bandung,KECAMATAN CIBEUNYING KIDUL,2014,1,Kota Bandung,Tersedianya Penggandaan pada Kegiatan Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan Dan Kelurahan,APBD,1050000,1.20.18.01,01/01/2014,31/12/2015
