jenis_kejadian_kriminal,pemukiman,jalan_umum,tempat_ramai,sekolah_kampus_kantor
Pencurian Kendaraan Roda 2,1041,172,463,82
Pencurian Kendaraan roda 4,64,54,35,4
Pencurian dengan Pemberatan,437,93,134,73
Pencurian Dengan Kekerasan,31,334,45,15
Pencurian Biasa,93,43,89,42
Penganiayaan Ringan,28,26,52,15
Penganiayan Berat,118,68,99,9
Penipuan,317,37,191,361
Penggelapan,204,16,58,227
Pemerasan/Ancaman Keras,11,40,14,2
Pengrusakan,37,10,15,8
Kebakaran,23,1,1,8
Pembunuhan,4,0,1,0
Pemerkosaan,19,0,1,0
Perzinahan,15,0,1,0
Penculikan,3,1,0,1
Narkotika,74,21,119,8
Pemalsuan Mata Uang,1,0,1,1
Pemalsuan Surat,12,0,1,24
Pemalsuan Merk,1,0,3,5
Sumpah Palsu,2,0,0,0
Perjudian,23,1,11,1
Penghinaan,19,1,5,4
Pencemaran Nama Baik,32,4,19,15
Penadahan,2,0,0,0
Korupsi,0,0,0,0
"Senpi, Handak, Sajam",6,9,13,0
Kriminalitas Lain-lain ,266,42,111,34
