NO,LOKASI,SUMBER ANGGARAN,JUMLAH PEMBUATAN BIO PORI TAHUN 2014,WAKTU PEMBUATAN
1,Kelurahan Situsaeur,DPA KECAMATAN,20,Bulan September 2014
,,PNPM,330,Bulan Mei 2014
2,Kelurahan Kebonlega,DPA KECAMATAN,20,Bulan September 2014
,,DPA KELURAHAN,56,Bulan Juni 2014
,,PNPM,240,Bulan Mei 2014
3,Kelurahan Cibaduyut,DPA KECAMATAN,15,Bulan September 2014
,,PNPM/SWADAYA MURNI,219,Bulan Mei 2014
4,Kelurahan Cibaduyut Kidul,DPA KECAMATAN,15,Bulan September 2014
,,PNPM,243,Bulan Mei 2014
5,Kelurahan Cibaduyut Wetan,DPA KECAMATAN,15,Bulan September 2014
,,PNPM,80,Bulan Mei 2014
6,Kelurahan Mekarwangi,DPA KECAMATAN,15,Bulan September 2014
,,PNPM,140,Bulan Mei 2014
,,TOTAL,1408,
