lokasi,nama_komoditas,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,2017-02-27,2017-02-28
"Pasar Baru","Beras Medium",10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,0,0,10000,10000,0,0,10000,10000,30000,30000,30000,0,0,30000,0
"Pasar Baru","Cabe Merah",60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,50000,0,0,25000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,0
"Pasar Baru","Bawang Merah",40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,0,0,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,42000,0
"Pasar Baru","Daging Ayam Ras",33000,33000,33000,0,0,31000,31000,31000,31000,31000,0,0,30000,120000,0,30000,75000,0,0,30000,30000,30000,30000,30000,0,0,32000,0
"Pasar Baru","Telur Ayam Ras",19500,19500,19500,0,0,19500,19500,19500,19500,19500,0,0,19500,0,0,20000,20000,0,0,20000,20000,17500,15000,15000,0,0,15000,0
"Pasar Baru","Daging Sapi",120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,0,0,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,0
"Pasar Baru","Minyak Goreng",15000,15000,15000,0,0,15000,15000,15000,37500,15000,0,0,15000,28000,0,15000,15000,0,0,7500,15000,15000,15000,15000,0,0,15000,0
"Pasar Baru","Gula Pasir",15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,0,0,15000,15000,0,0,7500,15000,15000,15000,15000,0,0,14000,0
"Pasar Baru",Kentang,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,70000,0,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,0
"Pasar Baru",Kedelai,7500,7500,7500,0,0,7500,11000,11000,35500,11000,0,0,11000,7500,0,11000,9250,0,0,5500,11000,9250,9250,9250,0,0,11000,0
"Pasar Baru","Tepung Terigu",7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,0,0,3750,7500,0,0,3750,7500,7500,7500,7500,0,0,7500,0
"Pasar Baru","Bawang Putih",40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,0,0,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,43500,0
"Pasar Baru","Cabe Keriting",60000,60000,60000,0,0,60000,37500,60000,60000,60000,0,0,60000,0,0,50000,50000,0,0,60000,50000,40000,40000,40000,0,0,50000,0
"Pasar Baru","Cabe Rawit",140000,140000,140000,0,0,150000,150000,150000,150000,150000,0,0,150000,0,0,140000,140000,0,0,140000,140000,140000,140000,140000,0,0,150000,0
"Pasar Baru","Kacang Tanah",30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,0,0,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,0
"Pasar Baru","Ubi Kayu",3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,0,0,3000,3000,0,0,3000,3000,31500,31500,31500,0,0,31500,0
"Pasar Baru","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru",Jagung,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,0,0,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,0
"Pasar Baru","Ikan Olahan",60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,0,0,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,0
"Pasar Baru","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Minyak Goreng Curah",12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,0,0,13000,13000,0,0,6500,13000,13000,13000,13000,0,0,13000,0
"Pasar Baru","Daging Ayam Kampung",70000,70000,70000,0,0,70000,70000,70000,70000,70000,0,0,70000,0,0,35000,70000,0,0,35000,70000,70000,70000,70000,0,0,70000,0
"Pasar Baru","Telur Ayam Kampung",45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,10000,0,45000,45000,0,0,45000,45000,37500,30000,37500,0,0,45000,0
"Pasar Baru","Susu Kental Manis Merk Bendera",11000,11000,11000,0,0,11000,20500,11000,11000,11000,0,0,11000,0,0,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,0
"Pasar Baru","Susu Kental Manis Merk Indomilk",9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,0,0,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,0
"Pasar Baru","Garam Beryodium Bata",1500,1500,1500,0,0,1500,1500,1500,1500,1500,0,0,1500,0,0,1500,1500,0,0,1500,1500,1500,1500,1500,0,0,1500,0
"Pasar Baru","Garam Beryodium Halus",6000,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,0,0,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,0
"Pasar Baru","Tepung Terigu Cakra Kembar",8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,0,0,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,0
"Pasar Baru","Tepung Terigu Kunci",7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,0,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,0
"Pasar Baru","Mie Instan",2500,2500,2500,0,0,2500,2500,2500,2500,2500,0,0,2500,0,0,2500,2500,0,0,2500,2500,2500,2500,2500,0,0,2500,0
"Pasar Baru","Cabe Rawit Hijau",75000,75000,75000,0,0,90000,90000,90000,90000,90000,0,0,90000,60000,0,90000,90000,0,0,90000,90000,90000,90000,90000,0,0,90000,0
"Pasar Baru","Kacang Hijau",22000,22000,22000,0,0,22000,22000,22000,22000,22000,0,0,22000,0,0,22000,22000,0,0,22000,22000,22000,22000,22000,0,0,22000,0
"Pasar Baru","Susu Bubuk Dancow",36000,36000,36000,0,0,36000,36000,36000,36000,36000,0,0,36000,0,0,18000,36000,0,0,36000,36000,36000,36000,36000,0,0,36000,0
"Pasar Baru","Susu Bubuk Indomilk",33500,33500,33500,0,0,33500,33500,33500,33500,33500,0,0,33500,0,0,33500,33500,0,0,33500,33500,33500,33500,33500,0,0,33500,0
"Pasar Baru","Ikan Kembung",35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000,0,0,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000,0
