lokasi,nama_komoditas,2015-06-01,2015-06-02,2015-06-03,2015-06-04,2015-06-05,2015-06-06,2015-06-07,2015-06-08,2015-06-09,2015-06-10,2015-06-11,2015-06-12,2015-06-13,2015-06-14,2015-06-15,2015-06-16,2015-06-17,2015-06-18,2015-06-19,2015-06-20,2015-06-21,2015-06-22,2015-06-23,2015-06-24,2015-06-25,2015-06-26,2015-06-27,2015-06-28,2015-06-29,2015-06-30
"Pasar Andir","Beras Medium",9500,0,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,0
"Pasar Andir","Cabe Merah",35000,0,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,45000,45000,50000,50000,50000,0,0,35000,35000,35000,35000,35000,0,0,35000,0
"Pasar Andir","Bawang Merah",34000,0,34000,34000,34000,0,0,34000,34000,34000,30000,30000,0,0,28000,28000,28000,28000,28000,0,0,26000,26000,26000,26000,26000,0,0,26000,0
"Pasar Andir","Daging Ayam Ras",29000,0,29000,29000,29000,0,0,29000,29000,29000,33000,33000,0,0,33000,32000,32000,32000,32000,0,0,29000,29000,29000,29000,29000,0,0,29000,0
"Pasar Andir","Telur Ayam Ras",21500,0,21500,21500,21500,0,0,21500,21500,21500,21500,21500,0,0,22500,22500,22500,22500,22500,0,0,22000,22000,22000,22000,22000,0,0,22000,0
"Pasar Andir","Daging Sapi",95000,0,95000,95000,95000,0,0,95000,95000,95000,95000,95000,0,0,95000,95000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,0
"Pasar Andir","Minyak Goreng",14000,0,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,0
"Pasar Andir","Gula Pasir",12000,0,12000,12000,12000,0,0,12000,12000,12000,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,0
"Pasar Andir",Kentang,11000,0,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,0
"Pasar Andir",Kedelai,12000,0,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,0
"Pasar Andir","Tepung Terigu",7500,0,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,0
"Pasar Andir","Bawang Putih",15000,0,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,0
"Pasar Andir","Cabe Keriting",20000,0,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,0
"Pasar Andir","Cabe Rawit",26000,0,26000,26000,26000,0,0,26000,26000,26000,26000,26000,0,0,26000,26000,26000,26000,26000,0,0,30000,30000,30000,30000,28000,0,0,28000,0
