lokasi,nama_komoditas,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,2017-02-27,2017-02-28
"Pasar Andir","Beras Medium",10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,0,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000
"Pasar Andir","Cabe Merah",50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,0,50000,50000,0,0,50000,45000,45000,45000,45000,0,0,45000,45000
"Pasar Andir","Bawang Merah",30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,0,30000,30000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000
"Pasar Andir","Daging Ayam Ras",32000,32000,32000,0,0,30000,30000,30000,30000,30000,0,0,28000,28000,0,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000
"Pasar Andir","Telur Ayam Ras",19500,19500,19500,0,0,19500,19500,19500,19500,19500,0,0,19500,19500,0,19500,19500,0,0,19500,19500,19500,19500,19500,0,0,18000,18000
"Pasar Andir","Daging Sapi",120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000,0,120000,120000,0,0,120000,120000,120000,67500,120000,0,0,120000,120000
"Pasar Andir","Minyak Goreng",14500,14500,14500,0,0,14500,14500,14500,14500,14500,0,0,7250,14500,0,14500,14500,0,0,14500,14500,15000,15000,15000,0,0,14500,14500
"Pasar Andir","Gula Pasir",15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,0,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000
"Pasar Andir",Kentang,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000
"Pasar Andir",Kedelai,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,5500,11000,0,11000,11000,0,0,11000,11000,50500,11000,11000,0,0,11000,11000
"Pasar Andir","Tepung Terigu",7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500
"Pasar Andir","Bawang Putih",34000,34000,34000,0,0,34000,34000,34000,34000,34000,0,0,34000,34000,0,34000,34000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000
"Pasar Andir","Cabe Keriting",50000,50000,32250,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,0,50000,50000,0,0,50000,45000,45000,45000,45000,0,0,45000,45000
"Pasar Andir","Cabe Rawit",130000,130000,130000,0,0,130000,130000,150000,150000,150000,0,0,150000,150000,0,150000,150000,0,0,140000,140000,140000,140000,140000,0,0,140000,140000
"Pasar Andir","Kacang Tanah",27000,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,0,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000
"Pasar Andir","Ubi Kayu",3000,5250,15000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,0,3000,3000,0,0,4000,3000,3000,3000,3000,0,0,3000,3000
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,0,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000
