jenis_kejadian_kriminal,pemukiman,jalan_umum,tempat_ramai,sekolah_kampus_kantor
Pencurian Kendaraan Roda 2,579,106,239,49
Pencurian Kendaraan roda 4,82,32,34,4
Pencurian dengan Pemberatan,350,69,101,99
Pencurian Dengan Kekerasan,24,440,25,24
Pencurian Biasa,88,30,60,83
Penganiayaan Ringan,33,20,72,11
Penganiayan Berat,50,58,92,19
Penipuan,233,36,126,433
Penggelapan,170,6,47,289
Pemerasan/Ancaman Keras,5,20,8,2
Pengrusakan,15,5,12,10
Kebakaran,1,0,1,6
Pembunuhan,1,1,1,0
Pemerkosaan,12,0,2,0
Perzinahan,9,0,1,0
Penculikan,0,0,1,0
Narkotika,65,12,139,4
Pemalsuan Mata Uang,2,0,2,1
Pemalsuan Surat,10,0,2,37
Pemalsuan Merk,0,0,1,4
Sumpah Palsu,0,0,0,0
Perjudian,25,3,27,7
Penghinaan,12,1,5,10
Pencemaran Nama Baik,28,0,20,22
Penadahan,0,0,0,1
Korupsi,0,0,0,0
"Senpi, Handak, Sajam",1,10,19,0
Kriminalitas Lain-lain ,284,40,133,54
