No,Nama Perusahaan,Alamat,Kelurahan,Kecamatan,Tipe Perusahaan,Ket
1,Astra International Tbk,Jl. Soekarno Hatta No. 751,Cimincrang,Gedebage,Jasa /Bodi& & Cat,Auto 2000
2,PT. Cempaka Arum,Jl. Cempaka Arum,Cimincrang,Gedebage,Kontraktor,Develover
3,CV. Willy,Jl. Soekarno Hatta No. 125,Cimincrang,Gedebage,Perdagangan Umum,Rajut
4,PT. MIN,Jl. Soekarno Hatta No. 735,Cimincrang,Gedebage,Hotel,MAXONE
5,Biensi,Jl. Cimincrang No. 2B,Cimincrang,Gedebage,Perdagangan Umum,3 Second
6,PT. Ajinomoto,Jl. Soekarno Hatta,,Gedebage,Perdagangan Umum,
7,PT. Indah Digdaya Raharja,Rancasagatan No. B-19 RT. 004/007,Cisaranten Kidul,Gedebage,Jasa Telekomunikasi,
8,PT. Spactan Cipta Kreasindo,Jl. Palem VIII No. 48,Rancabolang,Gedebage,Perdagangan Umum dan Jasa,
9,PT. Bumi Perkasa,Jl. Cendana No. 35,Rancabolang,Gedebage,Perdagangan dan Jasa,
10,PT. Megan Argo Lestari,Jl. Cendana No. 36,Rancabolang,Gedebage,Perdagangan dan Jasa,
11,PT. Hamparan Argo Nusasntara,Jl. Cempaka Blok,Rancabolang,Gedebage,Perkebunan,Sudah tidak ada
12,PT. Sherina Usaha Utama,Jl. Riung Karya 4-B No. 7,Cisaranten Kidul,Gedebage,Perdagangan Umum dan Kontrktor,
13,PT. Artadia Multi Graha,Buana Seota,Cisaranten Kidul,Gedebage,Perdagangan Umum dan Kontrktor,
14,PT. Karya Bangun Propertindo,Jl. Gedebage Selatan No. 275,Rancabolang,Gedebage,Gudang/ Bengkel,
15,PT. Citra Wira Buana Kencana,Jl. Pinus Raya No. 19,Rancabolang,Gedebage,Develover Kontraktor dan Jasa Konsultan,Sudah tidak ada
16,PT. Sunda Besar Properti,Jl. Gardena Adipura,Rancabolang,Gedebage,Perumahan,
17,PT. Maju Singa Prahagi,Jl. Gardena Adipura,Rancabolang,Gedebage,Perumahan,
18,PT. Candriti Indah Lestari,Jl. Pinus Raya No. 06,Rancabolang,Gedebage,Develover Kontraktor dan Jasa Konsultan,Sudah tidak ada
19,PT. Samaju Elang Putra,Jl. Pinus IV No. 51 Adipura,Rancabolang,Gedebage,Perdagangan dan Jasa,Sudah tidak ada
20,PT. Danira Primatama,JL. Pinus 5 No. 29 Adipura,Rancabolang,Gedebage,Perdagangan Umum dan Jasa Kontraktor,Sudah tidak ada
21,PT. Mitrindo Teknologi Mandiri,Jl. Gedebage Selatan RT. 02/01,Rancabolang,Gedebage,,Sudah tidak ada
22,PT. Mitra Indah,Jl. Soekarno Hatta APT RT. 02/02,Cimincrang,Gedebage,Pariwisata,
23,PT. Rekointernusa,Jl. Soekarno Hatta No.736,Cimincrang,Gedebage,Perdagangan,
24,PT. Module Tri Ar,Jl. Tilip No. 26 Adipura,Rancabolang,Gedebage,Konsultan,
25,PT. Merapi Utama Pharm,Jl. Gedebage Selatan,Cisaranten Kidul,Gedebage,Distributor Farmasi,
26,PT. Gedebage Mawar,Jl. Usman Bin Afan C2 No. 42,Rancanumpang,Gedebage,Perdagangan Umum,
27,PT. Tagoman Arta Selaras,Jl. Gedebage Selatan No. 13 Rt.01/05,Cisaranten Kidul,Gedebage,Kontraktor,
28,PT. Halima Nenggala Indonesia,Jl. Palem 8 Adipura,rancabolang,Gedebage,Kontraktor,
29,PT. Bonang Pulista Utama,Jl. Gedebage Selatan RT. 02/04,Cisaranten Kidul,Gedebage,Distributor Makanan dan Minuman,
30,PT. Tridekos,Jl. Cemara Adipura,Rancabolang,Gedebage,Konsultan,
31,PT. Bisma Karya Persada,Jl. Gedebage Selatan No. 135,Rancabolang,Gedebage,Kontruksi,Sudah tidak ada
32,PT. Mitra Emeral,Jl. GCA D3 No. 5,Rancanumpang,Gedebage,Jasa Reparasi,
33,PT. Adhi Teknologi,JL. GCA Blok K3 No. 28 ,Rancanumpang,Gedebage,Manifakture Mesin Pengelolahan Limbah,
34,PT. Puncak Jala Wijaya ,Jl. Riung Mulya No.06,Cisaranten Kidul,Gedebage,Perdagangan dan Jasa,
35,PT. Bagus Insan Perkasa,Jl. Riung Wangi No. 10,Cisaranten Kidul,Gedebage,Jual Beli Nikel,
36,PT. Dwi Bangun Mandiri,Jl. Palem 7 No. 50 Adipura ,Rancabolang,Gedebage,Perdagangan Umum dan Jasa,
37,PT. Ide Pratama Konsultan,JL. GCA Blok 13 No. 175 A,Rancanumpang,Gedebage,Jasa Konsultan,
38,PT. Satu Enam Delapan Komidika,Jl. Cluster Andalus Blok C No. 26,Cimincrang,Gedebage,Jasa Periklanan,
39,PT. Sumber Banda Mika,Jl. Gedebage Selatan No. 16 TR. 01/08,Rancabolang,Gedebage,Perdagangan Umum dan Jasa,Sudah tidak ada
40,PT. Arbuno Tujuh Tiga,Jl. Riung Wangi No. `10 RT. 02/04,Cisaranten Kidul,Gedebage,Penjualan Mesin Nikel,
41,PT. Gerindo Duta Pratama,Jl. Riung Arum Raya No. 18 RT. 06/10,Cisaranten Kidul,Gedebage,Perdagangan Jasa dan Kontruksi,
42,PT. Oju Tektile Industri,Jl. Soekarno Hatta No. 736 RT. 01/01,Cimincrang,Gedebage,Industri Pertenunan,
43,PT. Makmur Sarana Sejahtera,Jl. Buana Soeta BlokG No. 46,Cisaranten Kidul,Gedebage,Perdagangan Umum dan Jasa,
44,PT. Fajar Interbuana,Jl. Riung Arum Timur 3 No. 44,Cisaranten Kidul,Gedebage,Perdagangan Umum dan Jasa,
45,PT. Navsys Informatika Indonesia,Jl. Palem 4 No. 56 Adipura,Rancabolang,Gedebage,Konsultan Teknologi,
46,PT. Ciema Selaras Persada,Jl. Usman Bin Afan C2 No. 42,Rancanumpang,Gedebage,Jasa Outscourding,
47,PT. Nell Utama International,Jl. Riung Mulya No. 57 RT. 03/11,Cisaranten Kidul,Gedebage,Jual Beli Sperpat Mesin (Trending),
48,PT. Akusera Mitra Sadawa,Jl. Pinus 11 No. 68 Adipura,Rancabolang,Gedebage,Konsultan,Sudah tidak ada
49,PT. Darmaga Alam Indonesia,Jl. Riung Arum Raya No. 20 RT. 06/10,Cisaranten Kidul,Gedebage,Perdagangan dan Jasa,
50,PT. Daya Anugrah Mandiri,Jl. Derwati RT.01/03,Rancabolang,Gedebage,Perawatan dan Penjualan Suku Cadang,
51,PT. Mahakarya Buana Damai,Jl. Gedebage Selatan No. 187 ,Rancabolang,Gedebage,Perdagangan Umum Dan Jasa,
52,PT. Andrerika Interkonsultan,Jl. Riung Arum Timur 3 No. 44,Cisaranten Kidul,Gedebage,Jasa Konsultan,
53,PT. Naga Bersama,Jl. Riung Mulya Riung Bandung,Cisaranten Kidul,Gedebage,Perdagangan dan Jasa,
54,PT. Anugrah Bintang Meditan,Jl. Adiplora No. 5,Rancabolang,Gedebage,Toko Alat Kesehatan,
55,PT. Enpyme Natural Indonesia,Jl. Pinus Raya No. 16 Rt. 02/08 Adipura,Rancabolang,Gedebage,Perdagangan Umum,Sudah tidak ada
56,PT. Xtra Indo Tama,Jl. Riung Galing No. 08 RT. 01/09,Cisaranten Kidul,Gedebage,Perdagangan Umum dan Jasa,
57,PT. Cauban Inti Teknologi,Jl. Gedebage Selatan No. 61,Cisaranten Kidul,Gedebage,Pembuatan Mesin ,
58,PT. Intilog Sukses Abadi,Jl. Soekarno Hatta Rt. 02/01,Cimincrang,Gedebage,Gudang Penampungan,
59,PT. Kiosan Trimita Sejahtera,Jl. Riung Wulan No. 11 RT. 01/09,Cisaranten Kidul,Gedebage,Pedagangan Umum dan Jasa,
60,PT. Atahaya Q Mandiri,Jl. Riung Arum Barat No. 161 Riung Bandung,Cisaranten Kidul,Gedebage,Perdagangan Umum dan Jasa,
