NO,NAMA PERUSAHAAN,ALAMAT,KET
1,ATMOSPHERE,Jalan Lengkong Besar No. 97,P.A. 2008
2,BRAGA PERMAI,Jalan Braga No. 58,
3,BANDUNG SUKI / PT. DWIMITRA,Jl. Braga no. 70,
4,BELLAIT CAFE/TIME SQUARE,Jl. Pasirkaliki No. 25-27,
5,BEE HOUSE RESTO AND CAFE,Gedung Lucky Squere Mall Jl. Ters. Jakarta No. 2,
6,PT. PERISAI UTAMA/BALI HEAVEN,Jl. Pasir Kaliki No. 185-189,
7,COCA SUKI,Jalan Ir. H. Juanda No. 173,P.A. 2007
8,CV. FORTUNA MEGA ABADI,Jl. Karang Sari No. 14,
9,CV. UNITY INDO  SUKSES,Jl. Ir. H. Juanda No. 177,
10,CV. CIPTA PANCA UTAMA,Jl. Pasteur No. 11 a,
11,CV. GASTRO PRIMA/ GLOSIS,Jl. Hegarmanah No. 6,
12,CV. GASTRO PRIMA/ GLOSSIS,Jalan Cihampelas No. 160,
13,CV. 9 SQUARE,Jl. Sulanjana No. 9 ,
14,CV. HAN COOK GWAN,"Jl. Karangsari No, 21",
15,CV. SUMBER SARANA INVESTAMA,Jl. Dr. Setiabudhi No. 41-f,
16,CV. DWI MANUNGGAL/CHINOOK,Jl. R. E. Martadinata No. 191,
17,D?PALM,Jalan Lombok No. 45,P.A. 2006
18,DAGO 254,Jl. Ir. H. Juanda No. 254,
19,EXELLENT SEVEN DEWATA SKY,Jl. Dr. Ehrlich No. 7,
20,ENTRO,Jl. Braga No. 129,
21,FORUM ,Jl. Sukajadi No. 166,
22,FRIENDS RESTORAN,Jl. Cihampelas No. 160,
23,FABRIK CAFE,Jl. L. L. RE. Martadinata no. 107,
24,ILALANG,Jl. Karanglayung No.24,P.A. 2006
25,JAVANA BISTRO,Jl. Sukajadi No. 137-139 GB-58,
26,JIMBARAN RESTO,Jl. Sulanjana No. 14,Feb-12
27,KOREAN HOUSE,Jalan Sukajadi No. 175,P. A. 2011
28,L. AQUILA RESTO & CAFE,Jl. Braga No. 103,Baru Februari 2011
29,LAMBERJACK,Jl. Talaga Bodas No. 30,
30,NEW TROPICANA RESTO,Jl. Cihampelas No. 127-129,
31,OJ,Setrasari Mall/Plasa Blok B/8,
32,OMALIA FUSION RESTO,Jl. Braga No. 74,
33,GOLDEN MONKEY,Jl. Ir. H. Juanda No. 163,
34,GOSSIP,Jl. Ir. H. Juanda no. 111,
35,PT FAST FOOD INDONESIA,Jl. Raya Ujung Berung No.194,Baru
36,PT. BOGA RASA ADIPRIMA SENTOSA/DUCK KING,Jl. Gatot Subroto 289,Baru November 2011
37,PT. CHEF TABLE INDONESIA,Jl. Setiabudi No. 67,Baru September 2011
38,PT. GRAHA LAYAR PRIMA / BLITZ,Jalan Sukajadi No. 137-139,
39,PT. KAJEA PRATAMA/ARUM MANIS,Jl. Cihampelas No. 144,P.A. 2008
40,PT. DAMAR BAGUS/POTATO SKIN,Jl. Damar No. 7  ,
41,PT. MIYA BAGO JAYA/ MIYAZAKI,Jalan IR. H. Juanda No. 122,P.A. 2008
42,PT. PRIMA RASA LESTARI/PRIMA TASTE,Jalan Ir. H. Juanda No. 145,P.A. 2007
43,PT. PUTRA ABADI PRATAMA/ NJUN NYAN SEAFOOD,Jl. Gatot Subroto 289,
44,PT. QUEEN MEGAH,Jalan Dalem Kaum No. 79,P. A. 2011
45,PT. TRANS F & B,Jl. Jend. Gatot Subroto No. 289,
46,PT. PANCA ABADI NAN JAYA,Jl. Sukawangi No. 2 ,
47,PT. PANCA ABADI NAN JAYA,Jl. Gatot Subroto 283,
48,PT. KHIRISMA BIRRA SEJAHTERA/PIZZA EBIRRA,Graha BIP level 3 B dan C Jl. Gatsu Kav.23,
49,PT. ISMAYA SUSHI GROOVE/SUSHI GROOVE,Jl. Sukajadi No. 137-139,
50,PT. KREASI CIPTA SUARA/FUKUZUSHI,Jl. Sukajadi No. 137-139 (PVJ),
51,PT. AKAR PRATAMA/L2,Jl. R.E. Martadinata No. 15,
52,PT. SEMBILAN LANGIT ASMARA,Komp. Setrasari Mall Kav. B4-98,
53,PT. BOGA SINARMAS RASA/WARAKU,Jl. Sukajadi No. 137-139 (PVJ)Unit RL C-19,
54,PT. MANCHESTER UNITED FOOD & BEVERENGE,Jl. Sukajadi No. 137-139,
55,PT. LAJU INTAN PRATAMA,Jl. Dr. Setiabudhi No. 64,
56,PT. BHAKTI JAYA MULIA/MAXI'S RESTO,Jl. Gunung Agung No. 8,
57,PT. GALANG ARTA MILITAN/SOLITAIRE,Jl. Sukajadi No. 137-139,
58,PARTO ,Jl. Dr. Setiabudhi No. 53,
59,RAMEN 38 SANPACHI,Jl.Sukajadi No. 228,
60,SAGAS,Jl. Pajajaran No. 61,
61,SIXTY CAFE,Jl. Naripan no. 30,
62,TJOEN KIE,Jl.  Jenderal Sudirman No. 62,
63,THE DUCK KING,Jl. Gatot Subroto No. 289 (BSM),
64,THE CELLAR RESTORANT,Jl. Diponegoro No. 9 Bandung,Perpanjang Maret 2011
65,TORIGEN,Jl. Setiabudi No. 55,
66,"THE"" CAFE ""R",Jl. Ir. H. Juanda No. 97,
67,18 HRS,Jl. Dr. Setiabudhi No. 103 - F,
