nama_organisasi,ketua,sekretaris,bendahara,periode,alamat_kantor,bidang_kegiatan
Ikatan Keluarga Minang Cibaduyut Bandung (Ikmcb),Fauwzi,Edison,Erna Komara,2014 - 2017,Jl. Indrayasa no.16/17 Cibaduyut Singgasana Bandung,Sosial
Lembaga Pelayanan Dan Pemerhati Kesehatan Masyarakat (Bina Sehat),Adang Kosma Wijaya,Ahmad Suhendar,"Adistia Nur Rahmani,SE",-,Jl. Banda No. 5   Kota Bandung,Profesi
Ummi Maktum Voice (Umv),Entang Kurniawan,Dani Nurakhman,Sandi Rahman,-,Jl. Pasir Salam No.31A Bandung,Sosial
Forum Mahasiswa Dan Masyarakat  Peduli Lingkungan (Fm2Pl),Iqbal Nasir,Larinka Putri Yusrilandari,Idam Nurdiansyah,-,Jl. Maleer V Rt.03/Rw.01 No. 287 Bandung,Lingkungan Hidup
Himpunan Pedagang Pasar Baru (Hp2B) Kota Bandung,H. Wawan Ridwan,"Agus Rudi Setiawan, SE",Tatang M. Danuwangsa,-,Basement I K-6 Pasarbaru Trade Center Bandung,Profesi
Dpd Ormas Buahbatu Corps (Bbc) Kota Bandung,Mugi Sudjana,Drs. Herry Moch. Djauhari MM.,Drs. H. Ahmad Hidayat,-,Jl. Palasari No. 42 A Bandung,Sosial
Pembaharu Politik Bandung (P2B) Kota Bandung,Nana Suharna,Rosadi,Dian Akhmar,2013-2018,Jl. Peta Bbk. Tarogong Gg. Sindang Asih VIII No.7 Bandung,Sosial
Dpc Pemantau Kinerja Aparatur Negara (Penjara) Kota Bandung,"Pius Manalu, SE","Ria Esa Fitryna Sihite, S.IP., MM","Jesaya Sitohang, SE",-,Jl. Sukabumi Dalam No.3A/123 Kec. Batununggal Kota Bandung,Politik
Pbb-Indonesia (Perkumpulan Bina Bersama Indonesia),Yusuf Pasimanyeku,Mulyadi,Hadi Soendjaja,2014 - 2019,Jl. Rajawali Gg. Putra Tengah - Ciroyom,Sosial
Sanggar Seni Sarana Karawitan (Sakata) Kota Bandung,"Jajat Sudrajat, Ssn","Tatang Hadiat, S Kom","Yeti Nurhayati, Spd",2014-2018,Jl. Sindang Sari II No. 2 Kec. Antapani Kota Bandung,Seni Budaya
Pd. Kesatuan Aksi Mahasiswa Muslim Indonesia (Kammi) Bandung,Sahrul Mulia,Moh. Akhir,Anita Marina,2013-2015,Jl. Awibitung Jembar I No.1 Cicadas Kota Bandung,Kepemudaan
