KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.22 . 00 . 00 . 5,BELANJA,21569575625,
1.20 . 1.20.22 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,6438651023,
1.20 . 1.20.22 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,6438651023,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.22 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,15130924602,
1.20 . 1.20.22 . 01,Program Pelayanan Administrasi Perkantoran,712009602,
1.20 . 1.20.22 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,95012000,
1.20 . 1.20.22 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,95012000,
1.20 . 1.20.22 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,15784601,
1.20 . 1.20.22 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,15784601,
1.20 . 1.20.22 . 01 . 08,Penyediaan jasa kebersihan kantor,108000000,
1.20 . 1.20.22 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,84000000,
1.20 . 1.20.22 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,24000000,
1.20 . 1.20.22 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,22000000,
1.20 . 1.20.22 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,22000000,
1.20 . 1.20.22 . 01 . 10,Penyediaan alat tulis kantor,49394000,
1.20 . 1.20.22 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,49394000,
1.20 . 1.20.22 . 01 . 11,Penyediaan barang cetakan dan penggandaan,36890000,
1.20 . 1.20.22 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,36890000,
1.20 . 1.20.22 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,21800000,
1.20 . 1.20.22 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,21800000,
1.20 . 1.20.22 . 01 . 14,Penyediaan peralatan rumah tangga,23037500,
1.20 . 1.20.22 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,23037500,
1.20 . 1.20.22 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,22941501,
1.20 . 1.20.22 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,22941501,
1.20 . 1.20.22 . 01 . 17,Penyediaan makanan dan minuman,162150000,
1.20 . 1.20.22 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,162150000,
1.20 . 1.20.22 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,155000000,
1.20 . 1.20.22 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,155000000,
1.20 . 1.20.22 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,2299780000,
1.20 . 1.20.22 . 02 . 05,pengadaan Kendaraan dinas/operasional,1301550000,
1.20 . 1.20.22 . 02 . 05 . 5 . 2 . 3,Belanja Modal,1301550000,
1.20 . 1.20.22 . 02 . 12,Pengadaan Perlengkapan Peralatan Aparatur,135000000,
1.20 . 1.20.22 . 02 . 12 . 5 . 2 . 1,Belanja Pegawai,3150000,
1.20 . 1.20.22 . 02 . 12 . 5 . 2 . 3,Belanja Modal,131850000,
1.20 . 1.20.22 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,90000000,
1.20 . 1.20.22 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,90000000,
1.20 . 1.20.22 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,595230000,
1.20 . 1.20.22 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,595230000,
1.20 . 1.20.22 . 02 . 28,Pemeliharaan rutin/berkala peralatan gedung kantor,20000000,
1.20 . 1.20.22 . 02 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,20000000,
1.20 . 1.20.22 . 02 . 42,Rehabilitasi sedang/berat gedung kantor,158000000,
1.20 . 1.20.22 . 02 . 42 . 5 . 2 . 2,Belanja Barang dan Jasa,6000000,
1.20 . 1.20.22 . 02 . 42 . 5 . 2 . 3,Belanja Modal,152000000,
1.20 . 1.20.22 . 03,Program peningkatan disiplin aparatur,101350000,
1.20 . 1.20.22 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,33650000,
1.20 . 1.20.22 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,33650000,
1.20 . 1.20.22 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,67700000,
1.20 . 1.20.22 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,67700000,
1.20 . 1.20.22 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,108000000,
1.20 . 1.20.22 . 05 . 04,Pembinaan Kinerja Aparatur,108000000,
1.20 . 1.20.22 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,6400000,
1.20 . 1.20.22 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,101600000,
1.20 . 1.20.22 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,30000000,
1.20 . 1.20.22 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,15000000,
1.20 . 1.20.22 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,7900000,
1.20 . 1.20.22 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,7100000,
1.20 . 1.20.22 . 06 . 02,Penyusunan pelaporan keuangan semesteran,7500000,
1.20 . 1.20.22 . 06 . 02 . 5 . 2 . 1,Belanja Pegawai,3700000,
1.20 . 1.20.22 . 06 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,3800000,
1.20 . 1.20.22 . 06 . 04,penyusunan pelaporan keuangan akhir tahun,7500000,
1.20 . 1.20.22 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,3700000,
