NO,NAMA SARANA PENDIDIKAN,STATUS,JUMLAH KEPALA SEKOLAH,JUMLAH GURU TETAP,JUMLAH GURU HONORER,JUMLAH GURU BANTU,JUMLAH GURU KESELURUHAN,JUMLAH MURID LAKI-LAKI,JUMLAH MURID PEREMPUAN,JUMLAH MURID KESELURUHAN,JUMLAH RUANG BELAJAR,JUMLAH ROMBONGAN BELAJAR,ALAMAT
1,MA Nurul Huda,Swasta,1,3,12,,16,25,38,63,6,3,RW 07 Kel Situsaeur
2,SMKS Permentasi,Swasta,1,1,17,,20,123,125,248,6,4,Jl. KH Wahid Hasim Blk 401 RT.04/07  Kel. Kebonlega
3,SMK Ganesa,Swasta,1,8,25,,43,30,,30,4,2,Jl. KH Wahid Hasim Blk 401 RT.04/07  Kel. Kebonlega
4,SMA YP Sejati,Swasta,1,4,,,5,44,19,53,4,3,Gg Pakasih RW 07 Kel.Kebonlega
5,MA Al. Huda,Swasta,1,2,15,,18,22,32,54,4,3,Jl. Kebonlega 2 RW 01 Kel. Kebonlega
6,MAS Sirnamiskin,Swasta,1,2,26,,29,73,61,134,5,5,Jl. Kopo Rw 07 Kel. Kebonlega
7,SMK Bandung Selatan 1,Swasta,1,3,42,,45,506,12,518,16,19,Jl. Terusan  Borobudur RW 04 Kel. Cib Kidul
8,SMA Plus Pariwisata,Swasta,1,,26,,27,60,76,136,16,4,SDA
9,SMK-SMEA Bdg Selatan,Swasta,1,3,36,,39,,181,181,8,6,SDA
10,SMK Aqua Vitae,Swasta,1,,17,,18,,68,68,4,4,Jl. Terusan  Borobudur RW 02 Kel. Cib Kidul
11,MAS Nurul Iman,Swasta,1,,,,,,,108,,,Jl. Cibaduyut  RW.03 Kel Cibaduyut Wetan
