Kecamatan ,15-19 ,20-24 ,25-29 ,30-34 ,35-39 ,40-44 ,45-49
Bandung Kulon ,1072,3230,3466,4941,9994,3859,3754
Babakan Ciparay ,779,859,3907,5377,5894,496,4352
Bojongloa Kaler ,774,1352,3318,4716,3945,4062,2903
Bojongloa Kidul ,345,1275,2067,2876,2985,2359,2132
Astana Anyar ,160,618,1159,1657,1874,1985,1951
Regol ,235,1094,1857,3369,2998,2164,2611
Lengkong ,287,567,1609,1920,2458,2943,2158
Bandung Kidul ,337,469,1041,1418,2198,2469,1463
Buah Batu ,325,678,2069,2567,3965,3475,2961
Rancasari ,224,1436,2834,2870,2847,2365,2196
Gedebage ,130,648,974,1267,1394,1186,1340
Cibiru ,257,1422,2362,2595,2607,2548,2299
Panyileukan ,182,652,900,1002,887,1300,1725
Ujung Berung ,324,693,1643,2862,2289,2625,3925
Cinambo ,174,475,540,611,868,1010,1000
Arcamanik ,300,989,1461,2412,2436,2623,2201
Antapani ,497,717,2863,2790,2192,1402,2126
Mandalajati ,352,796,596,2216,2375,1097,2582
Kiara Condong ,345,1225,2535,5580,5411,4289,5411
Batununggal ,275,944,3009,5640,5545,3775,5357
Sumur Bandung ,121,298,515,962,1002,1114,371
Andir ,53,867,2436,2308,2494,2774,965
Cicendo ,456,1268,2317,3874,5288,4012,3285
Bandung Wetan ,160,500,203,733,739,703,1718
Cibeunying Kidul ,200,2808,2673,3300,3495,2564,1728
Cibeunying Kaler ,176,294,329,1794,1921,3012,3546
Coblong ,128,533,1296,3228,2465,9662,3089
Sukajadi ,234,622,1341,2951,2879,5477,3838
Sukasari ,355,1056,18,5032,2966,2198,3291
Cidadap ,202,877,1267,1534,2556,2065,1775
