Kecamatan,Peranan
Cicendo,7.97
Sumur Bandung,7.71
Babakan Ciparay,6.52
Coblong,6.03
Batununggal,5.59
Andir,5.56
Kiaracondong,5.49
Bandung Kulon,5.22
Regol,4.89
Lengkong,3.79
Bojongloa Kaler,3.43
Bandung Wetan,3.27
Sukajadi,3.17
Astana Anyar,3.06
Bojongloa Kidul,2.87
Cibeunying Kidul,2.71
Buah Batu,2.59
Cinambo,2.28
Sukasari,2.23
Panyileukan,2.10
Cibeunying Kaler,1.86
Arcamanik,1.79
Cibiru,1.76
Bandung Kidul,1.63
Ujung Berung,1.55
Cidadap,1.27
Antapani,1.11
Gedebage,1.02
Rancasari,0.97
Mandalajati,0.58
