kecamatan,kelurahan,Pelindung,Produktif,Ditanam,Hidup,Sumur Resapan,Biopori,Sumber Dana
Sukasari,Isola,24,17,41,39,0,1,
Sukasari,Sukarasa,9,11,20,20,0,0,
Sukasari,Gegerkalong,7,6,9,5,0,0,
Sukasari,Sarijadi,34,36,70,59,1,2,
Cidadap,Hegarmanah,,,,,,,
Cidadap,Ciumbuleuit,,,,,,,
Cidadap,Ledeng,,,,,,,
Sukajadi,Pasteur ,,,,,,,
Sukajadi,Cipedes,,,,,,,
Sukajadi,Sukabungah,,,,,,,
Sukajadi,Sukagalih,,,,,,,
Sukajadi,Sukawarna,,,,,,,
Cicendo,Husein Sastranegara,,,,,,,
Cicendo,Arjuna,,,,,,,
Cicendo,Pajajaran,,,,,,,
Cicendo,Pasirkaliki,,,,,,,
Cicendo,Pamoyanan,,,,,,,
Cicendo,Sukaraja,,,,,,,
Andir,Maleber,,,,,,,
Andir,Dungus Cariang,,,,,,,
Andir,Ciroyom,,,,,,,
Andir,Kebon Jeruk,,,,,,,
Andir,Garuda,,,,,,,
Andir,Campaka,,,,,,,
Coblong,Cipaganti,,,,,,,
Coblong,Lebak Gede,,,,,,,
Coblong,Sadang Serang,,,,,,,
Coblong,Dago,,,,,,,
Coblong,Sekeloa,,,,,,,
Coblong,Lebak Siliwangi ,935,765,1700,1696,,,
Bandung Wetan,Cihapit,0,0,0,0,0,0,
Bandung Wetan,Taman Sari,0,0,0,0,0,0,
Bandung Wetan,Citarum,0,0,0,0,0,0,
Sumur Bandung,Braga,,,,,,,
Sumur Bandung,Merdeka,,,,,,,
Sumur Bandung,Kebon Pisang,,,,,,,
Sumur Bandung,Babakan Ciamis,,,,,,,
Cibeunying Kidul,Padasuka,30,100,130,130,0,0,
Cibeunying Kidul,Cikutra,30,0,30,30,0,0,
Cibeunying Kidul,Cicadas,0,0,0,0,0,0,
Cibeunying Kidul,Sukamaju,0,0,0,0,0,0,
Cibeunying Kidul,Sukapada,0,0,0,0,0,0,
Cibeunying Kidul,Pasirlayung,0,0,0,0,0,0,
Cibeunying Kaler,Cihaurgeulis,100,50,150,150,2,24,
Cibeunying Kaler,Sukaluyu,0,70,70,70,0,25,
Cibeunying Kaler,Neglasari,75,35,110,100,0,30,
Cibeunying Kaler,Cigadung,67,43,110,110,0,20,
Astana Anyar,Karasak,,,,,,,
Astana Anyar,Nyengseret,,,,,,,
Astana Anyar,Karang Anyar,,,,,,,
Astana Anyar,Panjunan,,,,,,,
Astana Anyar,Cibadak,,,,,,,
Astana Anyar,Pelindung Hewan,,,,,,,
Bojongloa Kaler,Kopo,0,0,0,0,0,0,
Bojongloa Kaler,Babakan Tarogong,0,0,0,0,2,0,
Bojongloa Kaler,Jamika,0,0,0,0,0,0,
Bojongloa Kaler,Babakan Asih,0,0,0,0,0,0,
Bojongloa Kaler,Suka Asih,0,0,0,0,0,0,
Bojongloa Kidul,Situsaeur,,,,,,,
Bojongloa Kidul,Kebon Lega,,,,,,,
Bojongloa Kidul,Cibaduyut,,,,,,,
Bojongloa Kidul,Cibaduyut Kidul,,,,,,,
Bojongloa Kidul,Cibuduyut Wetan,,,,,,,
Bojongloa Kidul,Mekar Wangi,,,,,,,
Babakan Ciparay,Babakan,,,,,,,
Babakan Ciparay,Babakan Ciparay,,,,,,,
Babakan Ciparay,Sukahaji,,,,,,,
Babakan Ciparay,Margahayu Utara,,,,,,,
Babakan Ciparay,Margasuka,,,,,,,
Babakan Ciparay,Cirangrang,,,,,,,
Bandung Kulon,Warung Muncang,15,45,60,58,0,0,
Bandung Kulon,Cijerah,18,52,70,70,0,0,
