Kecamatan,Listrik PLN,Listrik Non PLN,Petromak/ Aladin,Pelita/Sentir/ Obor,Lainnya
Bandung Kulon,"99,66","0,00","0,00","0,00","0,34"
Babakan Ciparay,"100,00","0,00","0,00","0,00","0,00"
Bojongloa Kaler,"98,89","1,11","0,00","0,00","0,00"
Bojongloa Kidul,"98,24","0,51","0,00","1,25","0,00"
Astana Anyar,"99,19","0,00","0,81","0,00","0,00"
Regol,"100,00","0,00","0,00","0,00","0,00"
Lengkong,"100,00","0,00","0,00","0,00","0,00"
Bandung Kidul,"98,32","1,68","0,00","0,00","0,00"
Buah Batu,"100,00","0,00","0,00","0,00","0,00"
Rancasari,"98,61","0,00","1,39","0,00","0,00"
Gedebage,"100,00","0,00","0,00","0,00","0,00"
Cibiru,"98,12","1,88","0,00","0,00","0,00"
Panyileukan,"100,00","0,00","0,00","0,00","0,00"
Ujung Berung,"100,00","0,00","0,00","0,00","0,00"
Cinambo,"100,00","0,00","0,00","0,00","0,00"
Arcamanik,"100,00","0,00","0,00","0,00","0,00"
Antapani,"100,00","0,00","0,00","0,00","0,00"
Mandalajati,"100,00","0,00","0,00","0,00","0,00"
Kiara Condong,"99,28","0,72","0,00","0,00","0,00"
Batununggal,"99,28","0,72","0,00","0,00","0,00"
Sumur Bandung,"100,00","0,00","0,00","0,00","0,00"
Andir,"99,04","0,96","0,00","0,00","0,00"
Cicendo,"99,24","0,76","0,00","0,00","0,00"
Bandung Wetan,"100,00","0,00","0,00","0,00","0,00"
Cibeunying Kidul,"100,00","0,00","0,00","0,00","0,00"
Cibeunying Kaler,"100,00","0,00","0,00","0,00","0,00"
Coblong,"99,73","0,27","0,00","0,00","0,00"
Sukajadi,"100,00","0,00","0,00","0,00","0,00"
Sukasari,"100,00","0,00","0,00","0,00","0,00"
Cidadap,"100,00","0,00","0,00","0,00","0,00"
