nama_kecamatan,jumlah_pengguna_IUD,persentase_pengguna_IUD,jumlah_pengguna_MOW,persentase_pengguna_MOW,jumlah_pengguna_MOP,persentase_pengguna_MOP,jumlah_pengguna_kondom,persentase_pengguna_kondom,jumlah_pengguna_implan,persentase_pengguna_implan,jumlah_pengguna_suntikan,persentase_pengguna_suntikan,jumlah_pengguna_pil,persentase_pengguna_pil,jumlah_peserta_kb_aktif
Sukasari ,1861,29.72,211,3.37,18,0.29,124,1.98,124,1.98,2847,45.47,1076,17.19,6261
Coblong ,4086,34.92,1193,10.19,23,0.2,661,5.65,214,1.83,3948,33.74,1577,13.48,11702
Babakan Ciparay ,3334,19.73,244,1.44,26,0.15,102,0.6,228,1.35,10350,61.26,2612,15.46,16896
Bojongloa Kaler ,5479,39.66,446,3.23,56,0.41,221,1.6,178,1.29,4583,33.17,2852,20.64,13815
Andir ,2418,22.14,720,6.59,19,0.17,170,1.56,281,2.57,4579,41.93,2734,25.03,10921
Cicendo ,2540,30.73,325,3.93,22,0.27,189,2.29,103,1.25,3758,45.47,1328,16.07,8265
Sukajadi ,3063,27.46,1972,17.68,37,0.33,502,4.5,118,1.06,3446,30.89,2016,18.07,11154
Cidadap ,1244,20.6,220,3.64,7,0.12,42,0.7,494,8.18,3079,50.99,952,15.77,6038
Bandung Wetan ,2000,51.47,443,11.4,27,0.69,101,2.6,106,2.73,744,19.15,465,11.97,3886
Astana Anyar ,1852,29.38,175,2.78,16,0.25,82,1.3,151,2.4,3320,52.67,707,11.22,6303
Regol ,4502,40.81,378,3.43,279,2.53,22,0.2,122,1.11,4279,38.79,1449,13.14,11031
Batununggal ,3279,29.46,273,2.45,18,0.16,204,1.83,76,0.68,5367,48.21,1915,17.2,11132
Lengkong ,4085,38.9,292,2.78,20,0.19,400,3.81,172,1.64,4282,40.77,1251,11.91,10502
Cibeunying Kidul ,5148,35.17,1125,7.69,53,0.36,48,0.33,79,0.54,6260,42.77,1924,13.14,14637
Bandung Kulon ,8046,54.01,282,1.89,10,0.07,124,0.83,288,1.93,3388,22.74,2760,18.53,14898
Kiaracondong ,3103,28.63,218,2.01,20,0.18,236,2.18,118,1.09,5292,48.83,1851,17.08,10838
Bojongloa Kidul ,2195,23.31,63,0.67,32,0.34,27,0.29,218,2.32,6084,64.61,797,8.46,9416
Cibeunying Kaler ,2988,42.5,225,3.2,28,0.4,98,1.39,191,2.72,2441,34.72,1059,15.06,7030
Sumur Bandung ,1347,31.55,164,3.84,2,0.05,23,0.54,16,0.37,1868,43.76,849,19.89,4269
Antapani ,2784,39.91,169,2.42,31,0.44,195,2.8,73,1.05,2808,40.25,916,13.13,6976
Bandung Kidul ,1461,23.24,120,1.91,4,0.06,142,2.26,62,0.99,3287,52.29,1210,19.25,6286
Buahbatu ,2580,30.79,124,1.48,26,0.31,150,1.79,92,1.1,4154,49.58,1253,14.95,8379
Rancasari ,2657,36.82,166,2.3,25,0.35,235,3.26,38,0.53,3132,43.4,964,13.36,7217
Arcamanik ,2221,33.06,236,3.51,24,0.36,111,1.65,364,5.42,2966,44.15,796,11.85,6718
Cibiru ,1159,18.34,127,2.01,31,0.49,131,2.07,190,3.01,3442,54.48,1238,19.59,6318
Ujung Berung ,8154,69.37,126,1.07,58,0.49,246,2.09,323,2.75,1197,10.18,1651,14.05,11755
Gedebage ,2015,33.56,811,13.51,124,2.07,208,3.46,126,2.1,2068,34.44,652,10.86,6004
Panyileukan ,1469,37.41,104,2.65,16,0.41,176,4.48,79,2.01,1463,37.25,620,15.79,3927
Cinambo ,816,26.68,66,2.16,9,0.29,58,1.9,29,0.95,1534,50.16,546,17.85,3058
Mandalajati ,1771,23.48,251,3.33,21,0.28,153,2.03,151,2,3913,51.89,1281,16.99,7541
