lokasi,nama_komoditas,2016-09-01,2016-09-02,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-19,2016-09-21,2016-09-22,2016-09-23,2016-09-26,2016-09-27,2016-09-28,2016-09-30,2016-09-05,,,
Pasar Kosambi,Beras Medium,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,,,
Pasar Kosambi,Cabe Merah,30000,30000,60000,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,,,
Pasar Kosambi,Bawang Merah,40000,40000,50000,50000,50000,50000,45000,45000,45000,45000,45000,35000,35000,35000,40000,40000,40000,40000,50000,,,
Pasar Kosambi,Daging Ayam Ras,33000,33000,34000,34000,34000,36000,38000,38000,38000,38000,35000,35000,35000,35000,35000,35000,35000,0,34000,,,
Pasar Kosambi,Telur Ayam Ras,20000,20000,19500,19500,19500,19500,19500,19500,19500,19500,19500,19500,0,19500,19000,19000,19000,19000,19500,,,
Pasar Kosambi,Daging Sapi,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,,,
Pasar Kosambi,Minyak Goreng,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,,,
Pasar Kosambi,Gula Pasir,15000,15000,15000,15000,1500,15000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,15000,,,
Pasar Kosambi,Kentang,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,18000,18000,20000,,,
Pasar Kosambi,Kedelai,11000,11000,11000,11000,11000,11000,11000,11000,11000,0,11000,11000,11000,11000,11000,11000,11000,11000,11000,,,
Pasar Kosambi,Tepung Terigu,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,0,7500,7500,7500,7500,,,
Pasar Kosambi,Bawang Putih,35000,35000,35000,35000,35000,35000,35000,35000,0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,,
Pasar Kosambi,Cabe Keriting,30000,30000,50000,50000,50000,0,50000,50000,50000,50000,50000,500000,50000,50000,50000,50000,0,50000,50000,,,
Pasar Kosambi,Cabe Rawit,50000,50000,60000,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,,,
Pasar Kosambi,Kacang Tanah,30000,30000,30000,30000,30000,30000,30000,0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,,
Pasar Kosambi,Ubi Kayu,4000,4000,0,4000,4000,4000,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,,
Pasar Kosambi,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Pasar Kosambi,Jagung,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,
Pasar Kosambi,Ikan Olahan,70000,70000,70000,0,70000,70000,70000,70000,70000,70000,0,70000,70000,70000,70000,0,70000,70000,70000,,,
Pasar Kosambi,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Pasar Kosambi,Minyak Goreng Curah,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12500,12500,12500,12500,12000,,,
Pasar Kosambi,Daging Ayam Kampung,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,,,
