id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
8247851,"Belanja Modal Pengadaan Mesin Pompa Air",1750000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,"1 Paket","Kecamatan Ujungberung",-,APBDP," 1750000",1.20.1.20.28.01.01.13.5.2.3.27.05,"Pengadaan Langsung",01-10-2016,31-12-2016,01-10-2016,31-12-2016
6162122,"Umbul-umbul dan baju pohon",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Penyediaan Peralatan Rumah Tangga",Barang/jasa,Barang,"1 paket","Kecamatan Ujungberung","jadwal pelaksanaan ini akan diubah sesua situasi dan kondisi",APBD," 20000000",1.20.1.20.28.01.14.5.2.2.01.10,"Pengadaan Langsung",28-01-2016,31-12-2016,28-01-2016,31-12-2016
6713703,"Belanja Modal Pengadaan Lemari Arsip",5000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kelurahan Cigending",-,APBD," 5000000",1.20.1.20.28.03.01.13.5.2.3.30.07,"Pengadaan Langsung",02-01-2016,31-12-2016,02-01-2016,31-12-2016
6167546,"Jasa Konsultasi Pengawasan",49000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Rehabilitasi Sedang/Berat Gedung Kantor",Modal,"Jasa Konsultansi","1 paket","Kecamatan Ujungberung","jadwal pelaksanaan ini akan diubah sesuai situasi dan kondisi",APBD," 49000000",1.20.1.20.28.02.42.5.2.3.49.01,"Pengadaan Langsung",28-01-2016,31-12-2016,28-01-2016,31-12-2016
6715319,"Belanja Modal Pengadaan Lemari Arsip",5000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kelurahan Pasirjati",-,APBD," 5000000",1.20.1.20.28.05.01.13.5.2.3.30.07,"Penunjukan Langsung",02-01-2016,31-12-2016,02-01-2016,31-12-2016
6713292,"Belanja modal pengadaan Sound System",15300000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kelurahan Cigending",-,APBD," 15300000",1.20.1.20.28.03.01.13.5.2.3.28.06,"Pengadaan Langsung",02-01-2016,31-12-2016,02-01-2016,31-12-2016
6237673,"Belanja dekorasi/kendaraan hias",15000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Fasilitasi Peningkatan Kualitas kehidupan Kemasyarakatan kecamatan dan Kelurahan",Barang/jasa,Barang,"1 paket","Kecamatan Ujungberung","jadwal pelaksanaan akan diubah sesuai situasi dan kondisi",APBD," 15000000",1.20.1.20.28.30.02.5.2.2.01.14,"Pengadaan Langsung",01-02-2016,31-12-2016,01-02-2016,31-12-2016
7487671,"Belanja Pengadaan Pakaian Kerja Tenaga Bantuan Kebersihan",7500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",Barang/jasa,Barang,"1 Paket","Kelurahan Pasirwangi",-,APBD," 7500000",1.20.1.20.28.04.30.03.5.2.2.13.01,"Pengadaan Langsung",04-01-2016,31-12-2016,04-01-2016,31-12-2016
8247635,"Belanja peralatan kebersihan dan bahan pembersih",23350000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Kegiatan Penyediaan Peralatan Rumah Tangga",Barang/jasa,Barang,"1 Paket","Kecamatan Ujungberung",-,APBDP," 23350000",1.20.1.20.28.01.01.14.5.2.2.01.05,"Pengadaan Langsung",01-10-2016,31-12-2016,01-10-2016,31-12-2016
8247921,"Belanja modal Pengadaan Sofa",20000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2016,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,"1 Paket","Kecamatan Ujungberung",-,APBDP," 20000000",1.20.1.20.28.01.01.13.5.2.3.28.01,"Pengadaan Langsung",01-10-2016,31-12-2016,01-10-2016,31-12-2016
