NO,NAMA POSYANDU,RW,KELURAHAN
1,CEMPAKA,1,MEKARMULYA
2,LESTARI,2,MEKARMULYA
3,MEKAR INDAH I,3,MEKARMULYA
4,MEKAR INDAH II,4,MEKARMULYA
5,MAWAR,5,MEKARMULYA
6,STROBERY,6,MEKARMULYA
7,MELATI 1,1,CIPADUNG KIDUL
8,MELATI 2,2,CIPADUNG KIDUL
9,MELATI 3,3,CIPADUNG KIDUL
10,MELATI 4,4,CIPADUNG KIDUL
11,MELATI 5,5,CIPADUNG KIDUL
12,MELATI 6,6,CIPADUNG KIDUL
13,MELATI 7,7,CIPADUNG KIDUL
14,MELATI 8,8,CIPADUNG KIDUL
15,MELATI 9,9,CIPADUNG KIDUL
16,MELATI 10,10,CIPADUNG KIDUL
17,MELATI 11,11,CIPADUNG KIDUL
18,MELATI 12,12,CIPADUNG KIDUL
19,MELATI 13,13,CIPADUNG KIDUL
20,MELATI 14,14,CIPADUNG KIDUL
