nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,73,62,57,78,510,0,0,0,300,100,9,28,7,161,75,64,34,50,217,535
Coblong,90,95,24,230,546,25,0,0,340,200,31,8,5,149,220,84,87,19,421,526
Babakan Ciparay,135,129,18,301,519,0,0,0,60,0,4,8,0,57,30,131,121,18,304,489
Bojongloa Kaler,49,78,12,48,189,25,0,0,200,0,18,14,0,205,87,56,64,12,43,102
Andir,140,112,20,455,799,25,0,0,100,0,14,3,0,94,9,151,109,20,461,790
Cicendo,26,499,0,106,363,54,0,0,130,2,17,9,0,63,11,63,490,0,173,354
Sukajadi,56,54,0,10,208,150,0,10,352,300,126,14,3,323,434,80,40,7,39,74
Cidadap,128,44,7,126,185,0,0,0,180,200,19,0,2,60,48,109,44,5,246,337
Bandung Wetan,46,75,26,142,340,20,0,0,200,0,27,9,3,134,19,39,66,23,208,321
Astana Anyar,235,224,163,107,286,153,0,17,540,350,139,39,25,343,64,249,185,155,304,572
Regol,59,78,12,283,353,50,0,0,0,0,51,4,2,102,191,58,74,10,181,162
Batununggal,49,7,10,175,462,39,0,0,180,0,30,2,0,194,59,58,5,10,161,403
Lengkong,121,162,35,137,98,25,0,0,280,400,9,8,0,197,52,137,154,35,220,446
Cibeunying Kidul,53,82,95,53,332,25,0,0,140,100,12,8,0,70,41,66,74,95,123,391
Bandung Kulon,37,32,8,24,198,0,0,0,0,0,3,15,0,24,47,34,17,8,0,151
Kiaracondong,15,36,26,21,188,25,0,0,200,100,5,8,0,102,48,35,28,26,119,240
Bojongloa Kidul,26,10,3,103,108,0,0,0,0,0,5,0,0,5,1,21,10,3,98,107
Cibeunying Kaler,20,12,10,70,74,0,0,0,0,0,1,0,0,28,20,19,12,10,42,54
Sumur Bandung,60,88,8,187,192,0,0,0,45,0,1,47,0,100,10,59,41,8,132,182
Antapani,66,87,14,105,213,0,0,0,260,100,1,7,0,167,32,65,80,14,198,281
Bandung Kidul,69,46,8,36,231,0,12,10,420,400,8,8,0,249,336,61,50,18,207,295
Buahbatu,129,89,21,44,72,0,0,10,200,300,11,13,6,158,92,118,76,25,86,280
Rancasari,43,35,0,14,93,0,0,0,200,300,4,8,0,169,138,39,27,0,45,255
Arcamanik,42,66,9,21,100,0,0,0,40,0,8,0,0,36,16,34,66,9,25,84
Cibiru,57,45,31,281,205,25,12,0,390,305,15,13,3,421,236,67,44,28,250,274
Ujung Berung,21,0,0,30,0,25,12,15,200,200,16,0,15,88,185,30,12,0,142,15
Gedebage,47,39,19,83,232,50,0,10,200,300,14,1,0,70,56,83,38,29,213,476
Panyileukan,47,22,20,38,80,39,0,0,200,200,14,3,1,56,81,72,19,19,182,199
Cinambo,99,53,13,227,150,100,0,0,100,100,81,0,0,45,0,118,53,13,282,250
Mandalajati,38,36,5,70,304,0,0,0,160,0,4,0,0,124,2,34,36,5,106,302
