NO,KELURAHAN,NAMA POSYANDU,RW
1,Pasir Kaliki,Tulip                        ,3
2,Pasir Kaliki,Mawar Jingga    ,4
3,Pasir Kaliki,Teratai                   ,5
4,Pasir Kaliki,Kenari                     ,6
5,Pasir Kaliki,Melati                     ,7
6,Pasir Kaliki,Mawar                     ,8
7,Pasir Kaliki,Anggrek                  ,9
8,Pasir Kaliki,Tanjung                   ,10
9,Pamoyanan,Gotong Royong  ,1
10,Pamoyanan,Sejahtera                ,3
11,Pamoyanan,Sukarela                  ,4
12,Pamoyanan,Harapan Bangsa ,5
13,Pamoyanan,Dewi Sartika I,6
14,Pamoyanan,Dewi Sartika Ii,6
15,Pajajaran,Dewi Sartika I,1
16,Pajajaran,Dewi Sartika Ii,1
17,Pajajaran,Perkutut,2
18,Pajajaran,Mawar I,3
19,Pajajaran,Mawar Ii,3
20,Pajajaran,Mawar Iii,3
21,Pajajaran,Mawar Iv,3
22,Pajajaran,Melati I,4
23,Pajajaran,Melati Ii,4
24,Pajajaran,Buah Hati Ibu I,5
25,Pajajaran,Buah Hati Ibu Ii,5
26,Pajajaran,Mawar I,6
27,Pajajaran,Mawar Ii,6
28,Pajajaran,Mawar Iii,6
29,Pajajaran,Matahari,7
30,Pajajaran,Sedap Malam I,8
31,Pajajaran,Sedap Malam Ii,8
32,Pajajaran,Dahlia I,9
33,Pajajaran,Dahlia Ii,9
34,Pajajaran,Anggrek I,10
35,Pajajaran,Anggrek Ii,10
36,Arjuna,Aster,2
37,Arjuna,Melati,3
38,Arjuna,Bougenville,4
39,Arjuna,Anggrek,5
40,Arjuna,Dahlia,6
41,Arjuna,Cempaka Putih,7
42,Arjuna,Mawar I,8
43,Arjuna,Mawar Ii,8
44,Arjuna,Mawar Iii,8
45,Husen Sn.,Perkutut Ii,1
46,Husen Sn.,Puma,2
47,Husen Sn.,Merpati,3
48,Husen Sn.,Mustang I,4
49,Husen Sn.,Mustang Ii,4
50,Husen Sn.,Garuda I,5
51,Husen Sn.,Garuda Ii,5
52,Husen Sn.,Gelatik I,6
53,Husen Sn.,Gelatik Ii,6
54,Husen Sn.,Buroq I,7
55,Husen Sn.,Buroq Ii,7
56,Husen Sn.,Tetuko,8
57,Husen Sn.,Herkules,9
58,Husen Sn.,Parahiyangan,10
59,Husen Sn.,Perkutut   Iv,11
60,Husen Sn.,Hely  I,12
61,Husen Sn.,Hely  Ii,12
62,Sukaraja,Anyelir  I,1
63,Sukaraja,Anyelir  Ii,1
64,Sukaraja,Melati   I,2
65,Sukaraja,Melati  Ii,2
66,Sukaraja,Cempaka Budi,3
67,Sukaraja,Nusa Indah,4
68,Sukaraja,Harapan Ibu,5
69,Sukaraja,Anggrek,6
70,Sukaraja,Mawar  I,7
71,Sukaraja,Mawar  Ii,7
72,Sukaraja,Perkutut,8
73,Sukaraja,Budi Asih I,9
74,Sukaraja,Budi Asih Ii,9
75,Sukaraja,Ganda Mekar,10
