lokasi,nama_komoditas,2014-07-01,2014-07-02,2014-07-03,2014-07-04,2014-07-05,2014-07-06,2014-07-07,2014-07-08,2014-07-09,2014-07-10,2014-07-11,2014-07-12,2014-07-13,2014-07-14,2014-07-15,2014-07-16,2014-07-17,2014-07-18,2014-07-19,2014-07-20,2014-07-21,2014-07-22,2014-07-23,2014-07-24,2014-07-25,2014-07-26,2014-07-27,2014-07-28,2014-07-29,2014-07-30,2014-07-31
"Pasar Andir","Beras Medium",0,8500,8500,8500,8500,8500,0,0,8500,8500,0,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,0,0
"Pasar Andir","Cabe Merah",0,25000,20000,20000,18000,18000,0,0,18000,18000,0,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,25000,25000,25000,25000,0,0,0,0
"Pasar Andir","Bawang Merah",0,24000,22000,22000,22000,22000,0,0,24000,24000,0,24000,24000,0,0,24000,24000,24000,24000,24000,0,0,24000,24000,24000,24000,24000,0,0,0,0
"Pasar Andir","Daging Ayam Ras",0,34000,34000,34000,33000,33000,0,0,30000,30000,0,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,0,0
"Pasar Andir","Telur Ayam Ras",0,20000,20000,20000,20000,20000,0,0,20000,20000,0,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,0,0
"Pasar Andir","Daging Sapi",0,95000,100000,100000,100000,100000,0,0,100000,100000,0,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,105000,105000,0,0,0,0
"Pasar Andir","Minyak Goreng",0,14000,14000,14000,14000,14000,0,0,14000,14000,0,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,0,0
"Pasar Andir","Gula Pasir",0,11000,11000,11000,11000,11000,0,0,11000,11000,0,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,0,0
"Pasar Andir",Kentang,0,12000,9000,9000,9000,9000,0,0,9000,9000,0,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,12000,12000,12000,12000,0,0,0,0
"Pasar Andir",Kedelai,0,10000,12000,12000,12000,12000,0,0,12000,12000,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,0,0
