kecamatan,pohon_pelindung,pohon_produktif,sumur_resapan,biopori
Sukasari,935,908,112,38
Cidadap,150894,78811,0,0
Sukajadi,565,1137,808,1105
Cicendo,1319,829,88,150
Andir,238,113,111,450
Coblong,10477,8874,279,0
Bandung Wetan,2716,881,479,3443
Sumur Bandung,0,0,0,0
Cibeunying Kidul,230,1240,1,210
Cibeunying Kaler,2989,2005,59,1074
Astana Anyar,264,1120,96,141
Bojongloa Kaler,438,747,36,80
Bojongloa Kidul,588,604,172,572
Babakan Ciparay,587,536,90,36
Bandung Kulon,711,1876,461,3017
Regol,1624,1231,47,362
Lengkong,139,179,30,43
Batununggal,1722,1641,627,3446
Ujungberung,1075,1817,29,13
Kiaracondong,1227,823,125,366
Arcamanik,200,1733,200,100
Cibiru,2337,22741,110,347
Antapani,61,270,2,887
Rancasari,744,856,383,1462
Buahbatu,250,1250,120,101
Bandung Kidul,498,744,97,254
Gedebage,1397,1321,161,957
Panyileukan,1264,1687,37,195
Cinambo,8184,2193,809,274
Mandalajati,2460,2315,24,14341
