nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,50,294,61,276,546,0,10,0,127,0,9,22,1,201,61,41,282,60,202,485
Coblong,110,120,22,330,386,0,24,0,0,100,28,13,0,169,27,82,131,22,161,459
Babakan Ciparay,88,172,30,158,256,29,24,0,0,0,32,3,6,35,41,85,193,24,123,215
Bojongloa Kaler,70,130,35,22,242,25,0,0,40,0,15,25,27,62,95,80,105,8,0,147
Andir,121,143,23,107,251,0,0,0,0,0,5,20,4,86,13,116,123,19,21,238
Cicendo,30,312,0,62,216,20,24,0,126,50,13,26,0,84,8,37,310,0,104,258
Sukajadi,14,85,30,48,136,225,48,64,411,325,205,66,74,449,226,34,67,20,10,235
Cidadap,132,144,30,79,319,25,48,0,80,300,13,62,1,46,33,144,130,29,113,586
Bandung Wetan,30,255,44,82,407,75,24,15,80,100,49,26,2,75,16,56,253,57,87,491
Astana Anyar,88,305,10,307,621,67,0,0,160,0,22,24,0,234,160,133,281,10,233,461
Regol,102,213,20,208,369,25,48,0,100,0,23,15,0,165,29,104,246,20,143,340
Batununggal,52,197,26,261,295,25,0,0,80,4,34,15,4,180,47,43,182,22,161,252
Lengkong,136,285,46,446,398,0,24,0,72,0,7,38,0,208,24,129,271,46,310,374
Cibeunying Kidul,55,94,10,100,110,0,0,0,80,100,10,6,0,101,23,45,88,10,79,187
Bandung Kulon,42,96,11,54,502,0,48,0,200,100,5,35,1,190,55,37,109,10,64,547
Kiaracondong,84,159,25,59,183,0,0,0,60,0,5,36,4,61,27,79,123,21,58,156
Bojongloa Kidul,0,0,0,30,0,3,0,0,100,100,3,0,0,9,0,0,0,0,121,100
Cibeunying Kaler,48,18,20,44,58,0,0,0,0,0,0,4,0,14,20,48,14,20,30,38
Sumur Bandung,58,123,0,126,497,0,0,0,0,0,5,5,0,64,9,53,118,0,62,488
Antapani,69,149,11,72,369,0,0,0,120,0,1,11,0,125,57,68,138,11,67,312
Bandung Kidul,127,256,19,113,577,0,0,0,200,50,5,17,1,255,35,122,239,18,58,592
Buahbatu,62,66,26,181,143,26,0,16,40,100,29,14,17,174,50,59,52,25,47,193
Rancasari,26,85,19,0,333,25,0,0,80,0,16,1,0,80,35,35,84,19,0,298
Arcamanik,111,86,12,200,152,0,0,0,0,0,8,0,0,71,45,103,86,12,129,107
Cibiru,52,197,17,230,280,75,78,0,80,300,10,20,0,182,110,117,255,17,128,470
Ujung Berung,51,49,34,81,0,0,0,0,0,0,51,4,34,35,0,0,45,0,46,0
Gedebage,74,94,32,85,331,0,0,0,80,100,16,2,2,65,97,58,92,30,100,334
Panyileukan,46,72,19,187,90,0,48,0,80,200,5,75,12,79,109,41,45,7,188,181
Cinambo,136,193,37,192,257,100,0,0,63,100,72,0,1,55,2,164,193,36,200,355
Mandalajati,156,346,9,81,552,25,0,0,180,0,8,24,1,170,50,173,322,8,91,502
