lokasi,nama_komoditas,2014-02-01,2014-02-02,2014-02-03,2014-02-04,2014-02-05,2014-02-06,2014-02-07,2014-02-08,2014-02-09,2014-02-10,2014-02-11,2014-02-12,2014-02-13,2014-02-14,2014-02-15,2014-02-16,2014-02-17,2014-02-18,2014-02-19,2014-02-20,2014-02-21,2014-02-22,2014-02-23,2014-02-24,2014-02-25,2014-02-26,2014-02-27,2014-02-28
"Pasar Andir","Beras Medium",0,0,0,8500,8500,8500,8500,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500
"Pasar Andir","Cabe Merah",0,0,0,38000,38000,38000,38000,38000,38000,0,0,38000,38000,32000,32000,32000,0,0,32000,23000,23000,23000,23000,0,0,23000,23000,23000
"Pasar Andir","Bawang Merah",0,0,0,20000,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000
"Pasar Andir","Daging Ayam Ras",0,0,0,27000,27000,27000,27000,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,27000
"Pasar Andir","Telur Ayam Ras",0,0,0,20000,20000,20000,20000,20000,20000,0,0,18500,18500,18500,18500,18500,0,0,18500,18500,18500,18500,18500,0,0,18500,18500,16500
"Pasar Andir","Daging Sapi",0,0,0,95000,95000,95000,95000,95000,95000,0,0,95000,95000,95000,95000,95000,0,0,95000,95000,95000,95000,95000,0,0,95000,95000,95000
"Pasar Andir","Minyak Goreng",0,0,0,12000,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,13000
"Pasar Andir","Gula Pasir",0,0,0,11000,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000
"Pasar Andir",Kentang,0,0,0,12000,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Andir",Kedelai,0,0,0,12000,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Andir","Tepung Terigu",0,0,0,7500,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000
"Pasar Andir","Bawang Putih",0,0,0,12000,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Andir","Cabe Keriting",0,0,0,38000,38000,38000,38000,38000,38000,0,0,38000,38000,32000,32000,32000,0,0,32000,23000,23000,23000,23000,0,0,23000,23000,23000
"Pasar Andir","Cabe Rawit",0,0,0,37000,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,55000
"Pasar Andir","Kacang Tanah",0,0,0,17000,17000,17000,17000,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,17000
"Pasar Andir","Ubi Kayu",0,0,0,3000,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,0,0,0,7000,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000
"Pasar Andir","Ikan Olahan",0,0,0,40000,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",0,0,0,10000,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,12000
"Pasar Andir","Daging Ayam Kampung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Telur Ayam Kampung",0,0,0,29000,29000,29000,29000,29000,29000,0,0,29000,29000,29000,29000,29000,0,0,29000,29000,29000,29000,29000,0,0,29000,29000,45000
