jenis_kejadian_kriminal,pemukiman,jalan_umum,tempat_ramai,sekolah_kampus_kantor
Pencurian Kendaraan Roda 2,823,64,255,36
Pencurian Kendaraan roda 4,67,45,37,6
Pencurian dengan Pemberatan,340,159,144,124
Pencurian Dengan Kekerasan,14,455,14,10
Pencurian Biasa,80,41,122,84
Penganiayaan Ringan,38,37,78,10
Penganiayan Berat,55,117,94,12
Penipuan,232,42,192,424
Penggelapan,103,16,48,236
Pemerasan/Ancaman Keras,3,40,13,7
Pengrusakan,26,9,8,7
Kebakaran,2,0,1,2
Pembunuhan,4,4,2,0
Pemerkosaan,12,0,0,0
Perzinahan,8,0,0,0
Penculikan,5,0,4,1
Narkotika,38,2,87,3
Pemalsuan Mata Uang,1,1,2,1
Pemalsuan Surat,12,0,3,31
Pemalsuan Merk,0,0,2,1
Sumpah Palsu,0,0,0,7
Perjudian,34,7,24,1
Penghinaan,7,1,3,5
Pencemaran Nama Baik,33,6,18,24
Penadahan,1,0,0,0
Korupsi,0,0,0,0
"Senpi, Handak, Sajam",1,17,13,4
Kriminalitas Lain-lain ,292,71,146,166
