Tahun,Anggaran,Merk_Mesin,Utility,Merk_Pompa,Kondisi
2001,APBD II,ISUZU,Mobil unit pompa,NIHON KIKAI,Baik,
2001,APBD II,ISUZU,Mobil unit pompa,NIHON KIKAI,Baik,
1983,APBD II,ISUZU,Mobil unit pompa,NIHON KIKAI,Baik,
1997,APBD II,HINO,Mobil unit pompa,WATEROUS,Baik,
1997,APBD II,HINO,Mobil unit pompa,WATEROUS,Baik,
1997,DEPDAGRI,MITSUBISHI,Mobil unit pompa,MORITA,Baik,
1995,APBD II,HINO,Mobil unit pompa,WATEROUS,Baik,
1997,DEPDAGRI,MITSUBISHI,Mobil unit pompa,MORITA,Baik,
2000,APBD II,MITSUBISHI,Mobil unit pompa,MORITA,Baik,
2003,BANGUB,ISUZU,Mobil unit pompa,TOHATSU,Baik,
2004,MENKO KESRA,ISUZU,Mobil unit pompa,MORITA,Baik,
2010,APBD,FORD Ranger,Quick Respon Unit Pompa,VERKIN,Baik,
2010,APBD,HYNO Dutro,Quick Respon Unit Peralatan,--,Baik,
2013,APBD II,HINO,Mobil unit pompa,NIHON KIKAI,Baik,
2014,APBD II,HINO,Mobil unit pompa,WATEROUS,Baik,
2014,APBD II,HINO,Mobil unit pompa,WATEROUS,Baik,
2003,BANGUB,ISUZU,Mobil unit pompa,TOHATSU,RB,
1995,APBD II,HINO,Mobil unit pompa,WATEROUS,RB,
1996,APBD II,MERCEDES,Mobil unit pompa,TOHATSU,RB,
1983,APBD II,ISUZU,Mobil unit pompa,NIHON KIKAI,RB,
1983,APBD II,ISUZU,Mobil unit pompa,MORITA,RB,
1983,APBD II,ISUZU,Mobil unit pompa,WATEROUS,RB,
1973,-,ISUZU,-,-,RB,
2000,APBD II,ISUZU,Mobil unit tangki,Tohatsu,Baik,
2014,APBD II,HINO,Mobil Unit Tangki ber PTO,WATEROUS,Baik,
1991,DEPDAGRI,ISUZU,Mobil unit tangga,MORITA,Baik,
1991,DEPDAGRI,ISUZU,Mobil unit tangga,MORITA,Baik,
2004,BANGUB,MITSUBISHI,Mobil Snorkle,MORITA,Baik,
2005,BANGUB,HINO,Mobil Rescue,-,Baik,
2006,BANGUB,HINO,Mobil M V U,-,Baik,
2012,APBD,HINO,Mobil Rescue,-,Baik,
2003,SEKNEG,ISUZU,Mobil unit Rescue,TOHATSU,Baik,
2000,D A U,ISUZU,Mobil komando Bengkel,-,Baik,
2005,APBD II,MITSUBISHI,Mobil komando BIdang,-,Baik,
2014,APBD II,NISSAN,Mobil Komando Kadis,-,Baik,
2014,APBD II,TOYOTA ,Mobil Komando UPT Timur,-,Baik,
1999,APBD II,MITSUBISHI,( ANHANG ),WATEROUS,Baik,
1999,APBD II,MITSUBISHI,( ANHANG ),WATEROUS,RB,
2014,APBD II,HINO DUTRO,Mobil Angkutan Personil,,Baik,
,,,,,,
