NO.,ID.PENJUAL,JENIS USAHA,ALAMAT  USAHA,TEMPAT YANG DIGUNAKAN,WAKTU USAHA,KELURAHAN
1,PKL01AT,Kelontongan,Jl. Purwakarta,Trotoar,08.00 - 12.00 Wib,Kel. Antapani Tengah
2,PKL02AT,Minuman Soft drink,Jl. Kuningan Raya,Trotoar,06.00 - 11.00 Wib,Kel. Antapani Tengah
3,PKL03AT,Mie Baso,Jl. Purwakarta,Trotoar,15.00 -  20.00 Wib,Kel. Antapani Tengah
4,PKL04AT,Jual Ikan Mas,Jl.trs Jakarta,Trotoar,08.00 -  17.00 Wib,Kel. Antapani Tengah
5,PKL05AT,Sate Ayam ,Jl. Subang,Trotoar,17.00 -  23.00 Wib,Kel. Antapani Tengah
6,PKL06AT,Sate Ayam ,Jl. Subang,Trotoar,16.00 -  23.00 Wib,Kel. Antapani Tengah
7,PKL07AT,Soto Ayam,Jl. Subang,Trotoar,07.00 - 16.00 wib,Kel. Antapani Tengah
8,PKL08AT,Sate Ayam ,Jl.trs Jakarta,Trotoar,16.00 - 23.00 Wib,Kel. Antapani Tengah
9,PKL09AT,Mie Ayam,Jl. Purwakarta,Trotoar,07.00 - 16.00 Wib,Kel. Antapani Tengah
10,PKL10AT,Kelontongan,Jl.trs Jakarta,Trotoar,07.00 - 24.00 Wib,Kel. Antapani Tengah
11,PKL11AT,Warung Nasi,Jl. Trs Jakarta,Trotoar,08.00 - 15.00 Wib,Kel. Antapani Tengah
12,PKL12AT,Nasi Rames,Jl. Purwakarta,Trotoar,06.00 - 15.00 Wib,Kel. Antapani Tengah
13,PKL13AT,Surabi,Jl. Purwakarta,Trotoar,06.00 - 11.00 Wib,Kel. Antapani Tengah
14,PKL14AT,Roti Kukus,Jl. Kuningan Raya,Trotoar,06.00 - 11.00 Wib,Kel. Antapani Tengah
15,PKL15AT,Es Kelapa Muda,Jl. Kuningan Raya,Trotoar,08.00 - 18.00 Wib,Kel. Antapani Tengah
16,PKL16AT,Saringan Pilter Air,Jl. Kuningan Raya,Trotoar,07.30 - 17.30 Wib,Kel. Antapani Tengah
17,PKL17AT,Kios Kelontongan,Jl. Kuningan Raya,Trotoar,07.00 - 24.00 Wib,Kel. Antapani Tengah
18,PKL18AT,Kue Basah,Jl. Purwakarta,Trotoar,07.00 -- 16.00 Wib,Kel. Antapani Tengah
19,PKL19AT,Kios Rokok,Jl. Kuningan Raya,Trotoar,07.00 - 21.00 Wib,Kel. Antapani Tengah
20,PKL20AT,Warung Nasi,Jl. Purwakarta,Trotoar,07.00 - 16.00 Wib,Kel. Antapani Tengah
21,PKL21AT,Bubur Ayam,Jl. Purwakarta,Trotoar,06.00 - 11.00 Wib,Kel. Antapani Tengah
22,PKL22AT,Kios Rokok,Jl. Purwakarta,Trotoar,06.00 - 24.00 Wib,Kel. Antapani Tengah
23,PKL23AT,Jasa Service Pompa Air,Jl. Trs Jakarta,Trotoar,08.00 - 16.00 Wib,Kel. Antapani Tengah
24,PKL24AT,Martabak,Jl. Purwakarta,Trotoar,17.00 - 24.00 Wib,Kel. Antapani Tengah
25,PKL25AT,Buah - Buhanan,Jl. Purwakarta,Trotoar,08.00 - 16.00 Wib,Kel. Antapani Tengah
26,PKL26AT,Mie Ayam,Jl. Purwakarta,Trotoar,08.00 - 16.00 Wib,Kel. Antapani Tengah
27,PKL27AT,Ayam Potong,Jl. Trs Jakarta,Trotoar,06.00 - 12.00 Wib,Kel. Antapani Tengah
28,PKL28AT,Ayam Potong,Jl.Trs Jakarta,Trotoar,06.00 - 12.00 Wib,Kel. Antapani Tengah
29,PKL29AT,Sayuran,Jl.Trs Jakarta,Trotoar,06.00 - 12.00 Wib,Kel. Antapani Tengah
30,PKL30AT,Bumbu Masak/Rempah,Jl. Trs Jakarta,Trotoar,06.00 - 13.00 Wib,Kel. Antapani Tengah
31,PKL31AT,Jualan makanan Kering,Jl. Trs Jakarta,Trotoar,06.00 - 12.00 Wib,Kel. Antapani Tengah
32,PKL32AT,Jual Ikan Mas,Jl.Trs Jakarta,Trotoar,05.00 - 12.00 Wib,Kel. Antapani Tengah
33,PKL33AT,Jual Kelapa Parut,Jl. Trs Jakarta,Trotoar,06.00 - 12.00 Wib,Kel. Antapani Tengah
34,PKL34AT,Ayam Potong,Jl,Trs jakarta,Trotoar,05.00 - 10.00 Wib,Kel. Antapani Tengah
35,PKL35AT,Jualan Daging ,Jl.Trs Jakarta,Trotoar,06.00 - 12.00 Wib,Kel. Antapani Tengah
36,PKL36AT,Kios Rokok,Jl.Trs Jakarta,Trotoar,06.00 - 20.00 Wib,Kel. Antapani Tengah
37,PKL37AT,Sate Ayam ,Jl.trs Jakarta,Trotoar,14.00 - 20.00 Wib,Kel. Antapani Tengah
