Kecamatan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
Babakan Ciparay,43438,68496,1674,6570
Rancasari,20611,37058,1083,5520
Cibeunying Kidul,32538,56157,3695,4150
Bandung Kidul,18063,27987,793,3080
Cicendo,27814,49589,4045,6704
Andir,28731,44651,3073,6589
Regol,23015,39970,2768,6304
Batununggal,39372,62328,4658,6012
Bandung Kulon,42126,67558,1511,5731
Sukasari,22122,40626,1859,5194
Astana Anyar,20993,33573,898,4797
Mandalajati,19345,28981,548,4744
Cibeunying Kaler,26773,29071,2896,4172
Antapani,20859,39045,1081,3963
Bojongloa Kidul,24683,40580,1560,3833
Coblong,52094,55354,2577,3529
Sumur Bandung,13827,15016,534,3421
Sukajadi,44585,49562,1693,3212
Bojongloa Kaler,46671,56026,1249,3158
Lengkong,21301,35716,1844,3095
Buah Batu,31450,44842,1299,2578
Cibiru,19347,35202,303,2471
Bandung Wetan,8811,14868,1096,2267
Kiara Condong,41785,66956,4258,2095
Ujung Berung,23216,39636,979,2054
Cidadap,14897,33097,1401,1971
Gedebage,10291,17817,568,1846
Panyileukan,14592,16733,1179,1481
Arcamanik,21939,35843,597,1391
Cinambo,9363,11405,864,991
