npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan,desa_kelurahan_nama,,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219506,SMP MUSLIMIN 5,SMP,SMP / sederajat,Jl. Manisi No.2 Bunderan Cibiru,1,3,,PASIRBIRU,Pasir Biru,Kec. Cibiru,-6.9274,107.7195,Tidak ada,Tidak Aktif,Yayasan
20219379,SMP NEGERI 5,SMP,SMP / sederajat,Jl. Sumatra No. 40,1,2,,Merdeka,Merdeka,Kec. Sumur Bandung,-6.9146,107.6141,"C1, D",Aktif,Pemerintah Daerah
20219352,SMP YPU Bandung,SMP,SMP / sederajat,Jl. Cukangjati No. 5 Gatot Subroto,2,5,,Samoja,Samoja,Kec. Batununggal,-6.9237,107.6288,Tidak ada,Tidak Aktif,Yayasan
20252049,SMP PLUS OTISTA,SMP,SMP / sederajat,Jl. Cipamokolan No. 90,7,3,CIPAMOKOLAN,CIPAMOKOLAN,Cipamokolan,Kec. Rancasari,-6.9411,107.6776,Tidak ada,Tidak Aktif,Yayasan
20219404,SMP NEGERI 3,SMP,SMP / sederajat,Jl. Rd. Dewi Sartika No. 96,2,2,Pungkur,Pungkur,Pungkur,Kec. Regol,-6.9292,107.6053,Tidak ada,Aktif,Pemerintah Daerah
20258520,SMP GRACIA,SMP,SMP / sederajat,Jl. Cibadak Gg. Sereh No. 26,10,2,ASTANAANYAR,CIBADAK,Cibadak,Kec. Astanaanyar,-6.9222,107.6066,Tidak ada,Tidak Aktif,Yayasan
20219441,SMP MUHAMMADIYAH 4,SMP,SMP / sederajat,Jl. Andir-RI Winata Bandung,6,7,Dunguscariang,Dungus Cariang,Dungus Cariang,Kec. Andir,-6.9121,107.5832,Tidak ada,Tidak Aktif,Yayasan
20219411,SMP NEGERI 30,SMP,SMP / sederajat,Jl. Sekejati No.23,8,11,,SUKAPURA,Sukapura,Kec. Kiaracondong,-6.9406,107.6447,Tidak ada,Aktif,Pemerintah Pusat
20219422,SMP NEGERI 33,SMP,SMP / sederajat,Jl. Babakan Tarogong,7,5,,Babakan Tarogong,Babakan Tarogong,Kec. Bojong Loa Kaler,-6.9279,107.5882,Tidak ada,Aktif,Pemerintah Daerah
20219349,SMP NEGERI 18,SMP,SMP / sederajat,Jl. SMP No 5-6 Terusan Kiaracondong,7,2,,Margasari,Margasari,Kec. Buahbatu,-6.952,107.6418,Tidak ada,Aktif,Pemerintah Daerah
20252350,SMP JENDERAL SUDIRMAN,SMP,SMP / sederajat,Jl. Babakan Tarogong 119,6,4,,Suka Asih,Suka Asih,Kec. Bojong Loa Kaler,-6.9329,107.592,Tidak ada,Tidak Aktif,Yayasan
20219505,SMP MUTIARA 1,SMP,SMP / sederajat,Jl. Maleber Utara No.37,3,4,,GARUDA,Garuda,Kec. Andir,-6.9282,107.5897,Tidak ada,Tidak Aktif,Yayasan
20219500,SMP NUSANTARA,SMP,SMP / sederajat,Jl. Kopo No.322,1,7,,KOPO,Kopo,Kec. Bojong Loa Kaler,-6.9418,107.5918,Tidak ada,Tidak Aktif,Yayasan
20219432,SMP KEMAH INDONESIA 4,SMP,SMP / sederajat,Jl. Sadang Serang BLK No. 2 RT 03/13,3,13,Sadang Serang,Sekeloa,Sekeloa,Kec. Coblong,-6.887687,107.625045,Tidak ada,Tidak Aktif,Yayasan
20219338,SMP YWKA,SMP,SMP / sederajat,Jl. Elang II No. 2,1,2,,GARUDA,Garuda,Kec. Andir,-6.914,107.5759,Tidak ada,Tidak Aktif,Yayasan
20219493,SMP PGRI 4,SMP,SMP / sederajat,Jl. Gunung Batu 30,0,0,,Sukaraja,Sukaraja,Kec. Cicendo,-6.8909,107.562,Tidak ada,Tidak Aktif,Yayasan
20219360,SMP SANTO YUSUP,SMP,SMP / sederajat,Jl. Sulaksana Baru I No. 18,6,7,,CICAHEUM,Cicaheum,Kec. Kiaracondong,-6.9053,107.6619,Tidak ada,Tidak Aktif,Yayasan
60726214,SMP HIKMAH TELADAN,SMP,SMP / sederajat,Jl. Raya Cilember Blk No. 286,1,4,Sukaraja,Sukaraja,Sukaraja,Kec. Cicendo,-6.8548,107.609,Tidak ada,Tidak Aktif,Yayasan
20219447,SMP MIFTAHUL IMAN,SMP,SMP / sederajat,Jl. Dr. Setiabudhi 179/171 A RT 05 RW 04,5,4,Negla,ISOLA,Isola,Kec. Sukasari,-6.8546,107.5936,Tidak ada,Tidak Aktif,Yayasan
69774738,SMP SETIA BHAKTI,SMP,SMP / sederajat,JL.KAWALUYAAN NO. 12 SOEKARNO HATTA,6,6,,Jati Sari,Jati Sari,Kec. Buahbatu,-6.9572,107.6753,Tidak ada,Tidak Aktif,Yayasan
20219202,SMP BPPI BOJONG,SMP,SMP / sederajat,Jl. Kapur Rt 04 / Rw 10 Bojong Raya,4,10,,CIBUNTU,Cibuntu,Kec. Bandung Kulon,-6.926,107.5711,Tidak ada,Tidak Aktif,Yayasan
20219462,SMP KRISTEN 2 BINA BAKTI,SMP,SMP / sederajat,Jl. Bima No. 9,4,6,,Arjuna,Arjuna,Kec. Cicendo,-6.9074,107.5979,Tidak ada,Tidak Aktif,Yayasan
20219371,SMP YAYASAN BUDI BAKTI,SMP,SMP / sederajat,Jl. Citepus II No. 3,2,6,,PAJAJARAN,Pajajaran,Kec. Cicendo,-6.9021,107.5879,Tidak ada,Tidak Aktif,Yayasan
20219185,SMP BINA DHARMA 3,SMP,SMP / sederajat,Jl Geger Kalong Hilir No. 18,1,4,,Gegerkalong,Gegerkalong,Kec. Sukasari,-6.8701,107.5925,Tidak ada,Tidak Aktif,Yayasan
60725413,SMP AL ISLAM,SMP,SMP / sederajat,Jl.Cilengkrang I RT.05/RW.06 ,5,6,,Cisurupan,Cisurupan,Kec. Cibiru,-6.9097,107.7234,Tidak ada,Tidak Aktif,Yayasan
69895404,SMP KUNTUM CEMERLANG,SMP,SMP / sederajat,Jl. Cipaku Indah XI No. 2,0,0,,Ledeng,Ledeng,Kec. Cidadap,-6.869338,107.616361,Tidak ada,Tidak Aktif,Lainnya
20219515,SMP PASUNDAN 2,SMP,SMP / sederajat,Jl. Pasundan No.32,8,4,,Balong Gede,Balong Gede,Kec. Regol,-6.9264,107.6082,Tidak ada,Tidak Aktif,Yayasan
20219367,SMP YP SEJATI,SMP,SMP / sederajat,Jl. Kopo Gg. Pakasih No.10,5,7,,KEBON LEGA,,Kec. Bojong Loa Kidul,-6.9496,107.5883,Tidak ada,Tidak Aktif,Lainnya
20219440,SMP MUHAMMADIYAH 5,SMP,SMP / sederajat,Jl. Sariwates Raya No. 6,1,16,,Antapani Kidul,Antapani Kidul,Kec. Antapani,-6.9245,107.6553,Tidak ada,Tidak Aktif,Yayasan
20219473,SMP GANESHA,SMP,SMP / sederajat,Jl. Mohamad Toha No.84,2,9,,Pelindung Hewan,Pelindung Hewan,Kec. Astanaanyar,-6.9361,107.6113,Tidak ada,Tidak Aktif,Yayasan
20219449,SMP KARTIKA XIX-2,SMP,SMP / sederajat,Jl. Pak Gatot Raya No. 73,2,2,,GEGERKALONG,Gegerkalong,Kec. Sukasari,-6.8652,107.5883,Tidak ada,Tidak Aktif,Yayasan
20219221,SMP ADVENT NARIPAN,SMP,SMP / sederajat,Jl. Naripan No. 91,2,4,,KEBON PISANG,Kebon Pisang,Kec. Sumur Bandung,-6.9186,107.6123,Tidak ada,Tidak Aktif,Yayasan
20219206,SMP AL FALAH,SMP,SMP / sederajat,Jl. Cisitu Baru No.52,7,11,,Dago,Dago,Kec. Coblong,-6.8828,107.6132,Tidak ada,Tidak Aktif,Yayasan
