lokasi,nama_komoditas,2015-04-01,2015-04-02,2015-04-03,2015-04-04,2015-04-05,2015-04-06,2015-04-07,2015-04-08,2015-04-09,2015-04-10,2015-04-11,2015-04-12,2015-04-13,2015-04-14,2015-04-15,2015-04-16,2015-04-17,2015-04-18,2015-04-19,2015-04-20,2015-04-21,2015-04-22,2015-04-23,2015-04-24,2015-04-25,2015-04-26,2015-04-27,2015-04-28,2015-04-29,2015-04-30
"Pasar Andir","Beras Medium",10500,11000,0,0,0,10500,10500,10500,10500,10500,0,0,10500,10500,10500,10500,10500,0,0,10500,9500,9500,9500,9500,0,0,9500,9500,9500,0
"Pasar Andir","Cabe Merah",32000,0,0,0,0,25000,25000,25000,25000,25000,0,0,25000,25000,25000,25000,25000,0,0,25000,23000,23000,23000,23000,0,0,23000,23000,23000,0
"Pasar Andir","Bawang Merah",32000,32000,0,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32000,0
"Pasar Andir","Daging Ayam Ras",27000,27000,0,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,27000,0
"Pasar Andir","Telur Ayam Ras",17000,18000,0,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,17000,18000,19000,0,0,19000,19000,19000,19000,19000,0,0,19500,19500,19500,0
"Pasar Andir","Daging Sapi",95000,95000,0,0,0,95000,95000,95000,95000,95000,0,0,95000,95000,95000,95000,95000,0,0,95000,95000,95000,95000,95000,0,0,95000,95000,95000,0
"Pasar Andir","Minyak Goreng",14000,14000,0,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,0
"Pasar Andir","Gula Pasir",11500,11500,0,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500,11500,11500,0,0,11500,12000,12000,12000,12000,0,0,12000,12000,12000,0
"Pasar Andir",Kentang,11000,11000,0,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,0
"Pasar Andir",Kedelai,12000,12000,0,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,0
