KODE REKENING,URAIAN ,JUMLAH,DASAR HUKUM
1.20 . 1.20.16 . 00 . 00 . 5,BELANJA,15561536206,
1.20 . 1.20.16 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,3855275905,
1.20 . 1.20.16 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,3855275905,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.16 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,11706260301,
1.20 . 1.20.16 . 01,Program Pelayanan Administrasi Perkantoran,875550000,
1.20 . 1.20.16 . 01 . 02,Penyediaan jasa komunikasi sumber daya air dan listrik,239700000,
1.20 . 1.20.16 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,239700000,
1.20 . 1.20.16 . 01 . 08,Penyediaan jasa kebersihan kantor,5400000,
1.20 . 1.20.16 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,5400000,
1.20 . 1.20.16 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,15000000,
1.20 . 1.20.16 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,15000000,
1.20 . 1.20.16 . 01 . 10,Penyediaan alat tulis kantor,82350000,
1.20 . 1.20.16 . 01 . 10 . 5 . 2 . 1,Belanja Pegawai,1350000,
1.20 . 1.20.16 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,81000000,
1.20 . 1.20.16 . 01 . 11,Penyediaan barang cetakan dan penggandaan,71700000,
1.20 . 1.20.16 . 01 . 11 . 5 . 2 . 1,Belanja Pegawai,1700000,
1.20 . 1.20.16 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,70000000,
1.20 . 1.20.16 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,20000000,
1.20 . 1.20.16 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,20000000,
1.20 . 1.20.16 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,145400000,
1.20 . 1.20.16 . 01 . 13 . 5 . 2 . 1,Belanja Pegawai,5400000,
1.20 . 1.20.16 . 01 . 13 . 5 . 2 . 3,Belanja Modal,140000000,
1.20 . 1.20.16 . 01 . 14,Penyediaan peralatan rumah tangga,11500000,
1.20 . 1.20.16 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,6000000,
1.20 . 1.20.16 . 01 . 14 . 5 . 2 . 3,Belanja Modal,5500000,
1.20 . 1.20.16 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,15000000,
1.20 . 1.20.16 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,15000000,
1.20 . 1.20.16 . 01 . 16,Penyediaan bahan logistik kantor,27000000,
1.20 . 1.20.16 . 01 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,27000000,
1.20 . 1.20.16 . 01 . 17,Penyediaan makanan dan minuman,96500000,
1.20 . 1.20.16 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,96500000,
1.20 . 1.20.16 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,146000000,
1.20 . 1.20.16 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,146000000,
1.20 . 1.20.16 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,1757912801,
1.20 . 1.20.16 . 02 . 05,pengadaan Kendaraan dinas/operasional,111800000,
1.20 . 1.20.16 . 02 . 05 . 5 . 2 . 1,Belanja Pegawai,1800000,
1.20 . 1.20.16 . 02 . 05 . 5 . 2 . 3,Belanja Modal,110000000,
1.20 . 1.20.16 . 02 . 07,Pengadaan perlengkapan gedung kantor,452650000,
1.20 . 1.20.16 . 02 . 07 . 5 . 2 . 1,Belanja Pegawai,6450000,
1.20 . 1.20.16 . 02 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,30000000,
1.20 . 1.20.16 . 02 . 07 . 5 . 2 . 3,Belanja Modal,416200000,
1.20 . 1.20.16 . 02 . 10,Pengadaan mebeleur,225199400,
1.20 . 1.20.16 . 02 . 10 . 5 . 2 . 1,Belanja Pegawai,4050000,
1.20 . 1.20.16 . 02 . 10 . 5 . 2 . 3,Belanja Modal,221149400,
1.20 . 1.20.16 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,314962801,
1.20 . 1.20.16 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,314962801,
1.20 . 1.20.16 . 02 . 42,Rehabilitasi sedang/berat gedung kantor,653300600,
1.20 . 1.20.16 . 02 . 42 . 5 . 2 . 1,Belanja Pegawai,13875000,
1.20 . 1.20.16 . 02 . 42 . 5 . 2 . 2,Belanja Barang dan Jasa,116625600,
1.20 . 1.20.16 . 02 . 42 . 5 . 2 . 3,Belanja Modal,522800000,
1.20 . 1.20.16 . 03,Program peningkatan disiplin aparatur,177200000,
1.20 . 1.20.16 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,86750000,
1.20 . 1.20.16 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,1300000,
1.20 . 1.20.16 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,85450000,
1.20 . 1.20.16 . 03 . 04,Pengadaan pakaian KORPRI,13300000,
1.20 . 1.20.16 . 03 . 04 . 5 . 2 . 1,Belanja Pegawai,1300000,
