NO,LOKASI,SUMBER ANGGARAN,PENANAMAN POHON TAHUN 2015,WAKTU PEMBUATAN,KETERANGAN
1,KELURAHAN ANTAPANI KULON,DPA Kecamatan,-,Oktober,
2,KELURAHAN ANTAPANI KULON,Masyarakat,75,12 bulan ,Pohon Produktif
3,KELURAHAN ANTAPANI KULON,DISTAMKAM,-,42156,
4,KELURAHAN ANTAPANI KULON,BPLH,-,,
5,KELURAHAN ANTAPANI WETAN,DPA Kecamatan,-,Oktober,
6,KELURAHAN ANTAPANI WETAN,Masyarakat,102,12 bulan ,Pohon Produktif
7,KELURAHAN ANTAPANI WETAN,DISTAMKAM,-,42156,
8,KELURAHAN ANTAPANI WETAN,BPLH,-,,
9,KELURAHAN ANTAPANI TENGAH,DPA Kecamatan,-,Oktober,
10,KELURAHAN ANTAPANI TENGAH,Masyarakat,95,12 bulan ,Pohon Produktif
11,KELURAHAN ANTAPANI TENGAH,DISTAMKAM,-,42156,
12,KELURAHAN ANTAPANI TENGAH,BPLH,-,,
13,KELURAHAN ANTAPANI KIDUL,DPA Kecamatan,-,Oktober,
14,KELURAHAN ANTAPANI KIDUL,Masyarakat,75,12 bulan ,Pohon Produktif
15,KELURAHAN ANTAPANI KIDUL,DISTAMKAM,-,42156,
16,KELURAHAN ANTAPANI KIDUL,BPLH,-,,
JUMLAH,,,347,,
