lokasi,nama_komoditas,2015-05-01,2015-05-02,2015-05-03,2015-05-04,2015-05-05,2015-05-06,2015-05-07,2015-05-08,2015-05-09,2015-05-10,2015-05-11,2015-05-12,2015-05-13,2015-05-14,2015-05-15,2015-05-16,2015-05-17,2015-05-18,2015-05-19,2015-05-20,2015-05-21,2015-05-22,2015-05-23,2015-05-24,2015-05-25,2015-05-26,2015-05-27,2015-05-28,2015-05-29,2015-05-30,2015-05-31
"Pasar Baru","Beras Medium",0,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,0,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0
"Pasar Baru","Cabe Merah",0,0,0,30000,25000,25000,30000,30000,0,0,34000,30000,34000,0,34000,0,0,34000,34000,34000,34000,34000,0,0,40000,40000,40000,40000,40000,0,0
"Pasar Baru","Bawang Merah",0,0,0,28000,28000,28000,28000,28000,0,0,30000,18000,30000,0,30000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32000,32000,32000,0,0
"Pasar Baru","Daging Ayam Ras",0,0,0,28000,28000,28000,28000,28000,0,0,31000,28000,31000,0,31000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32000,32000,32000,0,0
"Pasar Baru","Telur Ayam Ras",0,0,0,19000,19000,19000,19000,21000,0,0,21000,19000,21000,0,21000,0,0,21000,21000,21000,21000,21000,0,0,21000,21000,21000,21000,21000,0,0
"Pasar Baru","Daging Sapi",0,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,0,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0
"Pasar Baru","Minyak Goreng",0,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,0,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0
"Pasar Baru","Gula Pasir",0,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,0,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0
"Pasar Baru",Kentang,0,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,0,12000,0,0,12000,12000,12000,12000,12000,0,0,11000,11000,11000,11000,11000,0,0
"Pasar Baru",Kedelai,0,0,0,13000,13000,13000,13000,13000,0,0,13000,13000,13000,0,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,13000,13000,13000,13000,0,0
"Pasar Baru","Tepung Terigu",0,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,0,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0
