id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
7277810,"Belanja Pakaian Olahraga",138700000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pengadaan pakaian khusus hari-hari tertentu",Barang/jasa,Barang,"1 paket","Kota Bandung","Kebutuhan SKPD",APBD," 138700000","1.20.1.20.09.01.03.05.5.2.2.14.04 ","Pengadaan Langsung",02-05-2016,13-05-2016,16-05-2016,15-06-2016
6605308,"Belanja kursus-kursus singkat",3210000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pendidikan dan pelatihan prajabatan bagi calon PNS daerah",Barang/jasa,"Jasa Lainnya","1 tahun","Kota Bandung","Pengiriman peserta diklat prajabatan CPNS ke lembaga pemerintah lain penyelenggara diklat",APBD," 3210000000",1.20.1.20.09.01.32.01.5.2.2.17.01,"Penunjukan Langsung",01-04-2016,29-04-2016,02-05-2016,05-12-2016
8067885,"Mebeulair meeting room",100000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pengadaan mebeleur",Modal,Barang,"1 paket","Kota Bandung","Belanja modal",APBDP," 100000000",1.20.1.20.09.01.02.10.5.2.3.28.01,"Pengadaan Langsung",02-11-2016,18-11-2016,18-11-2016,29-11-2016
6331249,"Belanja pemeliharaan peralatan dan mesin",20900000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Penyediaan jasa perbaikan peralatan kerja",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","Kebutuhan SKPD",APBD," 20900000",1.20.1.20.09.01.01.09.5.2.2.20.04,"Pengadaan Langsung",04-02-2016,19-02-2016,22-02-2016,31-08-2016
6634279,"Belanja makanan dan minuman kegiatan",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pendidikan dan pelatihan struktural bagi PNS daerah",Barang/jasa,"Jasa Lainnya","1 tahun","Kota Bandung","Kebutuhan operasional kegiatan",APBD," 20000000",1.20.1.20.09.01.32.02.5.2.2.17.05,"Pengadaan Langsung",18-02-2016,29-02-2016,01-03-2016,01-12-2016
6679445,"Belanja makanan dan minuman kegiatan",168000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Seleksi calon PNS dan seleksi penerimaan PTT",Barang/jasa,"Jasa Lainnya","1 tahun","Kota Bandung","Kebutuhan operasional kegiatan",APBD," 168000000",1.20.1.20.09.01.33.27.5.2.2.11.05,"Pengadaan Langsung",01-03-2016,14-03-2016,15-03-2016,01-12-2016
8041379,Scaner,20000000,e-Purchasing,APBDP,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"2 unit","Kota Bandung","Barang modal",APBDP," 20000000","1.20.1.20.09.01.02.12.5.2.3.29.05 ",E-Purchasing,28-10-2016,02-11-2016,03-11-2016,10-11-2016
7199331,Scanner,7000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 paket","Kota Bandung","Kebutuhan SKPD",APBD," 7000000","1.20.1.20.09.01.01.13.5.2.3.29.02 ","Pengadaan Langsung",04-04-2016,15-04-2016,18-04-2016,29-04-2016
6679380,"Belanja alat tulis kantor",48000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Seleksi calon PNS dan seleksi penerimaan PTT",Barang/jasa,Barang,"1 paket","Kota Bandung","Kebutuhan operasional kegiatan",APBD," 48000000",1.20.1.20.09.01.33.27.5.2.2.01.01,"Pengadaan Langsung",21-03-2016,31-03-2016,01-04-2016,08-04-2016
8041359,Smartphone,75000000,e-Purchasing,APBDP,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,9,"Kota Bandung","Barang modal",APBDP," 75000000",1.20.1.20.09.01.02.12.5.2.3.27.05,E-Purchasing,28-10-2016,02-11-2016,03-11-2016,10-11-2016
7277752,"Belanja Bahan Bakar Minyak/Gas dan pelumas",494080000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pemeliharaan rutin/berkala kendaraan dinas/operasional",Barang/jasa,Barang,"1 tahun","Kota Bandung","Kebutuhan operasional SKPD",APBD," 494080000","1.20.1.20.09.01.02.24.5.2.2.05.03 ","Pengadaan Langsung",11-04-2016,05-12-2016,11-04-2016,05-12-2016
6606202,"Pengadaan alat tulis kantor",41100000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pendidikan dan pelatihan teknis tugas dan fungsi bagi PNS daerah",Barang/jasa,Barang,"1 paket","Kota Bandung","Kebutuhan operasional kegiatan",APBD," 41100000",1.20.1.20.09.01.32.03.5.2.2.01.01,"Pengadaan Langsung",01-03-2016,15-03-2016,16-03-2016,25-03-2016
6632256,"Belanja sewa gedung",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pendidikan dan pelatihan prajabatan bagi calon PNS daerah",Barang/jasa,"Jasa Lainnya","1 tahun","Kota Bandung","Kebutuhan operasional kegiatan",APBD," 20000000",1.20.1.20.09.01.32.01.5.2.2.07.02,"Pengadaan Langsung",18-02-2016,29-02-2016,01-03-2016,01-12-2016
7364064,"Belanja Pakaian Olahraga",15450000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pembinaan Kinerja Aparatur",Barang/jasa,Barang,"1 paket","Kota Bandung","Kebutuhan SKPD",APBD," 15450000","1.20.1.20.09.01.05.04.5.2.2.14.04 ","Pengadaan Langsung",22-04-2016,29-04-2016,02-05-2016,20-05-2016
6357977,"Pengadaan dispenser",9000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Penyediaan peralatan rumah tangga",Modal,Barang,"1 paket","Kota Bandung","Kebutuhan SKPD",APBD," 9000000",1.20.1.20.09.01.01.14.5.2.3.28.06,"Pengadaan Langsung",01-08-2016,15-08-2016,16-08-2016,25-08-2016
8041367,Notebook,144000000,e-Purchasing,APBDP,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"8 unit","Kota Bandung","Barang modal",APBDP," 144000000",1.20.1.20.09.01.02.12.5.2.3.29.02,E-Purchasing,28-10-2016,03-11-2016,03-11-2016,10-11-2016
6605838,"Pengadaan alat tulis kantor",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pendidikan dan pelatihan struktural bagi PNS daerah",Barang/jasa,Barang,"1 paket","Kota Bandung","Kebutuhan operasional kegiatan",APBD," 30000000",1.20.1.20.09.01.32.02.5.2.2.01.01,"Pengadaan Langsung",18-03-2016,31-03-2016,01-04-2016,07-04-2016
7029943,"Belanja makanan dan minuman kegiatan",75000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KEPEGAWAIAN DAERAH",2016,"Pembngunan/pengembangan sistem informasi kepegawaian daerah",Barang/jasa,"Jasa Lainnya","1 tahun","Kota Bandung","Kebutuhan operasional kegiatan",APBD," 75000000",1.20.1.20.09.01.33.05.5.2.2.11.05,"Pengadaan Langsung",16-03-2016,31-03-2016,01-04-2016,30-09-2016
