id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
3458715,"Belanja Jasa Cleaning Service",350000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Penyediaan Jasa Kebersihan Kantor",Barang/jasa,"Jasa Lainnya","1 paket","BPPT Kota Bandung","Pembayaran cleaning service terbagi atas 4 waktu/triwulan",APBD," 350000000",1.16.1.16.01.01.08.5.2.01.08.2.03.15,"Pengadaan Langsung",09-03-2015,18-12-2015,09-03-2015,18-12-2015
3682430,"Belanja Pembelian Ornamen Ruang Tamu Pelayanan",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Pemeliharaan rutin/berkala gedung kantor",Barang/jasa,"Jasa Lainnya","1 paket","BPPT Kota Bandung","Termasuk ke dalam Belanja Dekorasi Gedung",APBD," 50000000",1.16.1.16.01.02.22.5.2.2.01.14,"Pengadaan Langsung",17-03-2015,30-09-2015,17-03-2015,30-09-2015
3687846,"Belanja Scanner Ruang Layanan",200000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"1 Paket","BPPT Kota Bandung","Bagian dari belanja modal pengadaan peralatan personal komputer",APBD," 200000000",1.16.1.16.01.02.12.5.2.3.29.05,"Pengadaan Langsung",18-03-2015,30-09-2015,19-03-2015,30-09-2015
3688738,"Belanja Proyektor dan Attachment Operation Room",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"1 Paket","BPPT Kota Bandung","Bagian dari belanja modal pengadaan peralatan studio visual",APBD," 25000000",1.16.1.16.01.02.12.5.2.3.31.01,"Pengadaan Langsung",01-04-2015,30-09-2015,02-04-2015,30-09-2015
3675552,"Belanja Jasa Cleaning Service Gedung KAntor",200000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Penyediaan Jasa Kebersihan Kantor",Barang/jasa,"Jasa Lainnya","1 paket","BPPT Kota Bandung","Bagian dari Belanja Jasa Cleaning Service",APBD," 200000000",1.16.1.16.01.01.08.5.2.2.03.15,"Pengadaan Langsung",17-03-2015,18-12-2015,17-03-2015,18-12-2015
3681076,"Belanja Kelengkapan Komputer dan Peralatan Jaringan Komputer",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Pengadaan Perlengkapan Peralatan Aparatur",Barang/jasa,Barang,"1 Paket","BPPT Kota Bandung","Bagian dari Belanja Peralatan dan mesin serta alat olahraga yang tidak dikapitalisasi",APBD," 25000000",1.16.1.16.01.02.12.5.2.2.31.01,"Pengadaan Langsung",01-04-2015,30-09-2015,02-04-2015,30-09-2015
3755956,"Belanja Cetak Map Proses",150000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Fasilitasi Pelayanan Administrasi Perijinan",Barang/jasa,Barang,"1 paket","BPPT Kota Bandung","Bagian dari Belanja Cetak dan Penggandaan untuk Fasilitasi Pelayanan Administrasi Perijinan",APBD," 150000000",1.16.1.16.01.19.03.5.2.2.06.01,"Pengadaan Langsung",01-07-2015,18-12-2015,02-07-2015,18-12-2015
3682503,"Belanja Kursi Tamu Ruang Kepala BPPT",15000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"1 Paket","BPPT Kota Bandung","Bagian dari Belanja Modal Pengadaan Meubelair",APBD," 15000000",1.16.1.16.01.02.12.5.2.3.28.01,"Pengadaan Langsung",01-07-2015,30-09-2015,02-07-2015,30-09-2015
3675758,"Belanja Jasa Cleaning Service WC",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Penyediaan Jasa Kebersihan Kantor",Barang/jasa,"Jasa Lainnya","1 paket","BPPT Kota Bandung ","Bagian Dari Belanja Jasa Cleaning Service ",APBD," 50000000",1.16.1.16.01.01.08.5.2.2.03.15,"Pengadaan Langsung",17-03-2015,18-12-2015,17-03-2015,18-12-2015
3683956,"Belanja Jasa Konsultasi Perencanaan Taman Halaman Perkantoran",50000000,"Seleksi Sederhana",APBD,"Pemerintah Daerah Kota Bandung","BADAN PELAYANAN PERIZINAN TERPADU",2015,"Pemeliharaan rutin/berkala gedung kantor",Barang/jasa,"Jasa Konsultansi","1 paket","BPPT Kota Bandung","Termasuk kedalam Belanja Konsultasi Perencanaan",APBD," 50000000",1.16.1.16.01.2.22.5.2.2.21.02,"Seleksi Sederhana",17-03-2015,30-06-2015,18-03-2015,30-06-2015
