id_satker,nama_satker,penyedia_paket,penyedia_pagu,kegiatan_swakelola,swakelola_pagu,penyedia_swakelola,total_pagu
71580,KECAMATAN MANDALAJATI,6,1760400000,0,0,6,1760400000
71585,KECAMATAN CINAMBO,92,3677290762,90,4841988162,182,8519278924
71591,KECAMATAN PANYILEUKAN,153,8345740348,76,5332710000,229,13678450348
71596,KECAMATAN GEDEBAGE,66,1884900000,92,489856703,158,2374756703
71598,KECAMATAN UJUNGBERUNG,61,3354872500,0,0,61,3354872500
71602,KECAMATAN CIBIRU,79,5846804000,97,5065195495,176,10911999495
71607,KECAMATAN ARCAMANIK,49,3651300000,0,0,49,3651300000
71610,KECAMATAN RANCASARI,21,9684021000,44,6114610369,65,15798631369
71614,KECAMATAN BUAHBATU,47,4428106000,25,2337300000,72,6765406000
71617,KECAMATAN BANDUNG KIDUL,270,4440036257,307,1633785000,577,6073821257
71625,KECAMATAN ANTAPANI,35,3380771860,99,9397265338,134,12778037198
71630,KECAMATAN SUMUR BANDUNG,113,5025889306,77,4793591580,190,9819480886
71636,KECAMATAN CIBEUNYING KALER,92,5031475000,0,0,92,5031475000
71641,KECAMATAN BOJONGLOA KIDUL,8,1545700000,0,0,8,1545700000
71644,KECAMATAN KIARACONDONG,34,4412112367,5,117250000,39,4529362367
71653,KECAMATAN BANDUNG KULON,49,3164700000,106,628475000,155,3793175000
71662,KECAMATAN CIBEUNYING KIDUL,253,9737104050,252,2742446629,505,12479550679
71674,KECAMATAN LENGKONG,137,4851468000,171,11097774019,308,15949242019
71682,KECAMATAN BATUNUNGGAL,87,5146378000,135,5537896000,222,10684274000
71688,KECAMATAN REGOL,125,4717829750,210,10383714261,335,15101544011
71974,KECAMATAN ASTANAANYAR,34,5768850000,143,8696628701,177,14465478701
71975,KECAMATAN BANDUNG WETAN,68,2847768901,99,6883463100,167,9731232001
71976,KECAMATAN CIDADAP,42,2422947600,0,0,42,2422947600
71977,KECAMATAN SUKAJADI,196,6538610000,230,4814513789,426,11353123789
71978,KECAMATAN CICENDO,113,4693848000,0,0,113,4693848000
71979,KECAMATAN ANDIR,37,6629852000,0,0,37,6629852000
71980,KECAMATAN BOJONGLOA KALER,142,5726020000,96,2776551547,238,8502571547
71981,KECAMATAN BABAKAN CIPARAY,96,3897968448,21,728475000,117,4626443448
71982,KECAMATAN COBLONG,20,2908000000,57,1064462387,77,3972462387
71983,KECAMATAN SUKASARI,114,4552800000,0,0,114,4552800000
71984,DINAS PEMUDA DAN OLAH RAGA,357,175663245757,46,16174555000,403,191837800757
71985,DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH,151,32146801100,1,200000000,152,32346801100
71986,DINAS PERTANIAN DAN KETAHANAN PANGAN,254,18094564000,6,505000000,260,18599564000
71987,DINAS KEBUDAYAAN DAN PARIWISATA,128,29232516786,0,0,128,29232516786
71988,DINAS KOMUNIKASI DAN INFORMATIKA,100,22022100000,22,19668847502,122,41690947502
71989,DINAS PELAYANAN PAJAK,152,21881551366,0,0,152,21881551366
71990,"DINAS KOPERASI, UKM & PERINDUSTRIAN PERDAGANGAN ",210,11947161750,9,246260000,219,12193421750
71991,DINAS TENAGA KERJA,78,5294726766,29,764048061,107,6058774827
71992,DINAS SOSIAL,90,45632431443,0,0,90,45632431443
71993,DINAS TATA RUANG & CIPTAKARYA,128,54997894497,0,0,128,54997894497
71994,DINAS KEPENDUDUKAN & PENCATATAN SIPIL,60,7457514029,27,4133673250,87,11591187279
71995,DINAS PEMAKAMAN  DAN  PERTAMANAN,292,107086646000,0,0,292,107086646000
71996,DINAS PERHUBUNGAN,173,180839692523,11,7950000000,184,188789692523
72000,DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN,81,15401115500,34,4666765555,115,20067881055
72004,DINAS BINA MARGA DAN PENGAIRAN,1050,511059309893,0,0,1050,511059309893
72005,DINAS KESEHATAN,353,61232416710,0,0,353,61232416710
72006,DINAS PENDIDIKAN,442,52618848080,20,1367478840,462,53986326920
72007,RUMAH SAKIT KHUSUS GIGI DAN MULUT,24,9332102086,12,2130029999,36,11462132085
72008,RUMAH SAKIT KHUSUS IBU DAN ANAK,46,62651061642,0,0,46,62651061642
72010,RUMAH SAKIT UMUM DAERAH KOTA BANDUNG,45,44136091655,0,0,45,44136091655
72012,SATUAN POLISI PAMONG PRAJA,79,19886353835,48,14187661000,127,34074014835
72013,KANTOR PERPUSTAKAAN DAN ARSIP DAERAH,83,4368880000,37,2626305707,120,6995185707
72015,BADAN PEMBERDAYAAN PEREMPUAN DAN KELUARGA BERENCANA,35,2371623000,0,0,35,2371623000
72017,BADAN PELAYANAN PERIZINAN TERPADU,87,14039456030,25,4415675000,112,18455131030
72018,BADAN PENGELOLA LINGKUNGAN HIDUP,293,80089867926,60,13350095200,353,93439963126
72019,BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT,25,3239348314,0,0,25,3239348314
72020,BADAN KEPEGAWAIAN DAERAH,51,8110101035,0,0,51,8110101035
72022,BADAN PERENCANAAN DAN PEMBANGUNAN DAERAH,251,15273877024,148,6941720400,399,22215597424
72023,SEKRETARIAT DAERAH (NON BAGIAN),52,9142000000,28,53466827522,80,62608827522
72026,BAGIAN PEMERINTAHAN UMUM,52,1797000000,0,0,52,1797000000
72027,BAGIAN UMUM & PERLENGKAPAN,195,67262499320,0,0,195,67262499320
72029,BAGIAN TATA USAHA SEKRETARIAT DAERAH,34,1900609000,0,0,34,1900609000
72031,BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN,34,1394424000,0,0,34,1394424000
72032,BAGIAN PEMBANGUNAN DAN SUMBER DAYA ALAM,26,1401540000,0,0,26,1401540000
72035,BAGIAN PEREKONOMIAN,47,2218889000,10,2183500000,57,4402389000
72036,BAGIAN ORGANISASI & PEMBERDAYAAN APARATUR DAERAH,59,3140609750,4,1450000000,63,4590609750
72037,BAGIAN HUKUM & HAM,23,948245000,116,3898165000,139,4846410000
72038,ASISTEN ADMINISTRASI UMUM,9,347900000,18,512100000,27,860000000
72040,ASISTEN ADMINISTRASI PEREKONOMIAN & PEMBANGUNAN,9,240788000,16,557962000,25,798750000
72042,ASISTEN PEMERINTAHAN,6,348200000,11,538749600,17,886949600
72044,SEKRETARIAT DPRD,379,37518911438,57,36867618500,436,74386529938
72051,INSPEKTORAT KOTA,21,1865585000,99,2176456497,120,4042041497
72208,BAGIAN KERJASAMA,39,2768437500,43,1738100000,82,4506537500
78150,KPU KOTA BANDUNG,0,0,0,0,0,0
83370,PDAM TIRTAWENING KOTA BANDUNG,0,0,0,0,0,0
90507,PD KEBERSIHAN KOTA BANDUNG,0,0,0,0,0,0
