kecamatan,kelurahan,RT ,RW
Bandung Kulon,Gempolsari ,59,9
Bandung Kulon,Cigondewah Kaler ,43,13
Bandung Kulon,Cigondewah Kidul ,35,6
Bandung Kulon,Cigondewah Rahayu ,45,8
Bandung Kulon,Caringin ,35,6
Bandung Kulon,Warungmuncang ,74,10
Bandung Kulon,Cibuntu ,73,10
Bandung Kulon,Cijerah ,73,10
Babakan Ciparay,Margasuka ,43,9
Babakan Ciparay,Cirangrang ,32,5
Babakan Ciparay,Margahayu Utara ,56,11
Babakan Ciparay,Babakan Ciparay ,57,9
Babakan Ciparay,Babakan ,88,13
Babakan Ciparay,Sukahaji ,89,10
Bojongloa Kaler,Kopo ,86,12
Bojongloa Kaler,Suka Asih ,75,10
Bojongloa Kaler,Babakan Asih ,59,7
Bojongloa Kaler,Babakan Tarogong ,70,7
Bojongloa Kaler,Jamika ,105,11
Bojongloa Kidul,Cibaduyut Kidul ,29,6
Bojongloa Kidul,Cibaduyut Wetan ,24,4
Bojongloa Kidul,Mekarwangi ,24,7
Bojongloa Kidul,Cibaduyut ,30,8
Bojongloa Kidul,Kebonlega ,70,11
Bojongloa Kidul,Situsaeur ,84,8
Astanaanyar,Karasak ,45,6
Astanaanyar,Pelindung Hewan ,59,10
Astanaanyar,Nyengseret ,46,7
Astanaanyar,Panjunan ,32,6
Astanaanyar,Cibadak ,76,9
Astanaanyar,Karang Anyar ,45,9
Regol,Ciseureuh ,50,8
Regol,Pasirluyu ,63,9
Regol,Ancol ,54,9
Regol,Cigereleng ,60,12
Regol,Ciateul ,50,9
Regol,Pungkur ,46,6
Regol,Balonggede ,47,7
Lengkong,Cijagra ,52,7
Lengkong,Turangga ,84,11
Lengkong,Lingkar Selatan ,74,10
Lengkong,Malabar ,58,11
Lengkong,Burangrang ,65,9
Lengkong,Cikawao ,55,9
Lengkong,Paledang ,43,8
Bandung Kidul,Wates ,32,7
Bandung Kidul,Mengger ,25,5
Bandung Kidul,Batununggal ,65,12
Bandung Kidul,Kujangsari ,59,8
Buah Batu,Cijawura ,81,13
Buah Batu,Margasari ,141,21
Buah Batu,Sekejati ,93,14
Buah Batu,Jati Sari ,45,7
Rancasari,Derwati ,81,13
Rancasari,Cipamokolan ,85,9
Rancasari,Manjahlega ,95,16
Rancasari,Mekar Jaya ,57,10
Mandalajati,Jatihandap ,107,16
Mandalajati,Karang Pamulang ,71,12
Mandalajati,Sindang Jaya ,60,12
Mandalajati,Pasir Impun ,57,11
Kiaracondong,Kebon Kangkung ,70,11
Kiaracondong,Sukapura ,109,15
Kiaracondong,Kebonjayanti ,89,14
Kiaracondong,Babakansari ,146,18
Kiaracondong,Babakan Surabaya ,101,15
Kiaracondong,Cicaheum ,78,12
Batununggal,Gumuruh ,88,12
Batununggal,Binong ,72,10
Batununggal,Kebongedang ,50,8
Batununggal,Maleer ,71,12
Batununggal,Cibangkong ,84,13
Batununggal,Samoja ,68,11
Batununggal,Kacapiring ,49,9
Batununggal,Kebonwaru ,67,8
Sumur Bandung,Braga ,53,8
Sumur Bandung,Kebon Pisang ,85,12
Sumur Bandung,Merdeka ,45,8
Sumur Bandung,Babakan Ciamis ,43,8
Andir,Campaka ,38,7
Andir,Maleber ,62,11
Andir,Garuda ,38,6
Andir,Dunguscariang ,84,11
Andir,Ciroyom ,87,10
Andir,Kebon Jeruk ,72,9
Sukasari,Sarijadi ,100,11
Sukasari,Sukarasa ,38,7
Sukasari,Gegerkalong ,56,8
Sukasari,Isola ,29,6
Cidadap,Hegarmanah ,66,11
Cidadap,Ciumbuleuit ,78,11
Cidadap,Ledeng ,31,7
