Nama_Izin,Jumlah_izin_Terbit
Izin Gangguan,799
Izin Lingkungan,16
Izin Lokasi,1
Izin Mendirikan Bangunan,329
Izin Mendirikan Bangunan Untuk Tower,10
Izin Pelaksanaan Konstruksi pada Ruang Sungai,0
Izin Pelaksanaan Konstruksi yang Mengubah aliran dan/atau alur sungai/saluran,0
"Izin Pemancangan Titik Tiang Pancang Reklame, Jembatan Penyeberangan Orang (JPO) dan sejenisnya",9
Izin pemanfaatan bantaran dan sempadan sungai,0
Izin Pematangan Lahan/Tanah,1
Izin pembuangan air limbah ke sungai,7
"Izin Pembuatan Jalan Masuk di dalam Kompleks Perumahan, Pertokoan dan yang sejenisnya",0
Izin Pembuatan Jalan Masuk Pekarangan,5
Izin Pengelolaan Tempat Parkir,27
Izin Penggalian Ruang Milik Jalan,0
"Izin Penutupan/Penggunaan Trotoar, Berm dan Saluran",0
Izin Penyelenggaraan Reklame Permanen,623
Izin Trayek,173
Izin Usaha Angkutan,5
Izin Usaha Industri,10
Izin Usaha Jasa Konstruksi,62
Izin Usaha Perdagangan,728
Tanda Daftar Gudang,34
Tanda Daftar Industri,24
Tanda Daftar Perusahaan,668
Tanda Daftar Usaha Kecil,7
Tanda Data Usaha Mikro,92
jumlah,3630
