NO,NAMA PSAA,ALAMAT,NOMOR TELP/HP,JUMLAH ANAK DLM PANTI,JUMLAH ANAK LUAR PSAA
1,AL  QOMARIAH,Jl. Mars Tengah II No 16 Margahayu Raya,022-7530152,15,2
2,AL AMIN,Jl. Embong Gg.Awiligar,081-222149789,33,14
3,AL BARR,Jl. Abd Rahman Saleh Blk No 49,022-6021096,35,53
4,AL FALAH,Jl. Leuwi Panjang No 1 Blk RS Immanuel Kopo,022-91568164,20,32
5,AL FIEN,Jl. Sari Asih I No 2 Sarijadi,022-2016428,62,7
6,AL HAYAT,Jl. Cibatu Raya No 64  Antapani,022-87880311,26,17
7,AL HIDAYAH,Jl. Kebon Jayanti No 181/134A Kiaracondong,022-7333116,30,69
8,AL HILAL,Jl. Peta Gg Buah No 156/95B,022-5221472,30,50
9,AL HUSAINIYAH,Jl. Bima Dalam No 78/28A,022-6121747,33,0
10,AL KAUTSAR,Jl. Cibarengkok No 224/182C Sukajadi,022-2041404,19,23
11,AL YASSIN,Jl. A Yani Gg Surareja No 185/34B,022-4261893/022-91407035,26,10
12,AMANAH,Jl. Batununggal  No.63A,022-7564370/ 085326195523,23,13
13,AMANAH BUNDA,Jl. Situ Lengkong No.15 Cijagra Buah Batu,022-7318284,20,10
14,AMANAH UMAH,Jl. Cicukang No 54 Cisaranten,022-70781878,20,18
15,ANAK SHALEH,Jl. Rancabolang No 1 Margasari,022-70770529,27,49
16,ANNIDA ROSADA,Jl. Karapitan No 58/36A,022-4218590,65,15
17,ARRAHMAN ROSADA,Jl. Cibiru Tonggoh No 2 Ujung Berung,022-7812736/0818435537,22,14
18,ARRIFQI,Komplek Bumi Panyileukan Blok K No.29 Cipadung,022-7807628,50,61
19,ASSABIQUNAL AWALUN,Jl. Veteran No.210/34A RT 02 RW 08,022-4217114,21,29
20,BABUSSALAM,Jl. Cilengkrang II No 34-36,022-70763101/022-79763101,50,60
21,BAITUL ARIF,Jl. Kacapiring No.72/122 RT 05 RW 02,022-7101510,52,1
22,BAYI SEHAT,Jl. Purnawarman No 25,022-4239882,129,235
23,BUDI PERTIWI,Gg Pa Uca No 106/201A Jl Moh Toha,022-5206581/082126373338,20,50
24,DANA MULYA PUTRA,Jl. Pasteur No.12,022-2041158,25,0
25,DANA MULYA PUTRI,Jl. Pasteur No.17,022-2041158,15,0
26,DARUSSALAM AL MUBAROKAH,Jl. Bojong Raya Gg H Sanusi No 293 Caringin,022-6045503,30,40
27,FAJAR HARAPAN,Jl. Surapati No.205,022-2503236,22,33
28,HARAPAN KITA,Jl. Teritorial No 7 Cigending Ujungberung,022-7800125,62,39
29,HARAPAN UMAT,Jl. Otista No.180/95 Bandung,022-91979494,25,5
30,INSAN HARAPAN ,Jl. A.Yani Gg Slamet II No.37/132D,022-7278114,49,0
31,KHOERUNNISA,Jl. Pasir Turi No 28 Sadang Serang,022-2531695,21,47
32,KUNCUP HARAPAN,Jl. Sukagalih Gg. Sukabakti VI No.375,022-2039167,43,0
33,KURNIA ASIH,Jl. Pasirluyu Raya No.151,022-95121172/022-5228935,27,23
34,MALIKUL A'LA,Jl. Surareja No. 114/34B Jl.Baranangsiang Gg.Kebonpisang No.94/34B,022-92033694 ,11,18
35,MARANATHA PUTRA ,Jl. Cipto No 7,022-4230480,72,13
36,MUHAMMADIYAH SUMUR BANDUNG,Jl. Veteran No118/34A Blk.91,022-91665420/022-4210572,71,0
37,MULTAZAM,Jl. Padasuka No 88 Cicaheum,022-7206411,70,11
38,NUGRAHA,Jl. PLN Dalam No 4-6 Moh Toha,022-5200435,60,90
39,NURUL IHSAN,Jl. Mekar Manah No 7 Cijerah,022-6010939,65,26
40,PANTI YATIM INDONESIA (PYI)/NURUL UMMAH,Jl. Sauyunan I No 14 Cibaduyut,022-5401334,50,0
41,PEMBERDAYAAN UMAT,Jl. Suniaraja Gg Apandi III 74/11A /Braga,022-4261854/022-76164322,35,58
42,PUTERA HARAPAN,Jl. Pasir Jaya VI No.20,022-5207195,35,17
43,SAKINAH,Jl. Manglayang Baru III 286 RT06 RW03 Cibiru,022-71251378,38,24
44,TAMAN HARAPAN,Jl. Nilem No 9 Buah Batu,022-7303530,69,71
45,TAMBATAN HATI,Jl. Galunggung No 23,022-7302008,44,28
46,TUNAS HARAPAN,Jl. Asep Berlian Gg Bastaman No 16,081-70236053,40,50
47,TUNAS MELATI,Jl. Baturaden VIII No 99 Ciwastra,022-7533575,39,12
48,WILLIAM BOOTH PUTRI,Jl. Jawa No 18,022-4205549,45,0
49,WISMA PUTERA/RPSAA CIUMBULEUIT ,Jl. Ciumbuleuit No 105,022-2037349,80,0
50,YAPITA AL MUSLIMUN,Jl. Saturnus Utara XVI Margahayu Raya,022-7512885,40,50
51,YPLB  HEGAR ASIH,Jl. Hegar Asih No.1-2 Cipaganti,022-2030050/ 08157103659,50,0
