nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,8823,3559,40.34,0,0.00,0,0.00,0,0.00
Coblong,16655,7062,42.40,35,0.21,30,0.18,65,0.39
Babakan Ciparay,21483,8326,38.76,8130,37.84,13353,62.16,21483,100.00
Bojongloa Kaler,17539,7895,45.01,7622,43.46,9898,56.43,17520,99.89
Andir,14182,4368,30.80,333,2.35,0,0.00,333,2.35
Cicendo,14012,9362,66.81,0,0.00,14012,100.00,14012,100.00
Sukajadi,16591,16591,100.00,5001,30.14,0,0.00,5001,30.14
Cidadap,8137,2625,32.26,2619,32.19,0,0.00,2619,32.19
Bandung Wetan,4607,2048,44.45,0,0.00,0,0.00,0,0.00
Astana Anyar,9629,2334,24.24,0,0.00,0,0.00,0,0.00
Regol,12215,3664,30.00,0,0.00,0,0.00,0,0.00
Batununggal,16971,9305,54.83,0,0.00,0,0.00,0,0.00
Lengkong,14999,5769,38.46,1951,13.01,13048,86.99,14999,100.00
Cibeunying Kidul,17460,7879,45.13,7043,40.34,9878,56.58,16921,96.91
Bandung Kulon,14838,10563,71.19,5406,36.43,5384,36.29,10790,72.72
Kiaracondong,15278,8800,57.60,0,0.00,0,0.00,0,0.00
Bojongloa Kidul,12109,4927,40.69,2102,17.36,8972,74.09,11074,91.45
Cibeunying Kaler,10219,1992,19.49,1963,19.21,7656,74.92,9619,94.13
Sumur Bandung,5877,2506,42.64,0,0.00,0,0.00,0,0.00
Antapani,10074,1385,13.75,0,0.00,0,0.00,0,0.00
Bandung Kidul,4264,1909,44.77,1875,43.97,2389,56.03,4264,100.00
Buahbatu,11659,2168,18.60,0,0.00,0,0.00,0,0.00
Rancasari,12704,1563,12.30,1423,11.20,139,1.09,1562,12.30
Arcamanik,8616,3267,37.92,0,0.00,0,0.00,0,0.00
Cibiru,9609,3526,36.69,1334,13.88,2352,24.48,3686,38.36
Ujung Berung,20741,16969,81.81,5473,26.39,6336,30.55,11809,56.94
Gedebage,9275,2753,29.68,570,6.15,4717,50.86,5287,57.00
Panyileukan,5609,1431,25.51,775,13.82,666,11.87,1441,25.69
Cinambo,4161,1498,36.00,777,18.67,1511,36.31,2288,54.99
Mandalajati,11217,4184,37.30,4184,37.30,7031,62.68,11215,99.98
